long,long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,flags,long,flags,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,
6,-1,-1,0,"Level 10",,,,,,,,,,,,,,,,0xFF01FE,"Reach level 10.",,,,,,,,,,,,,,,,0xFF01FE,92,0xA,1,0x4,3268,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
33,1,-1,0,"Nothing Boring About Borean",,,,,,,,,,,,,,,,0xFF01FE,"Complete 130 quests in Borean Tundra.",,,,,,,,,,,,,,,,0xFF01FE,14863,0xA,1,0x88,3336,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
42,-1,-1,0,"Explore Eastern Kingdoms",,,,,,,,,,,,,,,,0xFF01FE,"Explore the regions of Eastern Kingdoms.",,,,,,,,,,,,,,,,0xFF01FE,97,0x19,1,0x0,3490,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
57,-1,30,0,"Deaths in Alterac Valley",,,,,,,,,,,,,,,,0xFF01FE,"Deaths in Alterac Valley",,,,,,,,,,,,,,,,0xFF01FE,124,0x0,1,0x1,1,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
60,-1,-1,0,"Total deaths",,,,,,,,,,,,,,,,0xFF01FE,"Total deaths",,,,,,,,,,,,,,,,0xFF01FE,122,0x0,1,0x1,1,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
98,-1,-1,0,"Quests completed",,,,,,,,,,,,,,,,0xFF01FE,"Quests completed",,,,,,,,,,,,,,,,0xFF01FE,133,0x0,1,0x9,0,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
107,-1,-1,0,"Creatures killed",,,,,,,,,,,,,,,,0xFF01FE,"Creatures killed",,,,,,,,,,,,,,,,0xFF01FE,135,0x0,1,0x9,4,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
112,-1,-1,0,"Deaths from drowning",,,,,,,,,,,,,,,,0xFF01FE,"Deaths from drowning",,,,,,,,,,,,,,,,0xFF01FE,126,0x0,1,0x1,4,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
116,-1,-1,0,"Professional Journeyman",,,,,,,,,,,,,,,,0xFF01FE,"Become a Journeyman in a profession.",,,,,,,,,,,,,,,,0xFF01FE,169,0xA,1,0x0,2846,"",,,,,,,,,,,,,,,,0xFF01EE,1,0,
121,-1,-1,0,"Journeyman Cook",,,,,,,,,,,,,,,,0xFF01FE,"Become a Journeyman Cook.",,,,,,,,,,,,,,,,0xFF01FE,170,0xA,1,0x0,1467,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
126,-1,-1,0,"Journeyman Fisherman",,,,,,,,,,,,,,,,0xFF01FE,"Become a Journeyman Fisherman.",,,,,,,,,,,,,,,,0xFF01FE,171,0xA,1,0x0,580,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
131,-1,-1,0,"Journeyman in First Aid",,,,,,,,,,,,,,,,0xFF01FE,"Become a Journeyman in first aid.",,,,,,,,,,,,,,,,0xFF01FE,172,0xA,1,0x0,504,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
154,-1,529,0,"Arathi Basin Victory",,,,,,,,,,,,,,,,0xFF01FE,"Win Arathi Basin.",,,,,,,,,,,,,,,,0xFF01FE,14802,0xA,1,0x0,3381,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
166,-1,489,0,"Warsong Gulch Victory",,,,,,,,,,,,,,,,0xFF01FE,"Win Warsong Gulch.",,,,,,,,,,,,,,,,0xFF01FE,14804,0xA,1,0x0,3387,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
193,-1,-1,0,"Largest hit dealt",,,,,,,,,,,,,,,,0xFF01FE,"Largest hit dealt",,,,,,,,,,,,,,,,0xFF01FE,141,0x0,1,0x1,4,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
208,-1,566,0,"Eye of the Storm Victory",,,,,,,,,,,,,,,,0xFF01FE,"Win Eye of the Storm.",,,,,,,,,,,,,,,,0xFF01FE,14803,0xA,1,0x0,3384,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
218,-1,30,0,"Alterac Valley Victory",,,,,,,,,,,,,,,,0xFF01FE,"Win Alterac Valley.",,,,,,,,,,,,,,,,0xFF01FE,14801,0xA,1,0x0,3377,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
238,-1,-1,0,"An Honorable Kill",,,,,,,,,,,,,,,,0xFF01FE,"Achieve an honorable kill.",,,,,,,,,,,,,,,,0xFF01FE,95,0xA,1,0x0,3454,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
