long,str,flags,flags,long,long,long,long,
0,"Stand",0x0,0x1,3,147,0,0,
1,"Death",0x0,0x300,10,0,1,0,
2,"Spell",0x4,0x100,2,0,2,0,
3,"Stop",0x0,0x1,4,0,3,0,
4,"Walk",0x0,0x41,6,0,4,0,
5,"Run",0x0,0x41,6,0,5,0,
6,"Dead",0x0,0x900,43,1,6,0,
7,"Rise",0x0,0x100,0,0,7,0,
8,"StandWound",0x0,0x128,0,25,8,0,
9,"CombatWound",0x0,0x128,7,8,9,0,
10,"CombatCritical",0x0,0x128,7,9,10,0,
11,"ShuffleLeft",0x0,0x1,4,0,11,0,
12,"ShuffleRight",0x0,0x1,4,0,12,0,
13,"Walkbackwards",0x0,0x41,17,4,13,0,
14,"Stun",0x0,0x100,3,0,14,0,
15,"HandsClosed",0x0,0x0,0,0,15,0,
16,"AttackUnarmed",0x10,0x128,3,0,16,0,
17,"Attack1H",0x20,0x128,3,16,17,0,
18,"Attack2H",0x20,0x128,3,17,18,0,
19,"Attack2HL",0x20,0x128,1,18,19,0,
20,"ParryUnarmed",0x0,0x128,3,8,20,0,
21,"Parry1H",0x0,0x128,3,8,21,0,
22,"Parry2H",0x0,0x128,3,8,22,0,
23,"Parry2HL",0x0,0x128,3,8,23,0,
24,"ShieldBlock",0x0,0x128,3,8,24,0,
25,"ReadyUnarmed",0x10,0x100,3,0,25,0,
26,"Ready1H",0x20,0x100,3,25,26,0,
27,"Ready2H",0x20,0x100,3,25,27,0,
28,"Ready2HL",0x20,0x0,3,25,28,0,
29,"ReadyBow",0x0,0x0,3,0,29,0,
30,"Dodge",0x0,0x128,3,8,30,0,
31,"SpellPrecast",0x4,0x108,3,0,31,0,
32,"SpellCast",0x4,0x100,3,16,32,0,
33,"SpellCastArea",0x4,0x108,2,32,33,0,
34,"NPCWelcome",0x0,0x0,0,0,34,0,
35,"NPCGoodbye",0x0,0x0,0,0,35,0,
36,"Block",0x0,0x128,0,8,36,0,
37,"JumpStart",0x0,0x101,3,0,37,0,
38,"Jump",0x0,0x101,2,0,38,0,
39,"JumpEnd",0x0,0x101,3,0,39,0,
40,"Fall",0x0,0x101,3,41,40,0,
41,"SwimIdle",0x0,0x1,7,0,41,0,
42,"Swim",0x4,0x141,6,4,42,0,
43,"SwimLeft",0x4,0x141,4,0,43,0,
44,"SwimRight",0x4,0x141,4,0,44,0,
45,"SwimBackwards",0x4,0x141,22,42,45,0,
46,"AttackBow",0x10,0x108,3,0,46,0,
47,"FireBow",0x0,0x100,2,0,47,0,
48,"ReadyRifle",0x0,0x0,3,0,48,0,
49,"AttackRifle",0x10,0x108,3,0,49,0,
50,"Loot",0x4,0x100,3,0,50,0,
51,"ReadySpellDirected",0x4,0x100,2,52,51,0,
52,"ReadySpellOmni",0x4,0x108,3,31,52,0,
53,"SpellCastDirected",0x4,0x108,2,54,53,0,
54,"SpellCastOmni",0x4,0x108,3,33,54,0,
55,"BattleRoar",0x0,0x108,3,16,55,0,
56,"ReadyAbility",0x20,0x100,2,0,56,0,
57,"Special1H",0x20,0x120,3,17,57,0,
58,"Special2H",0x20,0x120,2,18,58,0,
59,"ShieldBash",0x0,0x128,2,87,59,0,
60,"EmoteTalk",0x10,0x108,67,0,60,0,
61,"EmoteEat",0x10,0x108,67,0,61,0,
62,"EmoteWork",0x10,0x100,67,0,62,0,
63,"EmoteUseStanding",0x10,0x108,65,123,63,0,
64,"EmoteTalkExclamation",0x10,0x108,67,0,64,0,
65,"EmoteTalkQuestion",0x10,0x108,67,0,65,0,
66,"EmoteBow",0x10,0x100,67,0,66,0,
67,"EmoteWave",0x10,0x108,67,0,67,0,
68,"EmoteCheer",0x10,0x100,67,0,68,0,
