long,long,long,long,long,long,long,long,long,long,long,long,float,float,float,long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,None,
792,3,5,0,0,0,0,0,0,0,0,0,234.850006104,-2127.76000977,118.095001221,0,525,47,"Aerie Peak",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1032,0,7,0,0,0,0,0,0,0,0,0,-4817.79003906,-2666.69995117,351.196990967,0,516,838,"Algaz Station",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
27,3,7,0,0,0,0,0,0,0,0,84,-6392.64990234,-3158.0,299.765014648,0,517,338,"Angor Fortress",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1,3,7,0,0,0,0,0,0,0,0,0,-6134.27978516,383.763000488,399.253997803,0,517,132,"Anvilmar",,,,,,,,,,,,,,,,0xFF01FF,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1287,0,7,0,0,0,0,0,0,0,0,0,-10443.2998047,-2141.10009766,90.7794036865,0,516,2697,"Ariden's Camp",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1128,0,7,0,0,0,0,0,0,0,0,0,-10349.7001953,-1538.80004883,92.6423034668,0,0,42,"Beggar's Haunt",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
40,3,5,0,0,0,0,0,0,0,0,0,-14383.2998047,487.139007568,-29.5617008209,0,525,35,"Booty Bay",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1010,0,7,0,0,0,0,0,0,0,0,0,-1194.05004883,-2119.15991211,61.8807983398,0,516,1858,"Boulderfist Outpost",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
2,3,7,0,0,0,0,0,0,0,0,0,2249.85009766,278.414001465,34.1137008667,0,517,159,"Brill",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1018,0,7,0,0,0,0,0,0,0,0,0,2483.97998047,-5183.79003906,76.1135025024,0,516,2271,"Browman Mill",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
