long,long,long,long,flags,long,long,long,long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,flags,long,None,None,long,float,float,None,
1,0,0,119,0x41,0,11,42,8,0,0,"Dun Morogh",,,,,,,,,,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.300000011921,,
2,0,40,120,0x40000040,0,11,0,9,0,0,"Longshore",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
3,0,0,121,0x40,0,11,25,7,0,0,"Badlands",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.10000000149,,
4,0,0,122,0x40,0,11,210,7,0,0,"Blasted Lands",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
7,0,33,123,0x40000040,0,11,0,3,0,0,"Blackwater Cove",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
8,0,0,124,0x40,0,11,33,223,0,0,"Swamp of Sorrows",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
9,0,12,125,0x40300000,0,11,35,1,0,0,"Northshire Valley",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
10,0,0,617,0x40,0,11,40,2,0,0,"Duskwood",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
11,0,0,618,0x40,0,11,44,227,0,0,"Wetlands",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
12,0,0,126,0x40,0,11,35,1,0,0,"Elwynn Forest",,,,,,,,,,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
13,0,10,555,0x40000040,0,11,48,11,0,0,"The World Tree",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
14,1,0,127,0x40,0,11,25,9,0,0,"Durotar",,,,,,,,,,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.40000000596,,
15,1,0,128,0x40,0,11,33,227,0,0,"Dustwallow Marsh",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.40000000596,,
16,1,0,129,0x40,0,11,31,205,0,0,"Azshara",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
17,1,0,130,0x40,0,11,38,7,0,0,"The Barrens",,,,,,,,,,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.300000011921,,
18,0,12,131,0x40000040,0,11,35,1,0,7,"Crystal Lake",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
19,0,33,574,0x40000040,0,11,32,3,0,40,"Zul'Gurub",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
20,0,40,132,0x40000040,0,11,0,9,0,14,"Moonbrook",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
21,0,0,133,0x40,0,11,0,8,0,0,"Kul Tiras",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
22,451,0,547,0x4440,0,11,38,2,0,0,"Programmer Isle",,,,,,,,,,,,,,,,0xFF01FE,0x0,1,,,0,-500.0,0.0,,
23,0,12,134,0x40100040,0,11,35,0,0,0,"Northshire River",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
