long,float,flags,float,long,float,flags,float,long,float,flags,
1,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,739005.5,0x2,
2,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,739007.0625,0x2,
3,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,739007.0625,0x2,
4,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,739007.0625,0x2,
5,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,739007.0625,0x2,
6,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,739007.0625,0x2,
7,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,739007.0625,0x2,
8,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,739007.0625,0x2,
9,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,739007.0625,0x2,
10,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,739007.0625,0x2,
11,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,-4.92991163872e+015,0x4B2008F,-1.777192e-024,2118318316,739022.5625,0x2,
238,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12799291.0,0x2,
239,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12799291.0,0x2,
240,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12799291.0,0x2,
241,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12799291.0,0x2,
271,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12802189.0,0x2,
292,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12802189.0,0x2,
313,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12802189.0,0x2,
334,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12802189.0,0x2,
338,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12803476.0,0x2,
339,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12803476.0,0x2,
340,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12803476.0,0x2,
341,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12870181.0,0x2,
342,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12870181.0,0x2,
343,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12870841.0,0x2,
344,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12870841.0,0x2,
345,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878380.0,0x2,
346,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878380.0,0x2,
347,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878380.0,0x2,
348,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878380.0,0x2,
349,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878380.0,0x2,
350,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878380.0,0x2,
351,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878380.0,0x2,
352,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878380.0,0x2,
353,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878380.0,0x2,
354,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878380.0,0x2,
355,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878380.0,0x2,
356,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878554.0,0x2,
357,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878554.0,0x2,
358,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878554.0,0x2,
359,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878554.0,0x2,
360,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878554.0,0x2,
361,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12878554.0,0x2,
362,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12879193.0,0x2,
363,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12879193.0,0x2,
364,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12879349.0,0x2,
365,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12879349.0,0x2,
366,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12879607.0,0x2,
367,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12879607.0,0x2,
368,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
369,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
370,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
371,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
372,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
373,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
374,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
375,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
376,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
377,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
378,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
379,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
380,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
381,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
382,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
383,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
384,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
385,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
386,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
387,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
388,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
389,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
390,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
391,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
392,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
393,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
394,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
395,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
396,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
397,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
398,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
399,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
400,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
401,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
402,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
403,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
404,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
405,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
406,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
407,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
408,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
409,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
410,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
411,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
412,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
413,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
414,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
415,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
416,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
417,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
418,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
419,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
420,0.0,0x0,0.0,0,0.0,0x0,0.0,0,12883259.0,0x2,
