long,bool,flags,float,float,float,float,float,
1,1,0x2,2.0,3.0,0.40000000596,0.0599999986589,1.0,
2,1,0x2,7.0,3.0,0.40000000596,0.0599999986589,1.0,
4,0,0x0,2.0,6.0,4.0,0.0,0.40000000596,
5,0,0x1,2.0,4.0,4.0,0.0,0.40000000596,
6,0,0x2,4.0,5.19999980927,4.0,0.0,0.40000000596,
7,1,0x0,2.0,6.0,2.0,0.0,0.40000000596,
8,1,0x1,2.0,4.0,2.0,0.0,0.40000000596,
9,1,0x2,4.0,5.19999980927,2.0,0.0,0.40000000596,
10,1,0x2,3.0,2.0,0.600000023842,0.159999996424,2.0,
11,1,0x2,4.0,3.0,0.600000023842,0.10000000149,2.0,
12,1,0x2,6.0,4.0,0.649999976158,0.0799999982119,1.0,
13,0,0x0,2.0,6.0,0.600000023842,0.0,3.0,
14,0,0x1,2.0,6.0,0.600000023842,0.0,3.0,
15,0,0x2,2.0,6.0,0.600000023842,0.0,3.0,
16,1,0x0,1.0,7.0,1.0,0.0,0.40000000596,
17,1,0x1,1.0,4.0,1.0,0.0,0.40000000596,
18,1,0x2,1.0,6.0,1.0,0.0,0.40000000596,
36,0,0x0,2.0,6.0,10.0,0.0,0.40000000596,
37,0,0x1,2.0,4.0,10.0,0.0,0.40000000596,
38,0,0x2,4.0,5.19999980927,10.0,0.0,0.40000000596,
56,0,0x0,5.0,2.5,0.25,0.0,1.0,
76,0,0x0,2.0,6.0,20.0,0.0,0.40000000596,
77,0,0x1,2.0,4.0,20.0,0.0,0.40000000596,
78,0,0x2,4.0,5.19999980927,20.0,0.0,0.40000000596,
79,0,0x0,2.0,6.0,7.0,0.0,0.40000000596,
80,0,0x1,2.0,4.0,7.0,0.0,0.40000000596,
81,0,0x2,4.0,5.19999980927,7.0,0.0,0.40000000596,
82,1,0x2,12.0,3.0,0.600000023842,0.0599999986589,1.0,
83,1,0x2,9.0,8.0,2.0,0.0599999986589,1.0,
84,0,0x2,10.0,10.0,1.5,0.0,3.0,
85,0,0x1,10.0,10.0,1.5,0.0,3.0,
86,0,0x0,10.0,10.0,1.5,0.0,3.0,
87,0,0x0,2.0,4.0,4.0,0.0,0.40000000596,
89,0,0x1,2.0,4.0,4.0,0.0,0.40000000596,
90,0,0x2,2.0,4.0,4.0,0.0,0.40000000596,
91,0,0x0,4.0,6.0,4.0,0.0,0.40000000596,
92,0,0x2,4.0,6.0,7.0,0.0,0.40000000596,
93,0,0x1,4.0,6.0,4.0,0.0,0.40000000596,
94,0,0x0,6.0,8.0,7.0,0.0,0.40000000596,
95,0,0x1,6.0,8.0,7.0,0.0,0.40000000596,
96,0,0x2,6.0,8.0,7.0,0.0,0.40000000596,
97,0,0x0,10.0,6.0,10.0,0.0,0.40000000596,
98,0,0x1,10.0,4.0,10.0,0.0,0.40000000596,
99,0,0x2,10.0,5.19999980927,10.0,0.0,0.40000000596,
100,0,0x0,2.0,6.0,4.0,0.0,0.40000000596,
101,0,0x1,2.0,4.0,4.0,0.0,0.40000000596,
102,0,0x2,4.0,5.19999980927,4.0,0.0,0.40000000596,
103,0,0x0,4.0,6.0,1.0,0.0,0.40000000596,
104,0,0x1,4.0,6.0,1.0,0.0,0.40000000596,
105,0,0x2,4.0,6.0,1.0,0.0,0.40000000596,
106,1,0x2,10.0,8.0,1.0,0.0599999986589,1.0,
107,0,0x0,10.0,10.0,0.75,0.0,3.0,
109,0,0x1,10.0,10.0,0.75,0.0,3.0,
110,0,0x2,10.0,10.0,0.75,0.0,3.0,
111,0,0x0,0.0500000007451,12.0,2.0,0.0,0.40000000596,
112,0,0x1,0.0500000007451,12.0,2.0,0.0,0.40000000596,
113,0,0x2,0.070000000298,12.0,2.0,0.0,0.40000000596,
114,0,0x0,1.5,5.0,1.0,0.0,0.40000000596,
115,0,0x1,1.5,5.0,1.0,0.0,0.40000000596,
116,0,0x2,1.5,5.0,1.0,0.0,0.40000000596,
117,1,0x0,1.0,8.0,0.20000000298,0.0,0.40000000596,
118,1,0x1,1.0,8.0,0.20000000298,0.0,0.40000000596,
119,1,0x2,1.0,8.0,0.300000011921,0.0,0.40000000596,
120,0,0x0,8.0,0.5,2.0,0.0,0.40000000596,
121,0,0x1,8.0,0.5,2.0,0.0,0.40000000596,
122,0,0x2,8.0,0.5,2.0,0.0,0.40000000596,
123,0,0x0,2.0,4.0,1.0,0.0,0.40000000596,
124,0,0x1,2.0,4.0,1.0,0.0,0.40000000596,
125,0,0x2,2.0,4.0,1.0,0.0,0.40000000596,
132,0,0x0,2.0,6.0,5.0,0.0,0.40000000596,
133,0,0x1,2.0,4.0,5.0,0.0,0.40000000596,
134,0,0x2,4.0,5.19999980927,5.0,0.0,0.40000000596,
141,0,0x0,10.0,10.0,4.0,0.0,3.0,
142,0,0x1,10.0,10.0,4.0,0.0,3.0,
143,1,0x2,6.0,10.0,6.0,0.0,3.0,
144,0,0x0,8.0,8.0,12.0,0.0,0.40000000596,
145,0,0x1,8.0,8.0,12.0,0.0,0.40000000596,
146,0,0x2,8.0,8.0,12.0,0.0,0.40000000596,
