long,long,long,flags,long,long,str,long,long,long,flags,str,long,flags,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,str,str,bool,
1,12,1,0x102C,49,50,"Hu",7,7,15007,0x448,"Human",81,0x0,"Human",,,,,,,,,,,,,,,,0xFF01FF,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"NORMAL","PIERCINGS","NORMAL",0,
2,12,2,0x102D,51,52,"Or",1,7,15007,0x448,"Orc",21,0x1,"Orc",,,,,,,,,,,,,,,,0xFF01FF,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"NORMAL","PIERCINGS","NORMAL",0,
3,12,3,0x1033,53,54,"Dw",7,7,15007,0x442,"Dwarf",41,0x0,"Dwarf",,,,,,,,,,,,,,,,0xFF01FF,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"NORMAL","PIERCINGS","NORMAL",0,
4,4,4,0x1031,55,56,"Ni",7,7,15007,0x448,"NightElf",61,0x0,"Night Elf",,,,,,,,,,,,,,,,0xFF01FF,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"NORMAL","MARKINGS","NORMAL",0,
5,12,5,0x102E,57,58,"Sc",1,7,15007,0x448,"Scourge",2,0x1,"Undead",,,,,,,,,,,,,,,,0xFF01FF,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"FEATURES","FEATURES","NORMAL",0,
6,14,6,0x102F,59,60,"Ta",1,7,15007,0x448,"Tauren",141,0x1,"Tauren",,,,,,,,,,,,,,,,0xFF01FF,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"NORMAL","HAIR","HORNS",0,
7,12,115,0x1032,1563,1564,"Gn",7,7,15007,0x448,"Gnome",101,0x0,"Gnome",,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"NORMAL","EARRINGS","NORMAL",0,
8,14,116,0x1030,1478,1479,"Tr",1,7,15007,0x448,"Troll",121,0x1,"Troll",,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"TUSKS","TUSKS","NORMAL",0,
9,1,1,0x0,6894,6895,"Go",7,7,15007,0x448,"Goblin",0,0x2,"Goblin",,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"NORMAL","NONE","NORMAL",0,
10,12,1610,0x102E,15476,15475,"Be",1,7,15007,0x448,"BloodElf",162,0x1,"Blood Elf",,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"NORMAL","EARRINGS","NORMAL",1,
11,14,1629,0x102C,16125,16126,"Dr",7,7,15007,0x448,"Draenei",163,0x0,"Draenei",,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"NORMAL","HORNS","NORMAL",1,
12,5,1,0x0,16981,16980,"Fo",7,7,15007,0x448,"FelOrc",0,0x2,"Fel Orc",,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"NORMAL","NORMAL","NORMAL",0,
13,1,1,0x0,17402,17403,"Na",7,7,15007,0x448,"Naga_",0,0x2,"Naga",,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"Normal","Normal","Normal",0,
14,5,1,0x0,17576,17577,"Br",7,7,15007,0x448,"Broken",0,0x2,"Broken",,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"Normal","Normal","Normal",0,
15,1,1,0x0,17578,17579,"Sk",7,7,15007,0x448,"Skeleton",0,0x2,"Skeleton",,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"Normal","Normal","Normal",0,
16,9,1,0x0,21685,21686,"Vr",7,7,15007,0x448,"Vrykul",0,0x2,"Vrykul",,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"Normal","Normal","Normal",0,
17,1,1,0x0,21780,21781,"Tu",7,7,15007,0x448,"Tuskarr",0,0x2,"Tuskarr",,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"Normal","Normal","Normal",0,
18,15,1,0x0,21963,21964,"Ft",7,7,15007,0x448,"ForestTroll",0,0x2,"Forest Troll",,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"TUSKS","TUSKS","Normal",0,
19,5,1,0x0,26316,26317,"Wt",7,7,15007,0x448,"Taunka",0,0x2,"Taunka",,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"Normal","Normal","Normal",0,
20,5,1,0x0,26871,26872,"NS",7,7,15007,0x448,"NorthrendSkeleton",0,0x2,"Northrend Skeleton",,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"Normal","Normal","Normal",0,
21,5,1,0x0,26873,26874,"It",7,7,15007,0x448,"IceTroll",0,0x2,"Ice Troll",,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01EC,,,,,,,,,,,,,,,,,0xFF01EC,"Normal","Normal","Normal",0,
