long,float,bool,float,long,long,flags,long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,
1,0.699999988079,1,1.0,60,208,0x10E,1,0,23,"Wolf",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Wolf",
2,0.699999988079,1,1.10000002384,60,209,0x10E,3,0,5,"Cat",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Cat",
3,0.40000000596,1,0.600000023842,60,203,0x10E,1,2,17,"Spider",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Spider",
4,0.600000023842,1,1.0,60,210,0x10E,63,1,1,"Bear",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Bear",
5,0.600000023842,1,1.0,60,211,0x10E,63,1,3,"Boar",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Boar",
6,0.40000000596,1,0.600000023842,60,212,0x10E,3,1,7,"Crocolisk",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Crocolisk",
7,0.5,1,0.899999976158,60,213,0x10E,3,0,4,"Carrion Bird",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Vulture",
8,0.699999988079,1,1.39999997616,60,214,0x10E,58,1,6,"Crab",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Crab",
9,0.699999988079,1,1.0,60,215,0x10E,56,1,9,"Gorilla",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Gorilla",
11,0.5,1,0.800000011921,60,217,0x10E,1,0,13,"Raptor",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Raptor",
12,0.5,1,0.800000011921,60,218,0x10E,60,0,19,"Tallstrider",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_TallStrider",
