long,long,str,long,float,long,long,float,float,float,None,long,long,long,float,float,float,float,float,float,float,float,float,float,float,float,float,float,
1,10,"Creature\Basilisk\Basilisk.mdx",1,1.0,1,7,18.0,12.0,1.0,,0,0,1,0.694400012493,2.08299994469,0.0,-6.11823987961,-3.00924301147,-0.205842003226,2.77329802513,3.08228111267,2.06980204582,1.0,1.0,0.0,0.0,0.0,
2,2,"Creature\BogBeast\BogBeast.mdx",1,1.0,1,-1,18.0,12.0,1.0,,0,0,2,0.694400012493,2.08299994469,0.0,-0.803960025311,-2.56792402267,-0.177568003535,1.74572503567,2.11365199089,2.84164404869,1.0,1.0,0.0,0.0,0.0,
3,2,"Creature\Centaur\Centaur.mdx",1,1.0,1,-1,18.0,12.0,1.0,,0,0,3,0.694400012493,2.08299994469,0.0,-1.45706701279,-0.507094979286,-0.00472000008449,0.991472005844,0.523132026196,2.76392602921,1.0,1.0,0.0,0.0,0.0,
4,2,"Creature\CrystalSpider\CrystalSpider.mdx",1,1.0,1,0,18.0,12.0,1.0,,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
5,2,"Creature\DarkHound\DarkHound.mdx",1,1.0,1,-1,18.0,12.0,1.0,,0,0,5,0.611100018024,1.66700005531,0.0,-1.34620499611,-0.473691999912,-0.010816000402,0.81945002079,0.423426985741,1.6199079752,1.0,1.0,0.0,0.0,0.0,
6,9,"Creature\DragonWhelp\DragonWhelp.mdx",0,1.0,1,-1,18.0,12.0,1.0,,0,0,6,0.694400012493,2.08299994469,0.0,-0.752445995808,-0.94352799654,0.979083001614,0.637077987194,0.96622300148,3.19062304497,1.0,1.0,0.0,0.0,0.0,
8,0,"Creature\furbolg\Furbolg.mdx",1,1.0,1,7,18.0,12.0,1.0,,0,0,8,0.611100018024,2.03099989891,0.0,-0.586773991585,-0.951519012451,-0.000769999984186,1.08375096321,0.951810002327,1.96814894676,1.0,1.0,0.0,0.0,0.0,
9,3,"Creature\Ghost\Ghost.mdx",1,1.0,1,4,18.0,12.0,1.0,,0,0,9,0.611100018024,2.03099989891,0.0,-1.88822305202,-1.92080199718,-0.331674993038,1.4062319994,1.53625297546,3.10960102081,1.0,1.0,0.0,0.0,0.0,
10,0,"Creature\Gnoll\gnoll.mdx",1,1.0,1,7,18.0,12.0,1.0,,0,0,10,0.611100018024,2.03099989891,0.0,-0.773347020149,-0.695158004761,0.000414999987697,0.731812000275,0.757685005665,1.75619995594,1.0,1.0,0.0,0.0,0.0,
11,0,"Creature\Grell\Grell.mdx",0,1.0,1,4,18.0,12.0,1.0,,0,0,11,0.472200006247,1.52799999714,0.0,-1.46378803253,-0.768815994263,-0.00277799996547,0.697103023529,0.748070001602,1.42325901985,1.0,1.0,0.0,0.0,0.0,
12,1,"Creature\Harpy\Harpy.mdx",1,1.0,1,-1,18.0,12.0,1.0,,0,0,12,0.611100018024,2.03099989891,0.0,-0.560316026211,-1.66741096973,0.857127010822,0.60470700264,1.69726204872,4.54122591019,1.0,1.0,0.0,0.0,0.0,
13,0,"Creature\HUFMCitizenLow\HUFMCitizenLow.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,13,0.509700000286,2.03099989891,0.0,-0.198980003595,-0.37892600894,-0.0144159998745,0.390325009823,0.32205298543,1.89609694481,1.0,1.0,0.0,0.0,0.0,
14,0,"Creature\HUFMCitizenMid\HUFMCitizenMid.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,14,0.509700000286,2.03099989891,0.0,-0.230800002813,-0.378926992416,-0.014414999634,0.390320003033,0.322057008743,1.88332796097,1.0,1.0,0.0,0.0,0.0,
15,0,"Creature\HUFMMerchant\HUFMMerchant.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,15,0.509700000286,2.03099989891,0.0,-0.198983997107,-0.378926992416,-0.014414999634,0.390320003033,0.322057008743,1.90167200565,1.0,1.0,0.0,0.0,0.0,
16,0,"Creature\HumanThief\HumanThief.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,16,0.694400012493,2.08299994469,0.0,-0.489163011312,-0.396400988102,-0.0144250001758,0.580314993858,0.315948992968,1.77574801445,1.0,1.0,0.0,0.0,0.0,
17,0,"Creature\HUMLBlackSmith\HUMLBlackSmith.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,17,0.509700000286,2.03099989891,0.0,-0.294739991426,-0.582370996475,-0.00705299992114,0.51945400238,0.555571973324,2.00862288475,1.0,1.0,0.0,0.0,0.0,
18,0,"Creature\HUMLMagicSmith\HUMLMagicSmith.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,18,0.509700000286,2.03099989891,0.0,-0.294739991426,-0.689696013927,-0.00705200014636,0.617837011814,0.555571973324,2.27554106712,1.0,1.0,0.0,0.0,0.0,
19,0,"Creature\HUMLMerchant\HUMLMerchant.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,19,0.509700000286,2.03099989891,0.0,-0.293406993151,-0.581777989864,-0.00681099994108,0.515012979507,0.55491399765,2.01039600372,1.0,1.0,0.0,0.0,0.0,
20,0,"Creature\HUMLUpperCitizen\HUMLUpperCitizen.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,20,0.509700000286,2.03099989891,0.0,-0.293581008911,-0.581821978092,-0.00681099994108,0.515112996101,0.554888010025,2.0502550602,1.0,1.0,0.0,0.0,0.0,
21,0,"Creature\HUMNGuardBig\HUMNGuardBig.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,21,0.509700000286,2.03099989891,0.0,-0.524196028709,-0.470910012722,-0.00255100009963,0.42838999629,0.517416000366,2.22750091553,1.0,1.0,0.0,0.0,0.0,
22,0,"Creature\HUMSCitizenMid\HUMSCitizenMid.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,22,0.611100018024,2.03099989891,1.16668903828,-0.717700004578,-0.869458973408,-0.000788000004832,0.368034988642,0.74946397543,2.02525806427,1.0,1.0,0.0,0.0,0.0,
23,0,"Creature\HUMSMerchant\HUMSMerchant.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,23,0.509700000286,2.03099989891,0.0,-0.24360999465,-0.537322998047,-0.00152399996296,0.503072977066,0.54058098793,2.02428102493,1.0,1.0,0.0,0.0,0.0,
24,2,"Creature\Infernal\Infernal.mdx",1,1.0,1,5,18.0,12.0,1.0,,0,10,24,0.611100018024,2.03099989891,0.0,-1.43900704384,-2.75123405457,0.0308890007436,1.05978000164,2.72713589668,4.1291217804,1.0,1.0,0.0,0.0,0.0,
25,0,"Creature\KeeperOfTheGrove\KeeperOfTheGrove.mdx",1,1.0,1,6,18.0,12.0,1.0,,0,0,25,0.611100018024,2.03099989891,1.99583804607,-1.85265600681,-1.0011639595,-0.021420000121,1.47019803524,1.58020997047,4.13548612595,1.0,1.0,0.0,0.0,0.0,
26,0,"Creature\Kobold\Kobold.mdx",0,1.0,1,1,18.0,12.0,1.0,,0,0,26,0.694400012493,1.38900005817,0.0,-0.981126010418,-0.552604973316,-0.00810899958014,0.943606972694,0.480619013309,1.23509895802,1.0,1.0,0.0,0.0,0.0,
27,0,"Creature\Kodobeast\KodoBeast.mdx",3,1.0,1,1,18.0,12.0,1.0,,1,10,27,0.611100018024,2.03099989891,3.54286694527,-7.28206777573,-2.41274595261,-0.0208390001208,3.343075037,2.27780389786,5.36693620682,1.0,1.0,0.0,0.0,0.0,
28,2,"Creature\LavaSpider\LavaSpider.mdx",1,1.0,1,-1,18.0,12.0,1.0,,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
