id;modelid1;value
1;10045;Waypoint (Only GM can see it)
3;987;Flesh Eater
6;10913;Kobold Vermin
25;4465;Mithril Mechanical Dragonling
30;382;Forest Spider
36;367;Harvest Golem
38;5035;Defias Thug
40;373;Kobold Miner
43;368;Mine Spider
46;441;Murloc Forager
48;200;Skeletal Warrior
54;1287;Corina Steele
60;2153;Ruklar the Trapper
61;3341;Thuros Lightfingers
66;1298;Tharynn Bouden
68;3167;Stormwind City Guard
69;31048;Diseased Timber Wolf
74;1289;Kurran Steele
78;3275;Janos Hammerknuckle
79;774;Narg the Taskmaster
80;365;Kobold Laborer
89;169;Infernal
92;171;Rock Elemental
94;2361;Defias Cutpurse
95;4418;Defias Smuggler
97;10791;Riverpaw Runt
98;376;Riverpaw Taskmaster
99;3320;Morgaine the Sly
100;175;Gruff Swiftbite
103;2073;Garrick Padfoot
113;503;Stonetusk Boar
114;378;Harvest Watcher
115;379;Harvest Reaper
116;2357;Defias Bandit
117;175;Riverpaw Gnoll
118;11415;Prowler
119;381;Longsnout
121;2336;Defias Pathstalker
122;2342;Defias Highwayman
123;383;Riverpaw Mongrel
124;384;Riverpaw Brute
125;10790;Riverpaw Overseer
126;983;Murloc Coastrunner
127;1995;Murloc Tidehunter
128;1415;Angry Programmer Tweedle Dee
151;1292;Brog Hamfist
152;3277;Brother Danil
154;1105;Greater Fleshripper
157;3027;Goretusk
167;1844;Morhan Coppertongue
171;1305;Murloc Warrior
190;3276;Dermot Johns
193;196;Blue Dragonspawn
196;3251;Eagan Peltskinner
197;1859;Marshal McBride
198;5001;Khelden Bremen
199;410;Young Fleshripper
202;9786;Skeletal Horror
203;9783;Skeletal Mage
205;736;Nightbane Dark Runner
206;522;Nightbane Vile Fang
210;570;Bone Chewer
212;610;Splinter Fist Warrior
213;801;Starving Dire Wolf
215;4276;Defias Night Runner
217;955;Venom Web Spider
218;4275;Grave Robber
222;1845;Nillen Andemar
223;10619;Dan Golthas
225;4331;Gavin Gnarltree
226;4332;Morg Gnarltree
227;4340;Mabel Solaj
228;4334;Avette Fellwood
232;3614;Farmer Ray
233;1943;Farmer Saldean
234;1690;Gryan Stoutmantle
235;1691;Salma Saldean
237;1944;Farmer Furlbrow
238;1692;Verna Furlbrow
239;3265;Grimbooze Thunderbrew
240;1985;Marshal Dughan
241;3254;"Remy ""Two Times"""
244;3330;Ma Stonefield
246;3329;Auntie Bernice Stonefield
247;221;Billy Maclure
248;2959;Gramma Stonefield
250;3327;Pa Maclure
251;3323;Maybell Maclure
252;3331;Tommy Joe Stonefield
253;5038;William Pestle
255;3324;Gerard Tiller
257;2299;Kobold Worker
258;3328;Joshua Maclure
261;1984;Guard Thomas
263;4321;Lord Ello Ebonlocke
264;4322;Commander Althea Ebonlocke
265;4323;Madame Eva
266;1741;Wiley the Black
267;1720;Clerk Daltry
268;4324;Sirra Von'Indi
269;4309;Role Dreuger
270;1724;Councilman Millstipe
271;1713;Ambassador Berrybuck
272;1715;Chef Grual
273;1731;Tavernkeep Smitts
274;5039;Barkeep Hann
275;1734;Whit Wantmal
276;4326;Viktori Prism'Antras
277;1433;Roberto Pupellyverbos
278;3268;Sara Timberlain
279;5082;Morgan Pestle
284;2404;Brown Horse
285;617;Murloc
288;4325;Jitters
289;4328;Abercrombie
294;1689;Marshal Haggard
