long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,bool,
1,"Beast",,,,,,,,,,,,,,,,0xFF01FE,0,
2,"Dragonkin",,,,,,,,,,,,,,,,0xFF01FE,0,
3,"Demon",,,,,,,,,,,,,,,,0xFF01FE,0,
4,"Elemental",,,,,,,,,,,,,,,,0xFF01FE,0,
5,"Giant",,,,,,,,,,,,,,,,0xFF01FE,0,
6,"Undead",,,,,,,,,,,,,,,,0xFF01FE,0,
7,"Humanoid",,,,,,,,,,,,,,,,0xFF01FE,0,
8,"Critter",,,,,,,,,,,,,,,,0xFF01FE,1,
9,"Mechanical",,,,,,,,,,,,,,,,0xFF01FE,0,
10,"Not specified",,,,,,,,,,,,,,,,0xFF01FE,0,
11,"Totem",,,,,,,,,,,,,,,,0xFF01FE,0,
12,"Non-combat Pet",,,,,,,,,,,,,,,,0xFF01FE,1,
13,"Gas Cloud",,,,,,,,,,,,,,,,0xFF01FE,1,
