long,long,long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,
464,33,0,0,0,"Rethilgore",,,,,,,,,,,,,,,,0xFF01FE,,
465,33,0,1000,1,"Razorclaw the Butcher",,,,,,,,,,,,,,,,0xFF01FE,,
466,33,0,2000,2,"Baron Silverlaine",,,,,,,,,,,,,,,,0xFF01FE,,
467,33,0,3000,3,"Commander Springvale",,,,,,,,,,,,,,,,0xFF01FE,,
468,33,0,4000,4,"Odo the Blindwatcher",,,,,,,,,,,,,,,,0xFF01FE,,
469,33,0,5000,5,"Fenrus the Devourer",,,,,,,,,,,,,,,,0xFF01FE,,
470,33,0,6000,6,"Wolf Master Nandos",,,,,,,,,,,,,,,,0xFF01FE,,
471,33,0,7000,7,"Archmage Arugal",,,,,,,,,,,,,,,,0xFF01FE,,
536,34,0,0,0,"Targorr the Dread",,,,,,,,,,,,,,,,0xFF01FE,,
537,34,0,1000,1,"Kam Deepfury",,,,,,,,,,,,,,,,0xFF01FE,,
538,34,0,2000,2,"Hamhock",,,,,,,,,,,,,,,,0xFF01FE,,
540,34,0,4000,4,"Dextren Ward",,,,,,,,,,,,,,,,0xFF01FE,,
539,34,0,5000,3,"Bazil Thredd",,,,,,,,,,,,,,,,0xFF01FE,,
161,36,0,0,0,"Rhahk'zor",,,,,,,,,,,,,,,,0xFF01FE,,
162,36,0,500,1,"Sneed",,,,,,,,,,,,,,,,0xFF01FE,,
163,36,0,750,2,"Gilnid",,,,,,,,,,,,,,,,0xFF01FE,,
164,36,0,875,3,"Mr. Smite",,,,,,,,,,,,,,,,0xFF01FE,,
165,36,0,937,4,"Cookie",,,,,,,,,,,,,,,,0xFF01FE,,
166,36,0,968,5,"Captain Greenskin",,,,,,,,,,,,,,,,0xFF01FE,,
167,36,0,1000,6,"Edwin VanCleef",,,,,,,,,,,,,,,,0xFF01FE,,
585,43,0,0,0,"Lady Anacondra",,,,,,,,,,,,,,,,0xFF01FE,,
586,43,0,1000,1,"Lord Cobrahn",,,,,,,,,,,,,,,,0xFF01FE,,
587,43,0,2000,2,"Kresh",,,,,,,,,,,,,,,,0xFF01FE,,
588,43,0,3000,3,"Lord Pythas",,,,,,,,,,,,,,,,0xFF01FE,,
589,43,0,4000,4,"Skum",,,,,,,,,,,,,,,,0xFF01FE,,
590,43,0,5000,5,"Lord Serpentis",,,,,,,,,,,,,,,,0xFF01FE,,
591,43,0,6000,6,"Verdan the Everliving",,,,,,,,,,,,,,,,0xFF01FE,,
592,43,0,7000,7,"Mutanus the Devourer",,,,,,,,,,,,,,,,0xFF01FE,,
440,47,0,-1000,2,"Death Speaker Jargba",,,,,,,,,,,,,,,,0xFF01FE,,
438,47,0,0,0,"Roogug",,,,,,,,,,,,,,,,0xFF01FE,,
439,47,0,1000,1,"Aggem Thorncurse",,,,,,,,,,,,,,,,0xFF01FE,,
441,47,0,3000,3,"Overlord Ramtusk",,,,,,,,,,,,,,,,0xFF01FE,,
883,47,0,3500,5,"Agathelos the Raging",,,,,,,,,,,,,,,,0xFF01FE,,
443,47,0,4000,4,"Charlga Razorflank",,,,,,,,,,,,,,,,0xFF01FE,,
219,48,0,0,0,"Ghamoo-ra",,,,,,,,,,,,,,,,0xFF01FE,,
220,48,0,1000,1,"Lady Sarevess",,,,,,,,,,,,,,,,0xFF01FE,,
221,48,0,2000,2,"Gelihast",,,,,,,,,,,,,,,,0xFF01FE,,
