long,str,long,flags,flags,long,long,
0,"ONESHOT_NONE",0,0x0,0x0,0,0,
1,"ONESHOT_TALK(DNR)",60,0x8C,0x0,0,0,
2,"ONESHOT_BOW",66,0x4801,0x0,0,0,
3,"ONESHOT_WAVE(DNR)",67,0x800,0x0,0,0,
4,"ONESHOT_CHEER(DNR)",68,0x800,0x0,0,0,
5,"ONESHOT_EXCLAMATION(DNR)",64,0xA4,0x0,0,0,
6,"ONESHOT_QUESTION",65,0x94,0x0,0,0,
7,"ONESHOT_EAT",61,0x800,0x0,0,0,
10,"STATE_DANCE",69,0x7081,0x2,0,0,
11,"ONESHOT_LAUGH",70,0x980,0x0,0,0,
12,"STATE_SLEEP",0,0x6202,0x1,3,0,
13,"STATE_SIT",0,0x6202,0x1,1,0,
14,"ONESHOT_RUDE(DNR)",73,0x1,0x0,0,0,
15,"ONESHOT_ROAR(DNR)",74,0x4,0x0,0,0,
16,"ONESHOT_KNEEL",75,0x4000,0x0,0,0,
17,"ONESHOT_KISS",76,0x0,0x0,0,0,
18,"ONESHOT_CRY",77,0x0,0x0,0,0,
19,"ONESHOT_CHICKEN",78,0x0,0x0,0,0,
20,"ONESHOT_BEG",79,0x4000,0x0,0,0,
21,"ONESHOT_APPLAUD",80,0x0,0x0,0,0,
22,"ONESHOT_SHOUT(DNR)",81,0x8C0,0x0,0,0,
23,"ONESHOT_FLEX",82,0x0,0x0,0,0,
24,"ONESHOT_SHY(DNR)",83,0x4000,0x0,0,0,
25,"ONESHOT_POINT(DNR)",84,0x0,0x0,0,0,
26,"STATE_STAND",0,0x6202,0x1,0,0,
27,"STATE_READYUNARMED",25,0x6800,0x2,0,0,
28,"STATE_WORK_SHEATHED",62,0x6000,0x2,0,0,
29,"STATE_POINT(DNR)",84,0x4000,0x2,0,0,
30,"STATE_NONE",0,0x4000,0x2,0,0,
33,"ONESHOT_WOUND",9,0x400,0x0,0,0,
34,"ONESHOT_WOUNDCRITICAL",10,0x400,0x0,0,0,
35,"ONESHOT_ATTACKUNARMED",16,0x4404,0x0,0,0,
36,"ONESHOT_ATTACK1H",17,0x4404,0x0,0,0,
37,"ONESHOT_ATTACK2HTIGHT",18,0x4404,0x0,0,0,
38,"ONESHOT_ATTACK2HLOOSE",19,0x4404,0x0,0,0,
39,"ONESHOT_PARRYUNARMED",20,0x4404,0x0,0,0,
43,"ONESHOT_PARRYSHIELD",24,0x4404,0x0,0,0,
44,"ONESHOT_READYUNARMED",25,0x400,0x0,0,0,
45,"ONESHOT_READY1H",26,0x400,0x0,0,0,
48,"ONESHOT_READYBOW",29,0x400,0x0,0,0,
50,"ONESHOT_SPELLPRECAST",31,0x4400,0x0,0,0,
51,"ONESHOT_SPELLCAST",32,0x4400,0x0,0,0,
53,"ONESHOT_BATTLEROAR",55,0x400,0x0,0,0,
54,"ONESHOT_SPECIALATTACK1H",57,0x4404,0x0,0,0,
60,"ONESHOT_KICK",95,0x4400,0x0,0,0,
61,"ONESHOT_ATTACKTHROWN",107,0x4400,0x0,0,0,
64,"STATE_STUN",14,0x4C00,0x2,0,0,
65,"STATE_DEAD",0,0x6602,0x1,7,0,
66,"ONESHOT_SALUTE",113,0x800,0x0,0,0,
68,"STATE_KNEEL",0,0x6202,0x1,8,0,
69,"STATE_USESTANDING",63,0x6800,0x2,0,0,
70,"ONESHOT_WAVE_NOSHEATHE",67,0x4,0x0,0,0,
71,"ONESHOT_CHEER_NOSHEATHE",68,0x4,0x0,0,0,
92,"ONESHOT_EAT_NOSHEATHE",199,0x4,0x0,0,0,
93,"STATE_STUN_NOSHEATHE",137,0x4004,0x2,0,0,
94,"ONESHOT_DANCE",69,0x4000,0x0,0,0,
113,"ONESHOT_SALUTE_NOSHEATH",210,0x4,0x0,0,0,
133,"STATE_USESTANDING_NOSHEATHE",138,0x2000,0x2,0,0,
153,"ONESHOT_LAUGH_NOSHEATHE",70,0x4,0x0,0,0,
173,"STATE_WORK",136,0x6004,0x2,0,0,
193,"STATE_SPELLPRECAST",31,0x4000,0x2,0,0,
213,"ONESHOT_READYRIFLE",48,0x0,0x0,0,0,
214,"STATE_READYRIFLE",48,0x2000,0x2,0,0,
233,"STATE_WORK_MINING",136,0x2000,0x2,0,3782,
234,"STATE_WORK_CHOPWOOD",136,0x2000,0x2,0,3202,
253,"STATE_APPLAUD",80,0x6000,0x2,0,0,
254,"ONESHOT_LIFTOFF",192,0x0,0x0,0,0,
273,"ONESHOT_YES(DNR)",185,0x0,0x0,0,0,
274,"ONESHOT_NO(DNR)",186,0x0,0x0,0,0,
275,"ONESHOT_TRAIN(DNR)",195,0x0,0x0,0,0,
293,"ONESHOT_LAND",200,0x0,0x0,0,0,
313,"STATE_AT_EASE",0,0x0,0x1,2,0,
333,"STATE_READY1H",26,0x6000,0x2,0,0,
353,"STATE_SPELLKNEELSTART",140,0x0,0x2,0,0,
373,"STAND_STATE_SUBMERGED",202,0x0,0x1,0,0,
374,"ONESHOT_SUBMERGE",201,0x0,0x0,0,0,
375,"STATE_READY2H",27,0x6000,0x2,0,0,
376,"STATE_READYBOW",29,0x2000,0x2,0,0,
377,"ONESHOT_MOUNTSPECIAL",94,0xC001,0x0,0,0,
378,"STATE_TALK",60,0x6000,0x2,0,0,
379,"STATE_FISHING",134,0x6001,0x2,0,0,
380,"ONESHOT_FISHING",133,0x5004,0x0,0,3354,
381,"ONESHOT_LOOT",50,0x4404,0x0,0,0,
382,"STATE_WHIRLWIND",126,0x0,0x2,0,0,
383,"STATE_DROWNED",132,0x4000,0x2,0,0,
384,"STATE_HOLD_BOW",109,0x0,0x2,0,0,
385,"STATE_HOLD_RIFLE",110,0x4000,0x2,0,0,
386,"STATE_HOLD_THROWN",111,0x4000,0x2,0,0,
387,"ONESHOT_DROWN",131,0x0,0x0,0,0,
388,"ONESHOT_STOMP",181,0x4000,0x0,0,0,
389,"ONESHOT_ATTACKOFF",87,0x4400,0x0,0,0,
390,"ONESHOT_ATTACKOFFPIERCE",88,0x4400,0x0,0,0,
391,"STATE_ROAR",74,0x0,0x2,0,0,
392,"STATE_LAUGH",70,0x0,0x2,0,0,
393,"ONESHOT_CREATURE_SPECIAL",130,0x400,0x0,0,0,
394,"ONESHOT_JUMPLANDRUN",187,0x0,0x0,0,0,
395,"ONESHOT_JUMPEND",39,0x0,0x0,0,0,
396,"ONESHOT_TALK_NOSHEATHE",208,0x88,0x0,0,0,
397,"ONESHOT_POINT_NOSHEATHE",209,0x0,0x0,0,0,
398,"STATE_CANNIBALIZE",203,0x4000,0x2,0,0,
399,"ONESHOT_JUMPSTART",37,0x400,0x0,0,0,
400,"STATE_DANCESPECIAL",211,0x0,0x2,0,0,
401,"ONESHOT_DANCESPECIAL",211,0x0,0x0,0,0,
402,"ONESHOT_CUSTOMSPELL01",213,0x0,0x0,0,0,
403,"ONESHOT_CUSTOMSPELL02",214,0x0,0x0,0,0,
404,"ONESHOT_CUSTOMSPELL03",215,0x0,0x0,0,0,
405,"ONESHOT_CUSTOMSPELL04",216,0x0,0x0,0,0,
406,"ONESHOT_CUSTOMSPELL05",217,0x0,0x0,0,0,
407,"ONESHOT_CUSTOMSPELL06",218,0x0,0x0,0,0,
408,"ONESHOT_CUSTOMSPELL07",219,0x0,0x0,0,0,
409,"ONESHOT_CUSTOMSPELL08",220,0x0,0x0,0,0,
410,"ONESHOT_CUSTOMSPELL09",221,0x0,0x0,0,0,
411,"ONESHOT_CUSTOMSPELL10",222,0x0,0x0,0,0,
412,"STATE_EXCLAIM",64,0x1008,0x2,0,0,
413,"STATE_DANCE_CUSTOM",0,0x7081,0x2,0,0,
415,"STATE_SIT_CHAIR_MED",103,0x0,0x2,0,0,
416,"STATE_CUSTOM_SPELL_01",213,0x0,0x2,0,0,
417,"STATE_CUSTOM_SPELL_02",214,0x0,0x2,0,0,
418,"STATE_EAT",61,0x0,0x2,0,-1,
419,"STATE_CUSTOM_SPELL_04",216,0x0,0x2,0,0,
420,"STATE_CUSTOM_SPELL_03",215,0x0,0x2,0,0,
421,"STATE_CUSTOM_SPELL_05",217,0x0,0x2,0,0,
422,"STATE_SPELLEFFECT_HOLD",158,0x0,0x2,0,0,
423,"STATE_EAT_NO_SHEATHE",199,0x5204,0x2,0,0,
424,"STATE_MOUNT",91,0x38,0x1,0,0,
425,"STATE_READY2HL",28,0x0,0x2,0,0,
426,"STATE_SIT_CHAIR_HIGH",104,0x0,0x2,0,0,
427,"STATE_FALL",40,0x0,0x2,0,0,
428,"STATE_LOOT",188,0x1000,0x2,0,0,
