long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,"%s agrees with %s.",,,,,,,,,,,,,,,,0xFF01FE,
2,"%s agrees with you.",,,,,,,,,,,,,,,,0xFF01FE,
3,"You agree with %s.",,,,,,,,,,,,,,,,0xFF01FE,
4,"%s agrees.",,,,,,,,,,,,,,,,0xFF01FE,
5,"You agree.",,,,,,,,,,,,,,,,0xFF01FE,
6,"%s is amazed by %s!",,,,,,,,,,,,,,,,0xFF01FE,
7,"%s is amazed by you!",,,,,,,,,,,,,,,,0xFF01FE,
8,"You are amazed by %s!",,,,,,,,,,,,,,,,0xFF01FE,
9,"%s is amazed!",,,,,,,,,,,,,,,,0xFF01FE,
10,"You are amazed!",,,,,,,,,,,,,,,,0xFF01FE,
11,"%s raises his fist in anger at %s.",,,,,,,,,,,,,,,,0xFF01FE,
12,"%s raises his fist in anger at you.",,,,,,,,,,,,,,,,0xFF01FE,
13,"You raise your fist in anger at %s.",,,,,,,,,,,,,,,,0xFF01FE,
14,"%s raises his fist in anger.",,,,,,,,,,,,,,,,0xFF01FE,
15,"You raise your fist in anger.",,,,,,,,,,,,,,,,0xFF01FE,
16,"%s raises her fist in anger at %s.",,,,,,,,,,,,,,,,0xFF01FE,
17,"%s raises her fist in anger at you.",,,,,,,,,,,,,,,,0xFF01FE,
18,"%s raises her fist in anger.",,,,,,,,,,,,,,,,0xFF01FE,
19,"%s apologizes to %s.  Sorry!",,,,,,,,,,,,,,,,0xFF01FE,
20,"%s apologizes to you.  Sorry!",,,,,,,,,,,,,,,,0xFF01FE,
21,"You apologize to %s.  Sorry!",,,,,,,,,,,,,,,,0xFF01FE,
22,"%s apologizes to everyone.  Sorry!",,,,,,,,,,,,,,,,0xFF01FE,
23,"You apologize to everyone.  Sorry!",,,,,,,,,,,,,,,,0xFF01FE,
24,"%s applauds at %s.  Bravo!",,,,,,,,,,,,,,,,0xFF01FE,
25,"%s applauds at you.  Bravo!",,,,,,,,,,,,,,,,0xFF01FE,
26,"You applaud at %s.  Bravo!",,,,,,,,,,,,,,,,0xFF01FE,
27,"%s applauds.  Bravo!",,,,,,,,,,,,,,,,0xFF01FE,
28,"You applaud.  Bravo!",,,,,,,,,,,,,,,,0xFF01FE,
29,"%s is so bashful...too bashful to get %s's attention.",,,,,,,,,,,,,,,,0xFF01FE,
30,"%s is so bashful...too bashful to get your attention.",,,,,,,,,,,,,,,,0xFF01FE,
31,"You are so bashful...too bashful to get %s's attention.",,,,,,,,,,,,,,,,0xFF01FE,
32,"%s is bashful.",,,,,,,,,,,,,,,,0xFF01FE,
33,"You are bashful.",,,,,,,,,,,,,,,,0xFF01FE,
34,"%s beckons %s over.",,,,,,,,,,,,,,,,0xFF01FE,
35,"%s beckons you over.",,,,,,,,,,,,,,,,0xFF01FE,
36,"You beckon %s over.",,,,,,,,,,,,,,,,0xFF01FE,
37,"%s beckons everyone over.",,,,,,,,,,,,,,,,0xFF01FE,
