long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
104,0,35,"N/A",,,,,,,,,,,,,,,,0xFF01FE,
105,1,35,"0",,,,,,,,,,,,,,,,0xFF01FE,
106,2,35,"1",,,,,,,,,,,,,,,,0xFF01FE,
107,3,35,"2",,,,,,,,,,,,,,,,0xFF01FE,
108,4,35,"3",,,,,,,,,,,,,,,,0xFF01FE,
109,5,35,"4",,,,,,,,,,,,,,,,0xFF01FE,
110,6,35,"5",,,,,,,,,,,,,,,,0xFF01FE,
111,7,35,"6",,,,,,,,,,,,,,,,0xFF01FE,
112,8,35,"7",,,,,,,,,,,,,,,,0xFF01FE,
113,9,35,"8",,,,,,,,,,,,,,,,0xFF01FE,
114,10,35,"9",,,,,,,,,,,,,,,,0xFF01FE,
120,11,35,"10",,,,,,,,,,,,,,,,0xFF01FE,
101,0,36,"N/A",,,,,,,,,,,,,,,,0xFF01FE,
102,1,36,"Yes",,,,,,,,,,,,,,,,0xFF01FE,
103,2,36,"No",,,,,,,,,,,,,,,,0xFF01FE,
121,0,37,"N/A",,,,,,,,,,,,,,,,0xFF01FE,
115,1,37,"Much worse",,,,,,,,,,,,,,,,0xFF01FE,
116,2,37,"Somewhat worse",,,,,,,,,,,,,,,,0xFF01FE,
117,3,37,"About the same",,,,,,,,,,,,,,,,0xFF01FE,
118,4,37,"Better",,,,,,,,,,,,,,,,0xFF01FE,
119,5,37,"Much better",,,,,,,,,,,,,,,,0xFF01FE,
154,0,38,"N/A",,,,,,,,,,,,,,,,0xFF01FE,
155,1,38,"Much worse",,,,,,,,,,,,,,,,0xFF01FE,
156,2,38,"Somewhat worse",,,,,,,,,,,,,,,,0xFF01FE,
157,3,38,"About the same",,,,,,,,,,,,,,,,0xFF01FE,
152,4,38,"Better",,,,,,,,,,,,,,,,0xFF01FE,
153,5,38,"Much better",,,,,,,,,,,,,,,,0xFF01FE,
160,0,39,"N/A",,,,,,,,,,,,,,,,0xFF01FE,
161,1,39,"Much worse",,,,,,,,,,,,,,,,0xFF01FE,
162,2,39,"Somewhat worse",,,,,,,,,,,,,,,,0xFF01FE,
163,3,39,"About the same",,,,,,,,,,,,,,,,0xFF01FE,
158,4,39,"Better",,,,,,,,,,,,,,,,0xFF01FE,
159,5,39,"Much better",,,,,,,,,,,,,,,,0xFF01FE,
166,0,40,"N/A",,,,,,,,,,,,,,,,0xFF01FE,
167,1,40,"Much worse",,,,,,,,,,,,,,,,0xFF01FE,
168,2,40,"Somewhat worse",,,,,,,,,,,,,,,,0xFF01FE,
169,3,40,"About the same",,,,,,,,,,,,,,,,0xFF01FE,
164,4,40,"Better",,,,,,,,,,,,,,,,0xFF01FE,
165,5,40,"Much better",,,,,,,,,,,,,,,,0xFF01FE,
172,0,41,"N/A",,,,,,,,,,,,,,,,0xFF01FE,
173,1,41,"Much worse",,,,,,,,,,,,,,,,0xFF01FE,
174,2,41,"Somewhat worse",,,,,,,,,,,,,,,,0xFF01FE,
175,3,41,"About the same",,,,,,,,,,,,,,,,0xFF01FE,
170,4,41,"Better",,,,,,,,,,,,,,,,0xFF01FE,
171,5,41,"Much better",,,,,,,,,,,,,,,,0xFF01FE,
