long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
28,"Did the GM provide an appropriate answer or solution to your question/problem?",,,,,,,,,,,,,,,,0xFF01FE,
29,"How easy was it to understand and/or follow the information provided?",,,,,,,,,,,,,,,,0xFF01FE,
30,"Was the GM knowledgeable, respectful, and empathetic during your interactions?",,,,,,,,,,,,,,,,0xFF01FE,
31,"How would you rate the response time to address your petition?",,,,,,,,,,,,,,,,0xFF01FE,
32,"How would you rate the overall experience with the GM that assisted you with your petition?",,,,,,,,,,,,,,,,0xFF01FE,
33,"Based on your support experience, how likely is it that you would recommend WoW to others?",,,,,,,,,,,,,,,,0xFF01FE,
35,"Based on this customer service experience, how likely are you to recommend Blizzard products and services to a friend?",,,,,,,,,,,,,,,,0xFF01FE,
36,"Was your problem solved?",,,,,,,,,,,,,,,,0xFF01FE,
37,"My overall experience with Blizzard Customer Service was:",,,,,,,,,,,,,,,,0xFF01FE,
38,"My wait time for Blizzard Customer Service was:",,,,,,,,,,,,,,,,0xFF01FE,
39,"This Blizzard Representative’s professionalism was:",,,,,,,,,,,,,,,,0xFF01FE,
40,"This Blizzard Representative’s communication skills were:",,,,,,,,,,,,,,,,0xFF01FE,
41,"This Blizzard Representative’s overall service was:",,,,,,,,,,,,,,,,0xFF01FE,
