long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
0,"<not set>",,,,,,,,,,,,,,,,0xFF01FE,
1,"Stuck",,,,,,,,,,,,,,,,0xFF01FE,
2,"Behavior/Harassment",,,,,,,,,,,,,,,,0xFF01FE,
3,"Guild",,,,,,,,,,,,,,,,0xFF01FE,
4,"Item",,,,,,,,,,,,,,,,0xFF01FE,
5,"Environmental",,,,,,,,,,,,,,,,0xFF01FE,
6,"Non-Quest/Creep",,,,,,,,,,,,,,,,0xFF01FE,
7,"Quest/Quest NPC",,,,,,,,,,,,,,,,0xFF01FE,
8,"Technical",,,,,,,,,,,,,,,,0xFF01FE,
9,"Account/Billing",,,,,,,,,,,,,,,,0xFF01FE,
10,"Character",,,,,,,,,,,,,,,,0xFF01FE,
11,"Arena/Honor item issues",,,,,,,,,,,,,,,,0xFF01FE,
12,"Arena/Honor points issues",,,,,,,,,,,,,,,,0xFF01FE,
13,"Botting/Cheating/Hacking",,,,,,,,,,,,,,,,0xFF01FE,
14,"Bug report",,,,,,,,,,,,,,,,0xFF01FE,
15,"Compromised account issue",,,,,,,,,,,,,,,,0xFF01FE,
16,"Game suggestions",,,,,,,,,,,,,,,,0xFF01FE,
17,"Gameplay question",,,,,,,,,,,,,,,,0xFF01FE,
18,"Guild bank issue",,,,,,,,,,,,,,,,0xFF01FE,
19,"Guild master issue",,,,,,,,,,,,,,,,0xFF01FE,
20,"Harassment",,,,,,,,,,,,,,,,0xFF01FF,
21,"Inappropriate name Guild/Arena/Character/Pet",,,,,,,,,,,,,,,,0xFF01FE,
22,"Known issue fix",,,,,,,,,,,,,,,,0xFF01FE,
23,"Latency/Lag report",,,,,,,,,,,,,,,,0xFF01FE,
24,"Looting issue/mistake",,,,,,,,,,,,,,,,0xFF01FE,
25,"Mail issue",,,,,,,,,,,,,,,,0xFF01FE,
26,"Non in game related inquiry",,,,,,,,,,,,,,,,0xFF01FE,
27,"Parental controls/CAIS",,,,,,,,,,,,,,,,0xFF01FE,
28,"PCNC",,,,,,,,,,,,,,,,0xFF01FE,
29,"PCT",,,,,,,,,,,,,,,,0xFF01FE,
30,"Restoration status/follow up",,,,,,,,,,,,,,,,0xFF01FE,
31,"Server/Instance issues",,,,,,,,,,,,,,,,0xFF01FE,
32,"Spam",,,,,,,,,,,,,,,,0xFF01FE,
33,"Suicide case",,,,,,,,,,,,,,,,0xFF01FE,
34,"Suspension questions",,,,,,,,,,,,,,,,0xFF01FE,
35,"Technical/Sound/Graphics issue",,,,,,,,,,,,,,,,0xFF01FE,
36,"UI issue",,,,,,,,,,,,,,,,0xFF01FE,
37,"Scam Report",,,,,,,,,,,,,,,,0xFF01FF,
