str,long,long,
"ExpByLevelDiff",200,1,
"hpBonusByLevel",11,32,
"ExpToNextLevel",100,1,
"energyBonusByLevel",11,32,
"MonsterACByLevel",100,1,
"HPPerStaminaByClass",1,10,
"StatPotionsPerLevelByClass",5,10,
"RelativeACPerClass",1,10,
"EnergyPerSpiritByClass",1,10,
"RelativeClassBaseEnergy",1,10,
"OCTLevelExperience",100,6,
"OCTBaseHPByClass",100,11,
"OCTNPCExpectedStamina",100,11,
"OCTHPFromItems",100,11,
"OCTNPCHPScaler",100,1,
"OCTRaceStats",5,11,
"OCTClassStats",5,11,
"OCTNPCExpectedAgility",100,11,
"OCTNPCExpectedIntellect",100,11,
"OCTNPCExpectedStrength",100,11,
"OCTChanceToDodge",100,11,
"OCTChanceToBlock",100,11,
"OCTChanceToEvade",100,11,
"OCTNPCDpsScaler",100,1,
"OCTHPPerStamina",100,11,
"OCTBaseMPByClass",100,11,
"OCTMPPerSpirit",100,11,
"OCTNPCExpectedSpirit",100,11,
"OCTMPFromItems",100,11,
"OCTRegenHP",100,11,
"OCTRegenMP",100,11,
"OCTChanceToParry",100,11,
"XPGroupBonus",40,2,
"RegenHPPerSpt",100,11,
"RegenMPPerSpt",100,11,
"ResistanceInnateFire",100,11,
"ResistanceInnateFrost",100,11,
"ResistanceInnateHoly",100,11,
"ResistanceInnateNature",100,11,
"ResistanceInnateShadow",100,11,
"BonusDamageFromStats",5,11,
"OCTNPCExpectedResistHoly",100,11,
"OCTNPCExpectedResistFire",100,11,
"OCTNPCExpectedResistNature",100,11,
"OCTNPCExpectedResistFrost",100,11,
"OCTNPCExpectedResistShadow",100,11,
"OCTNPCExpectedResistPhysical",100,11,
"OCTMPPerIntellect",100,11,
"NpcTotalHp",100,11,
"RageGenScaler",100,1,
"AttackPower",100,11,
"NpcTotalMp",100,11,
"ShapeshiftDPS",100,32,
"PCBaseAgility",22,12,
"PCBaseIntellect",22,12,
"PCBaseSpirit",22,12,
"PCBaseStamina",22,12,
"PCBaseStrength",22,12,
"ShieldBlockRegular",300,8,
"ShieldBlockBuckler",300,8,
"NPCManaCostScaler",100,1,
"AttackPowerRanged",100,11,
"ChanceToMeleeCrit",100,11,
"ChanceToSpellCrit",100,11,
"ChanceToMeleeCritBase",1,11,
"ChanceToSpellCritBase",1,11,
"ChanceToDodgeBase",1,11,
"PCExpectedStrength",100,11,
"PCExpectedStamina",100,11,
"PCExpectedAgility",100,11,
"PCExpectedIntellect",100,11,
"PCExpectedSpirit",100,11,
"PVPRanks",18,1,
"NpcTotalHpExp1",100,11,
"NpcDamageByClass",100,11,
"NpcDamageByClassExp1",100,11,
"CombatRatings",100,32,
"NpcTotalHpExp2",100,11,
"NpcDamageByClassExp2",100,11,
"BarberShopCostBase",100,1,
"NPCExpectedResistPhysExp1",100,11,
"NPCExpectedResistPhysExp2",100,11,
"OCTClassCombatRatingScalar",32,11,
"NpcTotalHpExp3",100,11,
"NpcDamageByClassExp3",100,11,
"NPCExpectedResistPhysExp3",100,11,
"SpellScaling",100,11,
