long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
396,"|cffffd100Tip:|r Nearby questgivers that are awaiting your return are shown as a question mark on your mini-map.
",,,,,,,,,,,,,,,,0xFF01FE,
201,"|cffffd100Tip:|r Your spell casting can be cancelled by moving, jumping or hitting the escape key.

",,,,,,,,,,,,,,,,0xFF01FE,
221,"|cffffd100Tip:|r Clicking on a player name in the chat window lets you send a private message to them.
",,,,,,,,,,,,,,,,0xFF01FE,
258,"|cffffd100Tip:|r If you <Shift>Click on a player name in the chat window it tells you additional information about them.
",,,,,,,,,,,,,,,,0xFF01FE,
222,"|cffffd100Tip:|r You can <Control>Click on an item to see how you would look wearing that item.
",,,,,,,,,,,,,,,,0xFF01FE,
223,"|cffffd100Tip:|r An item with its name in gray is a poor quality item and generally can be sold to a vendor.
",,,,,,,,,,,,,,,,0xFF01FE,
224,"|cffffd100Tip:|r An item with its name in white is useful to players in some way and can be used or sold at the auction house.
",,,,,,,,,,,,,,,,0xFF01FE,
225,"|cffffd100Tip:|r You can send mail to other players or even to your other characters from any mailbox in game.
",,,,,,,,,,,,,,,,0xFF01FE,
226,"|cffffd100Tip:|r You can <Shift>Click on an item to place an item link into a chat message.
",,,,,,,,,,,,,,,,0xFF01FE,
384,"|cffffd100Tip:|r You can remove a friendly spell enhancement on yourself by right-clicking on the spell effect icon.",,,,,,,,,,,,,,,,0xFF01FE,
282,"|cffffd100Tip:|r When you learn a profession or secondary skill the button that allows you to perform that skill is found in the general tab of your spellbook.",,,,,,,,,,,,,,,,0xFF01FE,
227,"|cffffd100Tip:|r All of your action bars can have their hotkeys remapped in the key bindings interface.
",,,,,,,,,,,,,,,,0xFF01FE,
229,"|cffffd100Tip:|r On your character sheet is a reputation tab that tells you your status with different groups.
",,,,,,,,,,,,,,,,0xFF01FE,
263,"|cffffd100Tip:|r You can use the Tab key to select nearby enemies in front of you.
",,,,,,,,,,,,,,,,0xFF01FE,
321,"|cffffd100Tip:|r If you are having trouble finding something in a capital city, try asking a guard for directions.
",,,,,,,,,,,,,,,,0xFF01FE,
476,"|cffffd100Tip:|r You can use the V key to show enemy name plates above the enemy's head.  Name plates may help you keep track of enemy health or spell casting, or may make it easier to quickly change targets.",,,,,,,,,,,,,,,,0xFF01FE,
470,"|cffffd100Tip:|r You can track many things, such as low-level quests or vendors by clicking on the magnifying glass near your mini map.",,,,,,,,,,,,,,,,0xFF01FE,
230,"|cffffd100Tip:|r You can perform many fun actions with the emote system, for instance you can type /dance to dance.
",,,,,,,,,,,,,,,,0xFF01FE,
387,"|cffffd100Tip:|r A Blizzard employee will NEVER ask for your password.",,,,,,,,,,,,,,,,0xFF01FE,
389,"|cffffd100Tip:|r You can only know two professions at a time, but you can learn all of the secondary skills (fishing, cooking and first-aid).",,,,,,,,,,,,,,,,0xFF01FE,
231,"|cffffd100Tip:|r The interface options menu <ESC> has lots of ways to customize your game play.
",,,,,,,,,,,,,,,,0xFF01FE,
232,"|cffffd100Tip:|r You can turn on slow scrolling of quest text in the interface options menu.

",,,,,,,,,,,,,,,,0xFF01FE,
233,"|cffffd100Tip:|r Spend your talent points carefully as once your talents are chosen, you must spend gold to unlearn them.
",,,,,,,,,,,,,,,,0xFF01FE,
234,"|cffffd100Tip:|r A mail icon next to the minimap means you have new mail.  Visit a mailbox to retrieve it.
",,,,,,,,,,,,,,,,0xFF01FE,
235,"|cffffd100Tip:|r You can add additional action bars to your game interface from the interface options menu.
",,,,,,,,,,,,,,,,0xFF01FE,
236,"|cffffd100Tip:|r If you hold down <Shift> while right-clicking on a target to loot, you will automatically loot all items on the target.
",,,,,,,,,,,,,,,,0xFF01FE,
401,"|cffffd100Tip:|r Your character can eat and drink at the same time.",,,,,,,,,,,,,,,,0xFF01FE,
237,"|cffffd100Tip:|r If you enjoyed playing with someone from your realm, put them on your friends list!
",,,,,,,,,,,,,,,,0xFF01FE,
406,"|cffffd100Tip:|r Use the Dungeon Finder tool to quickly travel to dungeons or to find more players for your dungeon group.


",,,,,,,,,,,,,,,,0xFF01FE,
239,"|cffffd100Tip:|r There are a number of different loot options when in a group. The group leader can right-click their own portrait to change the options.
",,,,,,,,,,,,,,,,0xFF01FE,
