long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,"The Darkmoon Faire is here, this time in idyllic Elwynn Forest.

Meet Silas Darkmoon and his troupe, play games that test mind and nerve, and behold exotic sights from the four corners of Azeroth... and beyond!",,,,,,,,,,,,,,,,0xFF01FE,
2,"Azeroth celebrates!  Each racial capital holds fireworks shows every hour, all night long!",,,,,,,,,,,,,,,,0xFF01FE,
4,"A fishing tournament, competed along the coasts of Stranglethorn Vale.  Catch as many tastyfish as you can!  

Will you be the master fisherman who catches forty fish first and wins the grand prize?",,,,,,,,,,,,,,,,0xFF01FE,
8,"First celebrated by the dwarves, Brewfest now holds appeal among all the races of Azeroth!

Visit the Alliance camp outside Ironforge, or the Horde camp outside Orgrimmar, and join the party!",,,,,,,,,,,,,,,,0xFF01FE,
9,"Something is in the air in the major cities of Azeroth.  Many guards and townsfolk spend their days giving and receiving gifts to other amorous citizens.",,,,,,,,,,,,,,,,0xFF01FE,
10,"A time of merriment and celebration, dedicated to the hottest season of the year.",,,,,,,,,,,,,,,,0xFF01FE,
11,"After the sun sets, the end of Midsummer is celebrated, with an hourly firework extravaganza.

To watch the show, visit any capital city or Booty Bay.",,,,,,,,,,,,,,,,0xFF01FE,
12,"Show an orphan what the hero's life is like!  Visit Orphan Matron Nightingale in Stormwind, Orphan Matron Battlewail in Orgrimmar, Orphan Matron Mercy in Shattrath, or Orphan Matron Aria in Dalaran and make a child's dream come true.",,,,,,,,,,,,,,,,0xFF01FE,
13,"Greatfather Winter is visiting the cities of Ironforge and Orgrimmar, courtesy of Smokywood Pastures.  And throughout Azeroth, it is the season to be jolly!",,,,,,,,,,,,,,,,0xFF01FE,
14,"The feast of Noblegarden has arrived.  The proving grounds of each race, the place where young heroes first test their strength, each holds cleverly hidden treasure eggs.  How many can you find?",,,,,,,,,,,,,,,,0xFF01FE,
15,"Hallow's End celebrates the break of the Forsaken from the Scourge.

Fun and mischief reign as the Innkeepers of Azeroth give treats, and tricks, to whomever asks.",,,,,,,,,,,,,,,,0xFF01FE,
16,"The Harvest Festival is a time to commemorate those  who have sacrificed their lives to help friends and allies.  Feasts are held outside Orgrimmar and Ironforge in honor of these fallen heroes.",,,,,,,,,,,,,,,,0xFF01FE,
17,"Every year the druids of Moonglade hold a celebration of their city's great triumph over an ancient evil. During the Lunar Festival, citizens of Azeroth have the opportunity to honor their elders by celebrating their sage wisdom, sharing in magnificent feasts, and of course... shooting fireworks!
",,,,,,,,,,,,,,,,0xFF01FE,
18,"Started by the dwarves, Brewfest is now a worldwide celebration of brews and good times.",,,,,,,,,,,,,,,,0xFF01FE,
21,"Captain Demeza sails to the goblin town of Booty Bay and recruits land-lovers into her buccaneer ranks.

Visit her or her henchmen in the capital cities if the pirate's life is for you!",,,,,,,,,,,,,,,,0xFF01FE,
22,"The battle for Alterac Valley grows intense.  Greater honor is given to those who pledge sword to their liege and battle in Alterac.",,,,,,,,,,,,,,,,0xFF01FE,
23,"The battle for Arathi Basin grows intense.  Greater honor is given to those who pledge sword to their liege and battle in Arathi.",,,,,,,,,,,,,,,,0xFF01FE,
24,"The battle for the Eye of the Storm grows intense.  Greater honor is given to those who pledge sword to their liege and battle in the Eye.",,,,,,,,,,,,,,,,0xFF01FE,
25,"The battle for Warsong Gulch grows intense.  Greater honor is given to those who pledge sword to their liege and battle in the Gulch.",,,,,,,,,,,,,,,,0xFF01FE,
26,"The Darkmoon Faire is here, this time at the foot of Thunder Bluff.

Meet Silas Darkmoon and his troupe, play games that test mind and nerve, and behold exotic sights from the four corners of Azeroth... and beyond!",,,,,,,,,,,,,,,,0xFF01FE,
27,"The Darkmoon Faire is here, this time outside Shattrath City.

Meet Silas Darkmoon and his troupe, play games that test mind and nerve, and behold exotic sights from the four corners of Azeroth... and beyond!",,,,,,,,,,,,,,,,0xFF01FE,
41,"The battle for the Strand of the Ancients grows intense.  Greater honor is given to those who pledge sword to their liege and battle upon the Strand.",,,,,,,,,,,,,,,,0xFF01FE,
61,"The Wrath of the Lich King launches on November 13th.

Alliance ships depart from Stormwind and Menethil Harbor.

Horde Zeppelins leave from outside Orgrimmar and Undercity.

See you in Northrend...",,,,,,,,,,,,,,,,0xFF01FE,
81,"During the Day of the Dead, people gather in graveyards to celebrate with and cherish the spirits of those they have lost.

One can find the festivities in the cemeteries of any major city, where celebrants cook, dance, don costumes, and more.",,,,,,,,,,,,,,,,0xFF01FE,
101,"Pilgrim's Bounty is a time to reflect upon one's good fortune and share with all around you.",,,,,,,,,,,,,,,,0xFF01FE,
121,"The battle for the Isle of Conquest grows intense.  Greater honor is given to those who pledge sword to their liege and battle upon the Isle.",,,,,,,,,,,,,,,,0xFF01FE,
141,"Test test",,,,,,,,,,,,,,,,0xFF01FE,
161,"The Kalu'ak hold a fishing derby every few days in Northrend.  Be the first to catch a Blacktip Shark and win respect with the Kalu'ak, and an amazing prize!",,,,,,,,,,,,,,,,0xFF01FE,
