long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,"Darkmoon Faire",,,,,,,,,,,,,,,,0xFF01FE,
5,"Fireworks Celebration",,,,,,,,,,,,,,,,0xFF01FE,
6,"Stranglethorn Fishing Extravaganza",,,,,,,,,,,,,,,,0xFF01FE,
7,"Brewfest",,,,,,,,,,,,,,,,0xFF01FE,
9,"Love is in the Air",,,,,,,,,,,,,,,,0xFF01FE,
11,"Midsummer Fire Festival",,,,,,,,,,,,,,,,0xFF01FE,
12,"Fireworks Spectacular",,,,,,,,,,,,,,,,0xFF01FE,
13,"Children's Week",,,,,,,,,,,,,,,,0xFF01FE,
14,"Feast of Winter Veil",,,,,,,,,,,,,,,,0xFF01FE,
15,"Noblegarden",,,,,,,,,,,,,,,,0xFF01FE,
16,"Hallow's End",,,,,,,,,,,,,,,,0xFF01FE,
17,"Harvest Festival",,,,,,,,,,,,,,,,0xFF01FE,
18,"Lunar Festival",,,,,,,,,,,,,,,,0xFF01FE,
19,"Brewfest",,,,,,,,,,,,,,,,0xFF01FE,
21,"Pirates' Day",,,,,,,,,,,,,,,,0xFF01FE,
22,"Call to Arms: Alterac Valley",,,,,,,,,,,,,,,,0xFF01FE,
23,"Call to Arms: Arathi Basin",,,,,,,,,,,,,,,,0xFF01FE,
24,"Call to Arms: Eye of the Storm",,,,,,,,,,,,,,,,0xFF01FE,
25,"Call to Arms: Warsong Gulch",,,,,,,,,,,,,,,,0xFF01FE,
41,"Call to Arms: Strand of the Ancients",,,,,,,,,,,,,,,,0xFF01FE,
61,"Wrath of the Lich King Launch",,,,,,,,,,,,,,,,0xFF01FE,
81,"Day of the Dead",,,,,,,,,,,,,,,,0xFF01FE,
101,"Pilgrim's Bounty",,,,,,,,,,,,,,,,0xFF01FE,
121,"Call to Arms: Isle of Conquest",,,,,,,,,,,,,,,,0xFF01FE,
141,"Mohawk Promotion",,,,,,,,,,,,,,,,0xFF01FE,
161,"Kalu'ak Fishing Derby",,,,,,,,,,,,,,,,0xFF01FE,
