long,long,flags,None,None,None,None,None,None,None,None,long,flags,flags,flags,flags,flags,flags,flags,flags,flags,flags,flags,flags,None,None,None,None,None,None,None,None,None,None,None,None,None,bool,bool,long,long,None,None,None,None,None,None,None,None,long,long,str,long,long,bool,
62,18,0x0,,,,,,,,,526449024,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,1,0,3,0,,,,,,,,,12,11,"",0,-1,1,
141,432,0x0,,,,,,,,,531872128,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,0,3,0,,,,,,,,,14,13,"Calendar_WinterVeil",75,-1,1,
181,168,0x0,,,,,,,,,120700928,0x8258000,0x9364000,0xA30C000,0xB35C000,0xC31C000,0xD278000,0xE34C000,0xF310000,0x10268000,0x0,0x0,0x0,,,,,,,,,,,,,,0,0,3,0,,,,,,,,,15,14,"Calendar_Noblegarden",2,-1,1,
201,168,0x0,,,,,,,,,71319552,0x5400000,0x6374000,0x7370000,0x840C000,0x9408000,0xA404000,0xB400000,0xC370000,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,0,3,0,,,,,,,,,13,12,"Calendar_ChildrensWeek",2,-1,1,
283,96,0x390,,,,,,,,,127301632,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,1,3,0,,,,,,,,,22,22,"",0,2,1,
284,96,0x390,,,,,,,,,127956992,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,1,3,0,,,,,,,,,25,25,"",0,2,1,
285,96,0x390,,,,,,,,,127072256,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,1,3,0,,,,,,,,,23,23,"",0,2,1,
301,2,0x0,,,,,,,,,536855424,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,0,3,0,,,,,,,,,6,4,"Calendar_FishingExtravaganza",0,0,0,
321,168,0x0,,,,,,,,,92456960,0x6904800,0x785C800,0x881C800,0x986B800,0xA83F800,0xB817800,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,0,3,0,,,,,,,,,17,16,"Calendar_HarvestFestival",2,-1,1,
324,335,0x0,,,,,,,,,529823808,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,0,3,0,,,,,,,,,16,15,"Calendar_HallowsEnd",3,-1,1,
327,504,0x0,,,,,,,,,101104000,0x713F980,0x8113980,0x905F980,0xA137980,0xB05B800,0xC057800,0xD04F800,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,0,3,0,,,,,,,,,18,17,"Calendar_LunarFestival",3,-1,1,
335,120,0x0,,,,,,,,,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,0,3,0,,,,,,,,,9,9,"Calendar_LoveInTheAir",2,-1,1,
341,336,0x0,,,,,,,,,525678592,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,0,3,0,,,,,,,,,11,10,"Calendar_Midsummer",2,-1,1,
353,96,0x390,,,,,,,,,127186944,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,1,3,0,,,,,,,,,24,24,"",0,2,1,
