long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
0,"NONE",,,,,,,,,,,,,,,,0xFF01FE,
1,"Arrows",,,,,,,,,,,,,,,,0xFF01FE,
2,"Bullets",,,,,,,,,,,,,,,,0xFF01FE,
3,"Soul Shards",,,,,,,,,,,,,,,,0xFF01FE,
4,"Leatherworking Supplies",,,,,,,,,,,,,,,,0xFF01FE,
5,"Inscription Supplies",,,,,,,,,,,,,,,,0xFF01FF,
6,"Herbs",,,,,,,,,,,,,,,,0xFF01FE,
7,"Enchanting Supplies",,,,,,,,,,,,,,,,0xFF01FE,
8,"Engineering Supplies",,,,,,,,,,,,,,,,0xFF01FE,
9,"Keys",,,,,,,,,,,,,,,,0xFF01FE,
10,"Gems",,,,,,,,,,,,,,,,0xFF01FE,
11,"Mining Supplies",,,,,,,,,,,,,,,,0xFF01FE,
12,"Soulbound Equipment",,,,,,,,,,,,,,,,0xFF01FE,
13,"Vanity Pets",,,,,,,,,,,,,,,,0xFF01FE,
14,"Currency Tokens",,,,,,,,,,,,,,,,0xFF01FE,
15,"Quest Items",,,,,,,,,,,,,,,,0xFF01FE,
