long,long,bool,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
0,0,0,"Consumable",,,,,,,,,,,,,,,,0xFF01FE,
1,1,0,"Container",,,,,,,,,,,,,,,,0xFF01FE,
2,2,1,"Weapon",,,,,,,,,,,,,,,,0xFF01FE,
3,3,0,"Gem",,,,,,,,,,,,,,,,0xFF01FE,
4,4,0,"Armor",,,,,,,,,,,,,,,,0xFF01FE,
5,5,0,"Reagent",,,,,,,,,,,,,,,,0xFF01FE,
6,6,0,"Projectile",,,,,,,,,,,,,,,,0xFF01FE,
7,7,0,"Trade Goods",,,,,,,,,,,,,,,,0xFF01FE,
8,8,0,"Generic(OBSOLETE)",,,,,,,,,,,,,,,,0xFF01FE,
9,9,0,"Recipe",,,,,,,,,,,,,,,,0xFF01FE,
10,10,0,"Money",,,,,,,,,,,,,,,,0xFF01FE,
11,6,0,"Quiver",,,,,,,,,,,,,,,,0xFF01FE,
12,0,0,"Quest",,,,,,,,,,,,,,,,0xFF01FE,
13,0,0,"Key",,,,,,,,,,,,,,,,0xFF01FE,
14,1,0,"Permanent(OBSOLETE)",,,,,,,,,,,,,,,,0xFF01FE,
15,0,0,"Miscellaneous",,,,,,,,,,,,,,,,0xFF01FE,
16,12,0,"Glyph",,,,,,,,,,,,,,,,0xFF01FE,
