id;value
1;13 Honor Points, 9 Arena Points, Tough Jerky (ID = 117), 2 Minor Healing Potion (ID = 118)
2;
5;40 Halaa Battle Token (ID = 26045), 2 Halaa Research Token (ID = 26044)
6;20 Halaa Battle Token (ID = 26045), Halaa Research Token (ID = 26044)
7;8 Halaa Research Token (ID = 26044)
18;100 Halaa Battle Token (ID = 26045)
21;978 Arena Points
22;1630 Arena Points
24;1304 Arena Points
26;3261 Arena Points
53;5 Mark of Honor Hold (ID = 24579)
54;5 Mark of Thrallmar (ID = 24581)
55;10 Mark of Thrallmar (ID = 24581)
56;10 Mark of Honor Hold (ID = 24579)
65;15 Mark of Thrallmar (ID = 24581)
66;1 Honor Points, 1 Arena Points
69;15 Mark of Honor Hold (ID = 24579)
76;30 Mark of Thrallmar (ID = 24581)
77;30 Mark of Honor Hold (ID = 24579)
94;19125 Honor Points
95;6885 Honor Points
98;22950 Honor Points
99;8500 Honor Points
100;Glowcap (ID = 24245)
102;2 Glowcap (ID = 24245)
103;25 Glowcap (ID = 24245)
104;15 Glowcap (ID = 24245)
115;16983 Honor Points
125;22950 Honor Points, 10 Eye of the Storm Mark of Honor (ID = 29024)
127;15300 Honor Points, 10 Eye of the Storm Mark of Honor (ID = 29024)
129;11934 Honor Points, 10 Alterac Valley Mark of Honor (ID = 20560)
131;30600 Honor Points, 40 Alterac Valley Mark of Honor (ID = 20560)
133;2283 Arena Points
146;870 Arena Points
148;2739 Arena Points
165;9435 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
169;9435 Honor Points, 20 Warsong Gulch Mark of Honor (ID = 20558)
170;9435 Honor Points
171;14280 Honor Points, 40 Eye of the Storm Mark of Honor (ID = 29024)
172;14280 Honor Points, 40 Arathi Basin Mark of Honor (ID = 20559)
173;12750 Honor Points
194;18 Spirit Shard (ID = 28558)
201;16524 Honor Points, 30 Arathi Basin Mark of Honor (ID = 20559)
202;10098 Honor Points, 20 Alterac Valley Mark of Honor (ID = 20560)
203;16065 Honor Points, 30 Alterac Valley Mark of Honor (ID = 20560)
204;16065 Honor Points, 30 Warsong Gulch Mark of Honor (ID = 20558)
205;10098 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
293;50 Spirit Shard (ID = 28558)
298;8 Spirit Shard (ID = 28558)
348;15300 Honor Points, 20 Eye of the Storm Mark of Honor (ID = 29024)
359;20400 Honor Points
360;20400 Honor Points, 40 Alterac Valley Mark of Honor (ID = 20560)
386;15300 Honor Points
388;30 Glowcap (ID = 24245)
423;30 Alterac Valley Mark of Honor (ID = 20560), 30 Arathi Basin Mark of Honor (ID = 20559), 30 Warsong Gulch Mark of Honor (ID = 20558)
427;2805 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
428;2805 Honor Points, 20 Alterac Valley Mark of Honor (ID = 20560)
444;4335 Honor Points, 30 Alterac Valley Mark of Honor (ID = 20560)
460;1 Honor Point
463;13770 Honor Points, 30 Arathi Basin Mark of Honor (ID = 20559)
464;13005 Honor Points, 30 Alterac Valley Mark of Honor (ID = 20560)
465;8415 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
488;4590 Honor Points, 20 Warsong Gulch Mark of Honor (ID = 20558)
489;4590 Honor Points, 25 Alterac Valley Mark of Honor (ID = 20560)
490;10200 Honor Points, 40 Warsong Gulch Mark of Honor (ID = 20558)
491;1530 Honor Points, 20 Warsong Gulch Mark of Honor (ID = 20558)
492;1530 Honor Points, 10 Warsong Gulch Mark of Honor (ID = 20558)
495;4590 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
496;2380 Honor Points, 10 Alterac Valley Mark of Honor (ID = 20560)
497;2720 Honor Points, 15 Alterac Valley Mark of Honor (ID = 20560)
501;8415 Honor Points, 40 Arathi Basin Mark of Honor (ID = 20559)
520;2805 Honor Points, 30 Arathi Basin Mark of Honor (ID = 20559)
532;1530 Honor Points, 10 Alterac Valley Mark of Honor (ID = 20560)
533;1530 Honor Points, 20 Alterac Valley Mark of Honor (ID = 20560)
541;8415 Honor Points, 20 Alterac Valley Mark of Honor (ID = 20560)
542;13005 Honor Points, 30 Warsong Gulch Mark of Honor (ID = 20558)
565;15300 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
567;15300 Honor Points, 40 Arathi Basin Mark of Honor (ID = 20559)
634;2805 Honor Points
652;4590 Honor Points, 30 Arathi Basin Mark of Honor (ID = 20559)
