long,str,long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
5,"of Intellect",79,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFFBDFF,
6,"of Strength",68,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFFBDFF,
14,"of Agility",74,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFFBDFF,
15,"of Stamina",71,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFFBDFF,
16,"of Spirit",82,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFFBDFF,
17,"of Agility",75,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFFBDFF,
18,"of Agility",76,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFFBDFF,
19,"of Stamina",72,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFFBDFF,
22,"of Stamina",73,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFFBDFF,
23,"of Strength",69,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFFBDFF,
24,"of Strength",70,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFFBDFF,
25,"of Intellect",80,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFFBDFF,
26,"of Intellect",81,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFFBDFF,
27,"of Spirit",83,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFFBDFF,
28,"of Spirit",84,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFFBDFF,
29,"of Toughness",85,0,0,,,"of Toughness",,,,,,,,,,,,,,,,0xFF01FE,
30,"of Toughness",87,0,0,,,"of Toughness",,,,,,,,,,,,,,,,0xFF01FE,
31,"of Toughness",86,0,0,,,"of Toughness",,,,,,,,,,,,,,,,0xFF01FE,
32,"of Quality",67,0,0,,,"of Quality",,,,,,,,,,,,,,,,0xFF01FE,
33,"of Quality",77,0,0,,,"of Quality",,,,,,,,,,,,,,,,0xFF01FE,
34,"of Quality",78,0,0,,,"of Quality",,,,,,,,,,,,,,,,0xFF01FE,
39,"of Proficiency",153,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
40,"of Proficiency",139,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
41,"of Proficiency",125,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
42,"of Proficiency",160,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
43,"of Proficiency",146,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
44,"of Proficiency",132,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
45,"of Proficiency",181,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
46,"of Proficiency",167,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
