long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,long,long,long,long,long,long,long,long,flags,flags,
5,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,"Monkey",2802,2803,0,0,0,6666,10000,0,0x0,0x0,
6,"of the Eagle",,,,,,,,,,,,,,,,0xFF01FE,"Eagle",2804,2803,0,0,0,6666,10000,0,0x0,0x0,
7,"of the Bear",,,,,,,,,,,,,,,,0xFF01FE,"Bear",2803,2805,0,0,0,10000,6666,0,0x0,0x0,
8,"of the Whale",,,,,,,,,,,,,,,,0xFF01FE,"Whale",2806,2803,0,0,0,6666,10000,0,0x0,0x0,
9,"of the Owl",,,,,,,,,,,,,,,,0xFF01FE,"Owl",2804,2806,0,0,0,6666,6666,0,0x0,0x0,
10,"of the Gorilla",,,,,,,,,,,,,,,,0xFF01FE,"Gorilla",2804,2805,0,0,0,6666,6666,0,0x0,0x0,
11,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,"Falcon",2802,2804,0,0,0,6666,6666,0,0x0,0x0,
12,"of the Boar",,,,,,,,,,,,,,,,0xFF01FE,"Boar",2806,2805,0,0,0,6666,6666,0,0x0,0x0,
13,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,"Wolf",2802,2806,0,0,0,6666,6666,0,0x0,0x0,
14,"of the Tiger",,,,,,,,,,,,,,,,0xFF01FE,"Tiger",2802,2805,0,0,0,6666,6666,0,0x0,0x0,
15,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,"Spirit",2806,0,0,0,0,10000,0,0,0x0,0x0,
16,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,"Stamina",2803,0,0,0,0,15000,0,0,0x0,0x0,
17,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,"Strength",2805,0,0,0,0,10000,0,0,0x0,0x0,
18,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,"Agility",2802,0,0,0,0,10000,0,0,0x0,0x0,
19,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,"Intellect",2804,0,0,0,0,10000,0,0,0x0,0x0,
20,"of Power",,,,,,,,,,,,,,,,0xFF01FE,"Power",2825,0,0,0,0,20000,0,0,0x0,0x0,
21,"of Spell Power",,,,,,,,,,,,,,,,0xFF01FE,"Spell Power : Used to Be Arcane Wrath",2824,0,0,0,0,11700,0,0,0x0,0x0,
22,"of Spell Power",,,,,,,,,,,,,,,,0xFF01FE,"Spell Power: Used to Be Fiery Wrath",2824,0,0,0,0,11700,0,0,0x0,0x0,
23,"of Spell Power",,,,,,,,,,,,,,,,0xFF01FE,"Spell Power: Used to Be Frozen Wrath",2824,0,0,0,0,11700,0,0,0x0,0x0,
24,"of Spell Power",,,,,,,,,,,,,,,,0xFF01FE,"Spell Power (used to be Nature's Wrath)",2824,0,0,0,0,11700,0,0,0x0,0x0,
25,"of Spell Power",,,,,,,,,,,,,,,,0xFF01FE,"Spell Power: Used to Be Shadow Wrath",2824,0,0,0,0,11700,0,0,0x0,0x0,
26,"of Spell Power",,,,,,,,,,,,,,,,0xFF01FE,"Spell Power",2824,0,0,0,0,11700,0,0,0x0,0x0,
27,"of Defense",,,,,,,,,,,,,,,,0xFF01FE,"Defense",2813,0,0,0,0,10000,0,0,0x0,0x0,
28,"of Regeneration",,,,,,,,,,,,,,,,0xFF01FE,"Regeneration",2814,0,0,0,0,4000,0,0,0x0,0x0,
29,"of Eluding",,,,,,,,,,,,,,,,0xFF01FE,"Eluding",2815,2802,0,0,0,6666,6666,0,0x0,0x0,
30,"of Concentration",,,,,,,,,,,,,,,,0xFF01FE,"Concentration",2816,0,0,0,0,4000,0,0,0x0,0x0,
31,"of Arcane Protection",,,,,,,,,,,,,,,,0xFF01FE,"Arcane Protection",2803,2817,0,0,0,10000,6666,0,0x0,0x0,
32,"of Fire Protection",,,,,,,,,,,,,,,,0xFF01FE,"Fire Protection",2803,2818,0,0,0,10000,6666,0,0x0,0x0,
33,"of Frost Protection",,,,,,,,,,,,,,,,0xFF01FE,"Frost Protection",2803,2819,0,0,0,10000,6666,0,0x0,0x0,
34,"of Nature Protection",,,,,,,,,,,,,,,,0xFF01FE,"Nature Protection",2803,2820,0,0,0,10000,6666,0,0x0,0x0,
35,"of Shadow Protection",,,,,,,,,,,,,,,,0xFF01FE,"Shadow Protection",2803,2821,0,0,0,10000,6666,0,0x0,0x0,
36,"of the Sorcerer",,,,,,,,,,,,,,,,0xFF01FE,"Sorcerer",2803,2804,2824,0,0,7889,5259,6153,0x0,0x0,
37,"of the Physician",,,,,,,,,,,,,,,,0xFF01FE,"Physician",2803,2804,2824,0,0,7889,5259,6153,0x0,0x0,
38,"of the Prophet",,,,,,,,,,,,,,,,0xFF01FE,"Prophet",2804,2806,2824,0,0,5259,5259,6153,0x0,0x0,
