id;value;displayid;
25;Worn Shortsword;1542;
35;Bent Staff;472;
36;Worn Mace;5194;
37;Worn Axe;14029;
38;Recruit's Shirt;9891;
39;Recruit's Pants;9892;
40;Recruit's Boots;10141;
43;Squire's Boots;9938;
44;Squire's Pants;9937;
45;Squire's Shirt;3265;
47;Footpad's Shoes;9915;
48;Footpad's Pants;9913;
49;Footpad's Shirt;9906;
51;Neophyte's Boots;9946;
52;Neophyte's Pants;9945;
53;Neophyte's Shirt;9944;
55;Apprentice's Boots;9929;
56;Apprentice's Robe;12647;
57;Acolyte's Robe;12645;
59;Acolyte's Shoes;3261;
60;Layered Tunic;16891;
61;Dwarven Leather Pants;16953;
79;Dwarven Cloth Britches;16847;
80;Soft Fur-lined Shoes;16854;
85;Dirty Leather Vest;16883;
117;Tough Jerky;2473;
118;Minor Healing Potion;15710;
120;Thug Pants;10006;
121;Thug Boots;10008;
127;Trapper's Shirt;9996;
128;Deprecated Tauren Trapper's Pants;396;
129;Rugged Trapper's Boots;9977;
139;Brawler's Pants;9988;
140;Brawler's Boots;9992;
147;Rugged Trapper's Pants;9975;
148;Rugged Trapper's Shirt;9976;
153;Primitive Kilt;10050;
154;Primitive Mantle;10058;
159;Refreshing Spring Water;18084;
182;Garrick's Head;7038;
193;Tattered Cloth Vest;16579;
194;Tattered Cloth Pants;16580;
195;Tattered Cloth Boots;16582;
200;Thick Cloth Vest;16777;
201;Thick Cloth Pants;16778;
202;Thick Cloth Shoes;16780;
203;Thick Cloth Gloves;16779;
209;Dirty Leather Pants;17140;
210;Dirty Leather Boots;14444;
236;Cured Leather Armor;14278;
237;Cured Leather Pants;14476;
238;Cured Leather Boots;14474;
239;Cured Leather Gloves;14475;
285;Scalemail Vest;16101;
286;Scalemail Pants;10400;
287;Scalemail Boots;12745;
414;Dalaran Sharp;21904;
422;Dwarven Mild;6352;
537;Dull Frenzy Scale;6629;
555;Rough Vulture Feathers;11206;
556;Buzzard Beak;6625;
647;Destiny;20190;
710;Bracers of the People's Militia;16936;
711;Tattered Cloth Gloves;16581;
714;Dirty Leather Gloves;14445;
718;Scalemail Gloves;6986;
719;Rabbit Handler Gloves;16970;
720;Brawler Gloves;2368;
723;Goretusk Liver;7369;
724;Goretusk Liver Pie;6385;
725;Gnoll Paw;6671;
727;Notched Shortsword;26577;
728;Recipe: Westfall Stew;1102;
729;Stringy Vulture Meat;7407;
730;Murloc Eye;7394;
731;Goretusk Snout;8802;
732;Okra;7395;
733;Westfall Stew;6428;
735;Rolf and Malakai's Medallions;7093;
737;Holy Spring Water;926;
738;Sack of Barley;1297;
739;Sack of Corn;11994;
740;Sack of Rye;11998;
742;A Sycamore Branch;928;
743;Bundle of Charred Oak;929;
744;Thunderbrew's Boot Flask;18059;
745;Marshal McBride's Documents;1102;
748;Stormwind Armor Marker;1102;
750;Tough Wolf Meat;1116;
752;Red Burlap Bandana;1272;
753;Dragonmaw Shortsword;20094;
754;Shortsword of Vengeance;20218;
755;Melted Candle;6677;
756;Tunnel Pick;6264;
763;Ice-covered Bracers;17007;
765;Silverleaf;18088;
766;Flanged Mace;19621;
767;Long Bo Staff;20443;
768;Lumberjack Axe;5012;
769;Chunk of Boar Meat;6348;
770;Pointy Crocolisk Tooth;6630;
771;Chipped Boar Tusk;1225;
772;Large Candle;7066;
773;Gold Dust;7137;
774;Malachite;6663;
776;Vendetta;6452;
777;Prowler Teeth;959;
778;Kobold Excavation Pick;6259;
779;Shiny Seashell;7714;
780;Torn Murloc Fin;6628;
781;Stone Gnoll Hammer;19644;
782;Painted Gnoll Armband;1329;
783;Light Hide;6687;
785;Mageroyal;7341;
787;Slitherskin Mackerel;24697;
789;Stout Battlehammer;19699;
790;Forester's Axe;19401;
791;Gnarled Ash Staff;20334;
792;Knitted Sandals;16855;
793;Knitted Gloves;14449;
794;Knitted Pants;14450;
795;Knitted Tunic;14154;
796;Rough Leather Boots;22973;
797;Rough Leather Gloves;17068;
798;Rough Leather Pants;22972;
799;Rough Leather Vest;2106;
804;Large Blue Sack;2588;
805;Small Red Pouch;2586;
809;Bloodrazor;20033;
810;Hammer of the Northern Wind;19726;
811;Axe of the Deep Woods;19137;
812;Glowing Brightwood Staff;20257;
814;Flask of Oil;18084;
816;Small Hand Blade;6472;
818;Tigerseye;6613;
820;Slicer Blade;6470;
821;Riverpaw Leather Vest;17102;
826;Brutish Riverpaw Axe;19271;
827;Wicked Blackjack;3498;
828;Small Blue Pouch;2584;
829;Red Leather Bandana;1272;
832;Silver Defias Belt;6847;
833;Lifestone;22978;
835;Large Rope Net;1007;
837;Heavy Weave Armor;14466;
838;Heavy Weave Pants;14468;
839;Heavy Weave Gloves;14467;
840;Heavy Weave Shoes;16821;
841;Furlbrow's Pocket Watch;1270;
843;Tanned Leather Boots;14470;
844;Tanned Leather Gloves;2101;
845;Tanned Leather Pants;9640;
846;Tanned Leather Jerkin;14472;
847;Chainmail Armor;1019;
848;Chainmail Pants;697;
