id;value
1;Skinning Knife (OLD)
2;Earth Totem
3;Air Totem
4;Fire Totem
5;Water Totem
6;Runed Copper Rod
7;Runed Silver Rod
8;Runed Golden Rod
9;Runed Truesilver Rod
10;Runed Arcanite Rod
11;Mining Pick (OLD)
12;Philosopher's Stone
13;Blacksmith Hammer (OLD)
14;Arclight Spanner
15;Gyromatic Micro-Adjustor
21;Master Totem
41;Runed Fel Iron Rod
62;Runed Adamantite Rod
63;Runed Eternium Rod
81;Hollow Quill
101;Runed Azurite Rod
121;Virtuoso Inking Set
141;Drums
161;Gnomish Army Knife
162;Blacksmith Hammer
165;Mining Pick
166;Skinning Knife
167;Hammer Pick
168;Bladed Pickaxe
169;Flint and Tinder
189;Runed Cobalt Rod (DO NOT USE)
190;Runed Titanium Rod
