long,long,flags,flags,long,long,long,long,
38,2,0x0,0x102,57,60,59,60,
36,30,0x0,0x102,47,60,49,52,
46,32,0x0,0x102,55,60,57,60,
53,34,0x0,0x102,53,60,55,58,
54,36,0x0,0x102,56,60,58,60,
37,38,0x0,0x102,57,60,59,60,
49,40,0x0,0x102,57,60,59,60,
95,136,0x1,0x103,58,70,59,62,
57,137,0x1,0x103,59,70,61,63,
88,138,0x1,0x103,67,70,69,70,
110,140,0x1,0x103,60,70,62,64,
66,147,0x1,0x103,67,70,69,70,
107,148,0x1,0x103,62,70,64,66,
108,149,0x1,0x103,63,70,65,67,
109,150,0x1,0x103,65,70,67,68,
92,151,0x1,0x103,67,70,69,70,
65,170,0x1,0x103,64,70,66,68,
76,171,0x1,0x103,68,70,70,70,
61,172,0x1,0x103,67,70,69,70,
97,173,0x1,0x103,67,70,69,70,
98,174,0x1,0x103,68,70,70,70,
87,198,0x1,0x103,68,70,70,70,
201,258,0x0,0x0,15,60,15,60,
200,258,0x1,0x0,15,58,15,58,
199,258,0x2,0x0,15,58,15,58,
202,259,0x1,0x0,59,70,59,70,
203,259,0x2,0x0,59,68,59,68,
219,274,0x0,0x102,57,60,59,60,
220,276,0x0,0x102,51,60,53,56,
