long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,None,flags,
5,"Wrath of the Lich King Heroic",,,,,,,,,,,,,,,,0xFF01FE,1,,0x5,
4,"Wrath of the Lich King Normal",,,,,,,,,,,,,,,,0xFF01FE,2,,0x1,
3,"Burning Crusade Heroic",,,,,,,,,,,,,,,,0xFF01FE,3,,0x5,
2,"Burning Crusade Normal",,,,,,,,,,,,,,,,0xFF01FE,4,,0x1,
1,"Classic Dungeons",,,,,,,,,,,,,,,,0xFF01FE,5,,0x1,
9,"Wrath of the Lich King Raid (25)",,,,,,,,,,,,,,,,0xFF01FE,17,,0x2,
8,"Wrath of the Lich King Raid (10)",,,,,,,,,,,,,,,,0xFF01FE,18,,0x2,
7,"Burning Crusade Raid",,,,,,,,,,,,,,,,0xFF01FE,19,,0x2,
6,"Classic Raid",,,,,,,,,,,,,,,,0xFF01FE,20,,0x2,
11,"World Events",,,,,,,,,,,,,,,,0xFF01FE,21,,0x0,
