long,str,flags,
1,"Environments\Stars\StratholmeSkybox.mdx",0x0,
2,"Environments\Stars\PortalWorldLegionSky.mdx",0x0,
3,"Environments\Stars\DeathClouds.mdx",0x0,
4,"Environments\Stars\Stars.mdx",0x0,
5,"Environments\Stars\CavernsOfTimeSky.mdx",0x0,
6,"Environments\Stars\DireMaulSkyBox.mdx",0x0,
7,"Environments\Stars\HellfireSkyBox.mdx",0x0,
8,"Environments\Stars\BoneWastesSkyBox.mdx",0x0,
9,"Environments\Stars\ShadowMoonSkyBox.mdx",0x0,
10,"Environments\Stars\NetherstormSkyBox.mdx",0x0,
11,"Environments\Stars\BladesEdgeSkyBox.mdx",0x0,
12,"Environments\Stars\NagrandSkyBox.mdx",0x1,
14,"Environments\Stars\BladesedgeForestSkyBox.mdx",0x0,
15,"Environments\Stars\BladesedgeNightElfSkyBox.mdx",0x0,
18,"Environments\Stars\ShadowmoonIllidan.mdx",0x0,
19,"Environments\Stars\DragonblightScarletSkyBox.mdx",0x2,
21,"ENVIRONMENTS\Stars\ZulDrakSkyB.mdx",0x1,
23,"ENVIRONMENTS\Stars\ColdarraSky.mdx",0x1,
25,"ENVIRONMENTS\Stars\IceCrownCitadelSky.mdx",0x0,
26,"ENVIRONMENTS\Stars\Aurora.mdx",0x2,
27,"ENVIRONMENTS\Stars\IceCrownSky.mdx",0x0,
28,"ENVIRONMENTS\Stars\IceCrownCitadelSky.mdx",0x0,
29,"ENVIRONMENTS\Stars\IceCrownDarkSky.mdx",0x1,
30,"ENVIRONMENTS\Stars\IceCrownCitadelSky.mdx",0x0,
33,"ENVIRONMENTS\Stars\NexusRaid_NebulaSky.mdx",0x0,
34,"ENVIRONMENTS\Stars\ChamberAspectsBlackSky.mdx",0x0,
35,"ENVIRONMENTS\Stars\BladesedgeForestSkyBox.mdx",0x0,
36,"ENVIRONMENTS\Stars\IceCrownScourgeSky.mdx",0x0,
37,"ENVIRONMENTS\Stars\StormPeaks_SkyA.mdx",0x1,
38,"ENVIRONMENTS\Stars\DeathKnightFireSkyBox.mdx",0x0,
39,"ENVIRONMENTS\Stars\DeathKnightFireSkyBox.mdx",0x0,
40,"ENVIRONMENTS\Stars\DeathKnightFireSkyBox.mdx",0x2,
41,"ENVIRONMENTS\Stars\IceCrownDarkSky.mdx",0x0,
42,"ENVIRONMENTS\Stars\IceCrownSunsetSky.mdx",0x0,
45,"ENVIRONMENTS\Stars\WintergraspSmokySky.mdx",0x1,
48,"ENVIRONMENTS\Stars\WintergraspSmokySky.mdx",0x0,
49,"ENVIRONMENTS\Stars\ChamberAspectsBlackSky.mdx",0x0,
51,"ENVIRONMENTS\Stars\ChamberAspectsBlackSky.mdx",0x0,
52,"ENVIRONMENTS\Stars\WintergraspSmokySky.mdx",0x1,
55,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
56,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
57,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
58,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
59,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
60,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
61,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
62,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
63,"ENVIRONMENTS\Stars\AuroraOrange.mdx",0x2,
64,"ENVIRONMENTS\Stars\AuroraOrange.mdx",0x2,
65,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
66,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
67,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
68,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
69,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
70,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
71,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
72,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
73,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
74,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
75,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
76,"ENVIRONMENTS\Stars\AuroraOrange.mdx",0x2,
77,"ENVIRONMENTS\Stars\AuroraYellowGreen.mdx",0x2,
78,"ENVIRONMENTS\Stars\AuroraOrange.mdx",0x2,
79,"ENVIRONMENTS\Stars\AuroraOrange.mdx",0x2,
80,"ENVIRONMENTS\Stars\ZulDrakSkyA.mdx",0x0,
81,"ENVIRONMENTS\Stars\DeathSkybox.mdx",0x0,
82,"ENVIRONMENTS\Stars\DeathSkybox.mdx",0x0,
83,"ENVIRONMENTS\Stars\DeathSkybox.mdx",0x0,
84,"ENVIRONMENTS\Stars\AuroraOrange.mdx",0x2,
85,"ENVIRONMENTS\Stars\AuroraOrange.mdx",0x2,
86,"ENVIRONMENTS\Stars\AuroraOrange.mdx",0x2,
87,"ENVIRONMENTS\Stars\AuroraOrange.mdx",0x2,
88,"ENVIRONMENTS\Stars\AuroraOrange.mdx",0x2,
89,"ENVIRONMENTS\Stars\AuroraOrange.mdx",0x2,
90,"ENVIRONMENTS\Stars\DeathSkybox.mdx",0x0,
91,"ENVIRONMENTS\Stars\DeathSkybox.mdx",0x0,
92,"ENVIRONMENTS\Stars\UlduranCloudySky.mdx",0x1,
93,"ENVIRONMENTS\Stars\UlduranCloudySky.mdx",0x1,
94,"ENVIRONMENTS\Stars\DalaranSkyBox.mdx",0x1,
95,"ENVIRONMENTS\Stars\DalaranSkyBox.mdx",0x1,
96,"ENVIRONMENTS\Stars\StormPeaks_SkyB_Storm.mdx",0x1,
97,"ENVIRONMENTS\Stars\NexusRaid_StarrySky.mdx",0x0,
98,"ENVIRONMENTS\Stars\NexusRaid_NebulaSky.mdx",0x0,
99,"ENVIRONMENTS\Stars\NexusRaid_StarrySky.mdx",0x0,
100,"ENVIRONMENTS\Stars\NexusRaid_NebulaSky.mdx",0x0,
101,"ENVIRONMENTS\Stars\NexusRaid_Wormhole.mdx",0x0,
102,"ENVIRONMENTS\Stars\NexusRaid_RuneEffects_Nebula.mdx",0x0,
103,"ENVIRONMENTS\Stars\NexusRaid_RuneEffects_Starry.mdx",0x0,
104,"ENVIRONMENTS\Stars\NexusRaid_StarrySky.mdx",0x0,
105,"ENVIRONMENTS\Stars\NexusRaid_StarrySky.mdx",0x0,
106,"ENVIRONMENTS\Stars\NexusRaid_NebulaSky.mdx",0x0,
107,"ENVIRONMENTS\Stars\NexusRaid_Wormhole.mdx",0x0,
108,"ENVIRONMENTS\Stars\NexusRaid_NebulaSky.mdx",0x0,
109,"ENVIRONMENTS\Stars\NexusRaid_RuneEffects_Nebula.mdx",0x0,
110,"ENVIRONMENTS\Stars\NexusRaid_StarrySky.mdx",0x0,
111,"ENVIRONMENTS\Stars\NexusRaid_RuneEffects_Nebula.mdx",0x0,
112,"ENVIRONMENTS\Stars\ZulDrakSkyB.mdx",0x0,
113,"ENVIRONMENTS\Stars\ZulDrakSkyA.mdx",0x1,
114,"Environments\Stars\IceCrownStormySky.mdx",0x1,
115,"ENVIRONMENTS\Stars\StormPeaks_SkyB_Storm.mdx",0x1,
116,"ENVIRONMENTS\Stars\StormPeaks_SkyC_Ulduar.mdx",0x1,
117,"ENVIRONMENTS\Stars\IceCrownCitadelSky.mdx",0x1,
118,"ENVIRONMENTS\Stars\NexusRaid_Wormhole.mdx",0x0,
119,"ENVIRONMENTS\Stars\AzjolNerub_SkyA.mdx",0x0,
120,"ENVIRONMENTS\Stars\StormPeaks_SkyC_Ulduar.mdx",0x1,
121,"ENVIRONMENTS\Stars\AzjolNerub_SkyA.mdx",0x0,
122,"ENVIRONMENTS\Stars\StormPeaks_SkyC_Ulduar.mdx",0x1,
