long,str,long,long,long,long,float,float,float,float,long,float,bool,bool,long,str,str,str,str,str,str,None,None,float,float,float,float,None,None,None,None,float,float,None,float,float,float,float,float,float,float,bool,flags,flags,flags,
1,"Water",15,0,1111,0,0.0,0.0,0.0,0.0,0,1.0,0,0,1,"XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","","","","",,,1.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x4E2,0x0,0x0,
2,"Ocean",15,1,1114,0,30.0,0.5,0.5,0.25,0,1.0,0,0,1,"XTextures\ocean\ocean_h.%d.blp","proceduralOceanDepthTex","","","","",,,1.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0x4E2,0x0,0x0,
3,"Magma",120,2,3072,0,0.0,0.0,0.0,0.0,7,4.0,1,1,2,"XTextures\lava\lava.%d.blp","","","","","",,,0.0250000003725,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x0,0x0,0x0,
4,"Slime",322,3,3880,0,0.0,0.0,0.0,0.0,6,0.0,0,0,2,"XTextures\slime\slime.%d.blp","","","","","",,,0.0250000003725,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x0,0x0,0x0,
5,"Slow Water",15,0,1112,0,0.0,0.0,0.0,0.0,0,1.0,0,0,1,"XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","","","","",,,1.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x4E2,0x0,0x0,
6,"Slow Ocean",15,1,1114,0,30.0,0.5,0.5,0.25,0,1.0,0,0,1,"XTextures\ocean\ocean_h.%d.blp","proceduralOceanDepthTex","","","","",,,1.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0x4E2,0x0,0x0,
7,"Slow Magma",120,2,3052,0,0.0,0.0,0.0,0.0,7,4.0,1,1,2,"XTextures\lava\lava.%d.blp","","","","","",,,0.0250000003725,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x0,0x0,0x0,
8,"Slow Slime",322,3,3880,0,0.0,0.0,0.0,0.0,6,0.0,0,0,2,"XTextures\slime\slime.%d.blp","","","","","",,,0.0250000003725,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x0,0x0,0x0,
9,"Fast Water",15,0,1113,0,0.0,0.0,0.0,0.0,0,1.0,0,0,1,"XTextures\river\fast_a.%d.blp","proceduralRiverDepthTex","","","","",,,1.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x4E2,0x0,0x0,
10,"Fast Ocean",15,1,1114,0,30.0,0.5,0.5,0.25,0,1.0,0,0,1,"XTextures\ocean\ocean_h.%d.blp","proceduralOceanDepthTex","","","","",,,1.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0x4E2,0x0,0x0,
11,"Fast Magma",120,2,3052,0,0.0,0.0,0.0,0.0,7,4.0,1,1,2,"XTextures\lava\lava.%d.blp","","","","","",,,0.0250000003725,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x0,0x0,0x0,
12,"Fast Slime",322,3,3880,0,0.0,0.0,0.0,0.0,6,0.0,0,0,2,"XTextures\slime\slime.%d.blp","","","","","",,,0.0250000003725,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x0,0x0,0x0,
13,"WMO Water",15,0,1111,0,0.0,0.0,0.0,0.0,0,1.0,0,0,1,"XTextures\river\lake_a.%d.blp","proceduralWmoWaterTex","","","","",,,1.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0x4E2,0x0,0x0,
14,"WMO Ocean",527,1,1114,0,30.0,0.5,0.5,0.25,0,1.0,0,0,1,"XTextures\ocean\ocean_h.%d.blp","proceduralOceanDepthTex","","","","",,,0.25,180.0,1.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0x4E2,0x0,0x0,
15,"Green Lava",120,2,3072,0,0.0,0.0,0.0,0.0,6,4.0,1,1,2,"XTextures\LavaGreen\lavagreen.%d.blp","","","","","",,,0.0250000003725,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x0,0x0,0x0,
17,"WMO Water - Interior",15,0,1111,0,0.0,0.0,0.0,0.0,0,1.0,0,0,1,"XTextures\river\lake_a.%d.blp","proceduralWmoWaterTex","","","","",,,1.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0x4E2,0x0,0x0,
