long,str,long,long,bool,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,float,long,float,float,long,flags,flags,flags,
0,"Azeroth",0,0,0,"Eastern Kingdoms",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FE,4,1.0,-1,0.0,0.0,-1,0x0,0x0,0x0,
1,"Kalimdor",0,0,0,"Kalimdor",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,3,1.0,-1,0.0,0.0,-1,0x0,0x0,0x0,
13,"test",0,2,0,"Testing",,,,,,,,,,,,,,,,0xFF01FE,3817,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,-1,0.0,0.0,-1,0x0,0x0,0x0,
25,"ScottTest",0,2,0,"Scott Test",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,-1,0.0,0.0,-1,0x0,0x0,0x0,
30,"PVPZone01",3,0,1,"Alterac Valley",,,,,,,,,,,,,,,,0xFF01FE,0,"Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall's own clan of orcs, the Frostwolves.

The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.",,,,,,,,,,,,,,,,0xFF01FE,"Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall's own clan of orcs, the Frostwolves.

The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.",,,,,,,,,,,,,,,,0xFF01FE,104,1.0,-1,0.0,0.0,-1,0x0,0x0,0x0,
33,"Shadowfang",1,0,0,"Shadowfang Keep",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,204,1.0,0,-230.989364624,1571.5703125,-1,0x0,0x0,0xA,
34,"StormwindJail",1,0,0,"Stormwind Stockade",,,,,,,,,,,,,,,,0xFF01FE,717,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,194,1.0,0,-8762.37890625,848.010314941,-1,0x0,0x0,0xA,
35,"StormwindPrison",0,0,0,"<unused>StormwindPrison",,,,,,,,,,,,,,,,0xFF01FE,717,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,23,1.0,0,-8762.4765625,848.049133301,-1,0x0,0x0,0x0,
36,"DeadminesInstance",1,0,0,"Deadmines",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,142,1.0,0,-11207.7988281,1681.15087891,-1,0x0,0x0,0xA,
37,"PVPZone02",0,0,1,"Azshara Crater",,,,,,,,,,,,,,,,0xFF01FE,0,"Crush the Alliance!",,,,,,,,,,,,,,,,0xFF01FE,"Defend yourself from the onslaught of the Horde!",,,,,,,,,,,,,,,,0xFF01FF,25,1.0,-1,0.0,0.0,-1,0x0,0x0,0x0,
42,"Collin",0,2,0,"Collin's Test",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,-1,0.0,0.0,-1,0x0,0x0,0x0,
43,"WailingCaverns",1,0,0,"Wailing Caverns",,,,,,,,,,,,,,,,0xFF01FE,718,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,143,1.0,1,-751.131225586,-2209.24047852,-1,0x0,0x0,0xA,
44,"Monastery",1,0,0,"<unused> Monastery",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,42,1.0,0,2892.41333008,-811.241333008,-1,0x0,0x0,0xA,
47,"RazorfenKraulInstance",1,0,0,"Razorfen Kraul",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,188,1.0,1,-4459.44921875,-1660.21179199,-1,0x0,0x0,0xA,
48,"Blackfathom",1,0,0,"Blackfathom Deeps",,,,,,,,,,,,,,,,0xFF01FE,719,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,196,1.0,1,4249.12060547,748.387084961,-1,0x0,0x0,0xA,
70,"Uldaman",1,0,0,"Uldaman",,,,,,,,,,,,,,,,0xFF01FE,1337,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,144,1.0,0,-6060.18164063,-2954.99731445,-1,0x0,0x0,0xA,
90,"GnomeragonInstance",1,0,0,"Gnomeregan",,,,,,,,,,,,,,,,0xFF01FE,721,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,193,1.0,0,-5162.66162109,931.598754883,-1,0x0,0x0,0xA,
109,"SunkenTemple",1,0,0,"Sunken Temple",,,,,,,,,,,,,,,,0xFF01FE,1477,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,191,1.0,0,-10170.1035156,-3995.96801758,-1,0x0,0x0,0xA,
129,"RazorfenDowns",1,0,0,"Razorfen Downs",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,145,1.0,1,-4662.8828125,-2535.87158203,-1,0x0,0x0,0xA,
169,"EmeraldDream",2,0,0,"Emerald Dream",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,-1,0.0,0.0,-1,0x0,0x0,0x28,
189,"MonasteryInstances",1,0,0,"Scarlet Monastery",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,190,1.0,0,2892.23535156,-811.263671875,-1,0x0,0x0,0xA,
