long,bool,bool,bool,float,float,float,float,
65,1,1,1,5.0,30.0,0.699999988079,1.29999995232,
121,1,1,1,5.0,30.0,0.699999988079,1.29999995232,
123,1,1,1,5.0,30.0,1.0,1.29999995232,
124,1,1,1,5.0,30.0,0.699999988079,1.29999995232,
141,1,1,1,5.0,30.0,0.699999988079,1.29999995232,
161,1,1,1,5.0,30.0,0.699999988079,1.29999995232,
181,1,1,1,5.0,30.0,0.699999988079,1.29999995232,
182,1,1,1,5.0,30.0,0.699999988079,1.29999995232,
184,1,1,1,5.0,30.0,0.699999988079,1.29999995232,
201,1,1,1,5.0,30.0,0.699999988079,1.29999995232,
202,1,1,1,5.0,30.0,0.699999988079,1.29999995232,
