str,str,long,
"HeadSlot","interface\paperdoll\UI-PaperDoll-Slot-Head.blp",1,
"NeckSlot","interface\paperdoll\UI-PaperDoll-Slot-Neck.blp",2,
"ShoulderSlot","interface\paperdoll\UI-PaperDoll-Slot-Shoulder.blp",3,
"ShirtSlot","interface\paperdoll\UI-PaperDoll-Slot-Shirt.blp",4,
"ChestSlot","interface\paperdoll\UI-PaperDoll-Slot-Chest.blp",5,
"WaistSlot","interface\paperdoll\UI-PaperDoll-Slot-Waist.blp",6,
"LegsSlot","interface\paperdoll\UI-PaperDoll-Slot-Legs.blp",7,
"FeetSlot","interface\paperdoll\UI-PaperDoll-Slot-Feet.blp",8,
"WristSlot","interface\paperdoll\UI-PaperDoll-Slot-Wrists.blp",9,
"HandsSlot","interface\paperdoll\UI-PaperDoll-Slot-Hands.blp",10,
"Finger0Slot","interface\paperdoll\UI-PaperDoll-Slot-Finger.blp",11,
"Finger1Slot","interface\paperdoll\UI-PaperDoll-Slot-Finger.blp",12,
"Trinket0Slot","interface\paperdoll\UI-PaperDoll-Slot-Trinket.blp",13,
"Trinket1Slot","interface\paperdoll\UI-PaperDoll-Slot-Trinket.blp",14,
"BackSlot","interface\paperdoll\UI-PaperDoll-Slot-Chest.blp",15,
"MainHandSlot","interface\paperdoll\UI-PaperDoll-Slot-MainHand.blp",16,
"SecondaryHandSlot","interface\paperdoll\UI-PaperDoll-Slot-SecondaryHand.blp",17,
"RangedSlot","interface\paperdoll\UI-PaperDoll-Slot-Ranged.blp",18,
"TabardSlot","interface\paperdoll\UI-PaperDoll-Slot-Tabard.blp",19,
"Bag1","interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",64,
"Bag2","interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",65,
"Bag3","interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",66,
"Bag4","interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",67,
"Bag5","interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",68,
"Bag6","interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",69,
"Bag7","interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",70,
"Bag8","interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",71,
"Bag9","interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",72,
"Bag10","interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",73,
"Bag11","interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",74,
"Bag12","interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",75,
"Bag0Slot","interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",20,
"Bag1Slot","interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",21,
"Bag2Slot","interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",22,
"Bag3Slot","interface\paperdoll\UI-PaperDoll-Slot-Bag.blp",23,
"AmmoSlot","interface\paperdoll\UI-PaperDoll-Slot-Ranged.blp",0,
