long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,"Group",,,,,,,,,,,,,,,,0xFF01FE,
21,"Life",,,,,,,,,,,,,,,,0xFF01FE,
41,"PvP",,,,,,,,,,,,,,,,0xFF01FE,
62,"Raid",,,,,,,,,,,,,,,,0xFF01FE,
81,"Dungeon",,,,,,,,,,,,,,,,0xFF01FE,
82,"World Event",,,,,,,,,,,,,,,,0xFF01FE,
83,"Legendary",,,,,,,,,,,,,,,,0xFF01FE,
84,"Escort",,,,,,,,,,,,,,,,0xFF01FE,
85,"Heroic",,,,,,,,,,,,,,,,0xFF01FE,
88,"Raid (10)",,,,,,,,,,,,,,,,0xFF01FE,
89,"Raid (25)",,,,,,,,,,,,,,,,0xFF01FE,
