long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,"Epic",,,,,,,,,,,,,,,,0xFF01FE,
21,"REUSE - old wailing caverns",,,,,,,,,,,,,,,,0xFF01FE,
22,"Seasonal",,,,,,,,,,,,,,,,0xFF01FE,
23,"REUSE - old undercity one",,,,,,,,,,,,,,,,0xFF01FE,
24,"Herbalism",,,,,,,,,,,,,,,,0xFF01FE,
25,"Battlegrounds",,,,,,,,,,,,,,,,0xFF01FE,
41,"Day of the Dead",,,,,,,,,,,,,,,,0xFF01FE,
61,"Warlock",,,,,,,,,,,,,,,,0xFF01FE,
81,"Warrior",,,,,,,,,,,,,,,,0xFF01FE,
82,"Shaman",,,,,,,,,,,,,,,,0xFF01FE,
101,"Fishing",,,,,,,,,,,,,,,,0xFF01FE,
121,"Blacksmithing",,,,,,,,,,,,,,,,0xFF01FE,
141,"Paladin",,,,,,,,,,,,,,,,0xFF01FE,
161,"Mage",,,,,,,,,,,,,,,,0xFF01FE,
162,"Rogue",,,,,,,,,,,,,,,,0xFF01FE,
181,"Alchemy",,,,,,,,,,,,,,,,0xFF01FE,
182,"Leatherworking",,,,,,,,,,,,,,,,0xFF01FE,
201,"Engineering",,,,,,,,,,,,,,,,0xFF01FE,
221,"Treasure Map",,,,,,,,,,,,,,,,0xFF01FE,
241,"Tournament",,,,,,,,,,,,,,,,0xFF01FE,
261,"Hunter",,,,,,,,,,,,,,,,0xFF01FE,
262,"Priest",,,,,,,,,,,,,,,,0xFF01FE,
263,"Druid",,,,,,,,,,,,,,,,0xFF01FE,
264,"Tailoring",,,,,,,,,,,,,,,,0xFF01FE,
284,"Special",,,,,,,,,,,,,,,,0xFF01FE,
304,"Cooking",,,,,,,,,,,,,,,,0xFF01FE,
324,"First Aid",,,,,,,,,,,,,,,,0xFF01FE,
344,"Legendary",,,,,,,,,,,,,,,,0xFF01FE,
364,"Darkmoon Faire",,,,,,,,,,,,,,,,0xFF01FE,
365,"Ahn'Qiraj War",,,,,,,,,,,,,,,,0xFF01FE,
366,"Lunar Festival",,,,,,,,,,,,,,,,0xFF01FE,
367,"Reputation",,,,,,,,,,,,,,,,0xFF01FE,
368,"Invasion",,,,,,,,,,,,,,,,0xFF01FE,
369,"Midsummer",,,,,,,,,,,,,,,,0xFF01FE,
370,"Brewfest",,,,,,,,,,,,,,,,0xFF01FE,
371,"Inscription",,,,,,,,,,,,,,,,0xFF01FE,
372,"Death Knight",,,,,,,,,,,,,,,,0xFF01FE,
373,"Jewelcrafting",,,,,,,,,,,,,,,,0xFF01FE,
374,"Noblegarden",,,,,,,,,,,,,,,,0xFF01FE,
375,"Pilgrim's Bounty",,,,,,,,,,,,,,,,0xFF01FE,
376,"Love is in the Air",,,,,,,,,,,,,,,,0xFF01FE,
