long,long,long,long,flags,flags,long,flags,
57,6,-1,128,0x410,0x0,0,0x0,
301,8,-1,128,0x410,0x0,0,0x0,
107,26,-1,1,0x410,0x0,0,0x0,
82,38,-1,8,0x410,0x0,0,0x0,
75,39,-1,8,0x410,0x0,0,0x0,
140,43,1115,1,0x80,0x0,0,0x0,
328,43,3071,4,0x80,0x0,0,0x0,
638,43,164,1,0x80,0x0,0,0x0,
872,43,32767,8,0x80,0x0,0,0x0,
880,43,1024,4,0x80,0x0,0,0x0,
881,43,32767,384,0x80,0x0,0,0x0,
885,43,1029,2,0x80,0x0,0,0x0,
886,43,512,2,0x80,0x0,0,0x0,
910,43,262143,32,0x80,0x0,0,0x0,
117,44,166,4,0x80,0x0,0,0x0,
335,44,2147483647,74,0x80,0x0,0,0x0,
628,44,1544,4,0x80,0x0,0,0x0,
629,44,167,1,0x80,0x0,0,0x0,
630,44,1112,1,0x80,0x0,0,0x0,
912,44,262143,32,0x80,0x0,0,0x0,
126,45,650,4,0x80,0x0,0,0x0,
127,45,32767,13,0x80,0x0,0,0x0,
133,46,36,4,0x80,0x0,0,0x0,
134,46,32767,9,0x80,0x0,0,0x0,
635,46,1674,4,0x80,0x0,0,0x0,
31,50,-1,4,0x410,0x0,0,0x0,
39,51,-1,4,0x410,0x0,0,0x0,
135,54,2147483647,80,0x80,0x0,0,0x0,
325,54,-1,8,0x80,0x0,0,0x0,
636,54,1133,1,0x80,0x0,0,0x0,
637,54,658,1,0x80,0x0,0,0x0,
643,54,8,1024,0x80,0x0,0,0x0,
644,54,32,1024,0x80,0x0,0,0x0,
888,54,261631,2,0x80,0x0,0,0x0,
889,54,512,2,0x80,0x0,0,0x0,
914,54,262143,32,0x80,0x0,0,0x0,
125,55,262143,4,0x80,0x0,0,0x0,
626,55,163839,1,0x80,0x0,0,0x0,
884,55,512,2,0x80,0x0,0,0x0,
898,55,262143,32,0x80,0x0,0,0x0,
901,55,261631,2,0x80,0x0,0,0x0,
58,56,-1,16,0x410,0x0,0,0x0,
