long,long,flags,long,None,None,None,None,None,None,None,None,None,None,None,None,None,long,flags,flags,flags,long,flags,None,None,None,None,None,None,None,None,None,None,
2,1,0x0,0,,,,,,,,,,,,,,75,0x96,0xE1,0x12C,375,0x1C2,,,,,,,,,,,
21,0,0x0,0,,,,,,,,,,,,,,300,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
22,30,0x0,0,,,,,,,,,,,,,,1000,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
23,0,0x0,0,,,,,,,,,,,,,,75,0x96,0xE1,0x12C,375,0x1C2,,,,,,,,,,,
24,100,0x0,0,,,,,,,,,,,,,,1,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
41,1,0x0,0,,,,,,,,,,,,,,75,0x96,0xE1,0x12C,375,0x1C2,,,,,,,,,,,
61,0,0x0,0,,,,,,,,,,,,,,75,0x96,0xE1,0x12C,375,0x1C2,,,,,,,,,,,
62,1,0x0,0,,,,,,,,,,,,,,75,0x96,0xE1,0x12C,375,0x1C2,,,,,,,,,,,
63,0,0x0,0,,,,,,,,,,,,,,75,0x96,0xE1,0x12C,375,0x1C2,,,,,,,,,,,
81,100,0x190,1000,,,,,,,,,,,,,,75,0x96,0xE1,0x0,0,0x0,,,,,,,,,,,
121,50,0x0,0,,,,,,,,,,,,,,1000,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
122,0,0x0,0,,,,,,,,,,,,,,1000,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
123,75,0x0,0,,,,,,,,,,,,,,1000,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
124,15,0x0,0,,,,,,,,,,,,,,1000,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
125,200,0x0,0,,,,,,,,,,,,,,1000,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
126,60,0x0,0,,,,,,,,,,,,,,1000,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
127,25,0x0,0,,,,,,,,,,,,,,1000,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
141,120,0x0,0,,,,,,,,,,,,,,1,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
142,180,0x0,0,,,,,,,,,,,,,,1,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
143,60,0x0,0,,,,,,,,,,,,,,1,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
161,1,0x0,0,,,,,,,,,,,,,,75,0x96,0xE1,0x12C,375,0x1C2,,,,,,,,,,,
181,0,0x0,0,,,,,,,,,,,,,,300,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
182,0,0x0,0,,,,,,,,,,,,,,300,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
221,30,0x0,0,,,,,,,,,,,,,,1,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
222,50,0x0,0,,,,,,,,,,,,,,1,0x0,0x0,0x0,0,0x0,,,,,,,,,,,
223,0,0x0,0,,,,,,,,,,,,,,75,0x96,0xE1,0x12C,0,0x0,,,,,,,,,,,
