long,float,float,float,float,float,float,long,long,str,
779,1602.0,-3600.0,40.0,-0.00431399978697,0.998871028423,0.047311000526,14924,571,"Waterfall_TurbulenceLrgDir",
780,1602.44995117,-3612.62988281,81.9200973511,0.0,0.0,0.0,14895,571,"Waterfall_RegularLarge",
781,1583.48449707,-3922.91748047,114.702301025,0.0,0.0,0.0,14895,571,"Waterfall_RegularLarge",
782,1591.42004395,-3912.09008789,88.7032012939,0.495404988527,0.766524016857,0.408675998449,14924,571,"Waterfall_TurbulenceLrgDir",
783,1613.65002441,-3958.2199707,140.686004639,-0.910225987434,0.414086997509,0.0044530001469,14915,571,"Waterfall_TurbulenceMedDir",
784,1639.77001953,-3957.18994141,170.964004517,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
785,1879.73999023,-3972.09008789,180.949996948,-0.941478013992,0.036603000015,-0.335079014301,14924,571,"Waterfall_TurbulenceLrgNarrowDir",
786,1980.11999512,-3977.65991211,200.483001709,-0.917078018188,0.177366003394,-0.357082992792,14924,571,"Waterfall_TurbulenceLrgNarrowDir",
787,1901.79003906,-3974.43994141,187.453994751,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
788,1998.43994141,-3982.18994141,211.542007446,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
789,2065.89990234,-3302.52001953,84.7790985107,0.110367998481,0.973336994648,-0.201078996062,14915,571,"Waterfall_TurbulenceMedDir",
790,2043.41003418,-3325.18994141,98.567199707,0.0,0.0,0.0,14900,571,"Waterfall_RegularSmall",
791,2043.58178711,-3282.4909668,96.2917022705,0.0,0.0,0.0,14900,571,"Waterfall_RegularSmall",
792,2046.30773926,-3263.70996094,54.5948791504,0.0,0.0,0.0,14900,571,"Waterfall_RegularSmall",
793,786.333007813,-4720.85009766,144.578994751,-0.0279939994216,-0.979050993919,-0.201683998108,14924,571,"Waterfall_TurbulenceLrgDir",
794,779.073974609,-4766.33984375,71.7372970581,0.226270005107,-0.973713994026,0.0261550005525,14924,571,"Waterfall_TurbulenceLrgDir",
795,750.320007324,-4814.06005859,16.2551994324,0.233851000667,-0.917051970959,-0.323004990816,14924,571,"Waterfall_TurbulenceLrgDir",
796,806.242980957,-4783.37988281,17.0748004913,-0.0138959996402,-0.00527099985629,-0.99989002943,14924,571,"Waterfall_TurbulenceLrgDir",
797,777.17401123,-4678.85009766,188.675994873,0.0,0.0,0.0,14895,571,"Waterfall_RegularLarge",
799,1267.79003906,-5083.91015625,36.364200592,-0.860858023167,-0.50698697567,0.0434780009091,14950,571,"Waterfall_TurbulenceHugeNarrowDir",
800,1578.43005371,-4299.27001953,142.447006226,-0.959993004799,0.258949011564,0.10657799989,14924,571,"Waterfall_TurbulenceLrgDir",
802,1608.0,-4300.0,179.889007568,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
803,1791.04003906,-5030.35009766,121.67199707,-0.960498988628,0.107868000865,-0.256523013115,14924,571,"Waterfall_TurbulenceLrgDir",
804,1736.72998047,-5076.81005859,120.180999756,-0.251046001911,0.963599026203,-0.0919369980693,14924,571,"Waterfall_TurbulenceLrgDir",
805,1782.01000977,-4731.66992188,141.88999939,-0.727270007133,-0.612694978714,-0.309323996305,14924,571,"Waterfall_TurbulenceLrgDir",
806,1735.30004883,-4647.39990234,139.647003174,-0.593025028706,-0.803256988525,-0.0556709989905,14924,571,"Waterfall_TurbulenceLrgDir",
807,1696.83996582,-4612.77001953,139.156997681,-0.674791991711,-0.729681015015,0.110544003546,14924,571,"Waterfall_TurbulenceLrgDir",
808,1712.00927734,-4603.87158203,176.345932007,0.0,0.0,0.0,14895,571,"Waterfall_RegularLarge",
809,1743.41760254,-4638.53173828,175.627838135,0.0,0.0,0.0,14895,571,"Waterfall_RegularLarge",
810,1809.74328613,-4720.78662109,186.010437012,0.0,0.0,0.0,14895,571,"Waterfall_RegularLarge",
811,1800.72961426,-5033.18994141,169.785934448,0.0,0.0,0.0,14895,571,"Waterfall_RegularLarge",
812,1739.16870117,-5087.40429688,169.464035034,0.0,0.0,0.0,14895,571,"Waterfall_RegularLarge",
813,1815.10998535,-4292.33984375,184.332992554,-0.216198995709,-0.0367560014129,-0.975656986237,14924,571,"Waterfall_TurbulenceLrgNarrowDir",
814,1835.19995117,-4290.0,196.229003906,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
815,1976.26000977,-4293.0,209.207992554,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
816,1986.84399414,-4341.79980469,206.886947632,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
817,1961.26000977,-4294.79003906,198.375,-0.964917004108,0.127223998308,-0.229671001434,14915,571,"Waterfall_TurbulenceMedDir",
818,1982.40002441,-4358.68017578,205.300003052,-0.255364000797,-0.955834984779,0.14549100399,14915,571,"Waterfall_TurbulenceMedDir",
819,1893.2800293,-4503.06005859,189.37399292,0.00397500023246,-0.97705501318,0.212946996093,14915,571,"Waterfall_TurbulenceMedDir",
820,1870.13000488,-4474.87011719,191.07800293,-0.933731973171,-0.357823997736,0.0103040002286,14915,571,"Waterfall_TurbulenceMedDir",
821,1893.05004883,-4477.31005859,193.636001587,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
822,1927.17004395,-5205.25976563,182.651000977,-0.936583995819,0.348468005657,-0.0371580012143,14915,571,"Waterfall_TurbulenceMedDir",
823,2045.60998535,-5242.20996094,203.735992432,-0.910225987434,0.414086997509,0.0044530001469,14924,571,"Waterfall_TurbulenceLrgNarrowDir",
824,2174.79003906,-5288.25976563,235.259002686,-0.996411025524,-0.0454870015383,-0.0713829994202,14924,571,"Waterfall_TurbulenceLrgNarrowDir",
825,1942.7701416,-5208.90283203,189.024795532,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
826,2057.53076172,-5247.10400391,225.989944458,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
827,2189.37182617,-5285.69433594,246.554763794,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
828,2390.48999023,-5148.81005859,256.990997314,-0.930953979492,-0.359688013792,-0.0628599971533,14924,571,"Waterfall_TurbulenceLrgDir",
829,2404.5,-5001.87011719,257.816986084,-0.948319017887,0.297870993614,-0.109380997717,14924,571,"Waterfall_TurbulenceLrgDir",
830,2498.43994141,-5116.22021484,292.718994141,-0.944041013718,-0.329674005508,0.0101539995521,14915,571,"Waterfall_TurbulenceMedDir",
831,2534.31591797,-5066.34619141,294.864715576,-0.936583995819,0.348468005657,-0.0371580012143,14915,571,"Waterfall_TurbulenceMedDir",
832,2404.37011719,-5146.33007813,273.536010742,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
833,2415.20996094,-5003.47998047,270.595001221,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
834,2645.90991211,-2372.5300293,18.7276000977,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
835,2637.83007813,-2375.41992188,6.20030021667,-0.818283975124,-0.130503997207,-0.559803009033,14915,571,"Waterfall_TurbulenceMedDir",
836,2772.12011719,-2235.7199707,8.47893047333,-0.394957989454,0.914710998535,-0.0854969993234,14915,571,"Waterfall_TurbulenceMedDir",
837,2781.06005859,-2246.52001953,13.8020000458,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
838,2961.40991211,-2427.7199707,26.972700119,-0.99611800909,-0.0515049993992,0.0713689997792,14924,571,"Waterfall_TurbulenceLrgDir",
839,2976.46899414,-2426.14355469,52.6623878479,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
840,3320.2199707,-2653.29003906,49.3869018555,0.0,0.0,0.0,14968,571,"Waterfall_TurbulenceSmall",
841,3278.30541992,-2633.67602539,49.3953056335,0.0,0.0,0.0,14968,571,"Waterfall_TurbulenceSmall",
842,3442.73999023,-2638.58007813,58.1604003906,-0.943714976311,0.326579988003,0.0524180009961,14915,571,"Waterfall_TurbulenceMedDir",
843,3447.64990234,-2607.37988281,61.0149002075,-0.990279018879,-0.0780519992113,0.115121997893,14915,571,"Waterfall_TurbulenceMedDir",
844,3428.66992188,-2661.35009766,56.404499054,-0.902074992657,0.43156298995,0.00320399994962,14915,571,"Waterfall_TurbulenceMedDir",
845,3455.91992188,-2658.23999023,76.3725967407,0.0,0.0,0.0,14895,571,"Waterfall_RegularLarge",
846,3463.30444336,-2604.56347656,77.8663711548,0.0,0.0,0.0,14895,571,"Waterfall_RegularLarge",
847,3657.28955078,-2628.78955078,138.737075806,-0.902074992657,0.43156298995,0.00320399994962,14915,571,"Waterfall_TurbulenceMedDir",
848,3643.39990234,-2662.51000977,142.595001221,-0.960021972656,0.279868006706,0.00523500004783,14915,571,"Waterfall_TurbulenceMedDir",
849,3641.68994141,-2702.66992188,139.634994507,-0.982959985733,-0.111441999674,-0.146174997091,14915,571,"Waterfall_TurbulenceMedDir",
850,3674.5,-2635.93994141,151.156997681,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
851,3663.69995117,-2668.12988281,150.957992554,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
852,3658.2199707,-2703.48999023,151.087997437,0.0,0.0,0.0,14899,571,"Waterfall_RegularMed",
