long,long,long,long,float,float,float,float,float,float,float,float,float,
1,1,0,1,1.0,0.907999992371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,1,1,4,1.0,1.0,0.878000020981,1.0,0.0,4.51200008392,1.10000002384,0.0149999996647,0.0120000001043,
3,1,2,5,1.0,67.0,0.035000000149,0.159999996424,1.0,0.0,0.0,0.0,0.0,
4,2,0,5,1.0,70.0,0.035000000149,0.163000002503,1.0,0.0,0.0,0.0,0.0,
5,2,1,4,1.0,1.0,1.0,1.0,0.0,22.0440006256,0.837999999523,0.133000001311,0.00499999988824,
6,3,0,1,1.0,0.884000003338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,3,1,4,1.0,1.0,0.490999996662,1.0,0.0,22.0440006256,1.06599998474,0.0240000002086,0.00999999977648,
8,3,2,5,1.0,65.0,0.0370000004768,0.119000002742,1.0,0.0,0.0,0.0,0.0,
9,4,0,5,1.0,70.0,0.035000000149,0.163000002503,1.0,0.0,0.0,0.0,0.0,
10,4,1,4,1.0,1.0,1.0,1.0,0.0,22.0440006256,0.837999999523,0.0299999993294,0.00999999977648,
11,5,0,1,1.0,0.917999982834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,5,1,4,1.0,1.0,0.880999982357,1.0,0.0,22.0440006256,1.06599998474,0.0209999997169,0.00499999988824,
13,5,2,5,1.0,67.0,0.0370000004768,0.163000002503,1.0,0.0,0.0,0.0,0.0,
14,6,0,5,1.0,74.0,0.0399999991059,0.163000002503,1.0,0.0,0.0,0.0,0.0,
15,6,1,4,1.0,1.0,1.0,1.0,0.0,22.0440006256,0.837999999523,0.0299999993294,0.00499999988824,
16,7,0,1,1.0,0.884000003338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,7,1,4,1.0,1.0,0.611999988556,0.570999979973,0.0,22.0440006256,1.11099994183,0.0240000002086,0.00999999977648,
18,7,2,5,1.0,56.0,0.0370000004768,0.201000005007,1.0,0.0,0.0,0.0,0.0,
19,8,0,5,1.0,70.0,0.0399999991059,0.163000002503,1.0,0.0,0.0,0.0,0.0,
20,8,1,4,1.0,1.0,1.0,1.0,0.0,24.093000412,0.837999999523,0.130999997258,0.00999999977648,
21,9,0,1,1.0,0.864000022411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,9,1,4,1.0,1.0,0.785000026226,0.577000021935,0.0,22.0440006256,1.11099994183,0.0240000002086,0.00999999977648,
23,9,2,5,1.0,67.0,0.0370000004768,0.135000005364,1.0,0.0,0.0,0.0,0.0,
24,10,0,5,1.0,70.0,0.0370000004768,0.159999996424,1.0,0.0,0.0,0.0,0.0,
25,10,1,4,1.0,1.0,1.0,1.0,0.0,22.0440006256,0.837999999523,0.0299999993294,0.00499999988824,
26,11,0,1,1.0,0.912000000477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,11,1,4,1.0,1.0,0.681999981403,0.796000003815,0.0,22.0440006256,1.10000002384,0.0189999993891,0.00999999977648,
28,11,2,5,1.0,67.0,0.0370000004768,0.158000007272,1.0,0.0,0.0,0.0,0.0,
29,12,0,5,1.0,72.0,0.0399999991059,0.158000007272,1.0,0.0,0.0,0.0,0.0,
30,12,1,4,1.0,1.0,0.991999983788,1.0,0.0,22.2719993591,0.883000016212,0.0329999998212,0.00999999977648,
31,13,0,1,1.0,1.13399994373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,13,1,4,1.0,1.0,0.875999987125,1.0,0.0,22.0440006256,1.11099994183,0.0209999997169,0.00800000037998,
33,13,2,5,1.0,67.0,0.0419999994338,0.159999996424,1.0,0.0,0.0,0.0,0.0,
34,14,0,5,1.0,72.0,0.0419999994338,0.165000006557,1.0,0.0,0.0,0.0,0.0,
35,14,1,4,1.0,1.0,1.0,1.0,0.0,22.0440006256,0.837999999523,0.0260000005364,0.00999999977648,
36,15,0,1,1.0,0.97000002861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37,15,1,4,1.0,1.0,0.785000026226,0.816999971867,0.0,22.0440006256,1.11099994183,0.0209999997169,0.00499999988824,
38,15,2,5,1.0,67.0,0.035000000149,0.119000002742,1.0,0.0,0.0,0.0,0.0,
39,16,0,5,1.0,72.0,0.0399999991059,0.165000006557,1.0,0.0,0.0,0.0,0.0,
40,16,1,4,1.0,1.0,1.0,1.0,0.0,22.0440006256,0.837999999523,0.0280000008643,0.00800000037998,
41,17,0,1,1.0,0.893999993801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
42,17,1,4,1.0,1.0,0.880999982357,1.0,0.0,21.8159999847,1.10000002384,0.0299999993294,0.00999999977648,
43,17,2,5,1.0,65.0,0.035000000149,0.159999996424,1.0,0.0,0.0,0.0,0.0,
44,17,3,3,1.0,7897.5859375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
45,18,0,5,1.0,72.0,0.0439999997616,0.158000007272,1.0,0.0,0.0,0.0,0.0,
46,18,1,4,1.0,1.0,1.0,1.0,0.0,22.2719993591,0.837999999523,0.0260000005364,0.00999999977648,
47,19,0,1,1.0,0.876999974251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
48,19,1,4,1.0,1.0,0.878000020981,1.0,0.0,22.0440006256,1.10000002384,0.0189999993891,0.00999999977648,
49,19,2,5,1.0,67.0,0.0370000004768,0.156000003219,1.0,0.0,0.0,0.0,0.0,
50,20,0,5,1.0,72.0,0.0370000004768,0.159999996424,1.0,0.0,0.0,0.0,0.0,
51,20,1,4,1.0,1.0,0.995000004768,1.0,0.0,22.2719993591,0.837999999523,0.0280000008643,0.00999999977648,
