long,flags,
1,0x0,
2,0x0,
4,0x4,
11,0x0,
12,0x0,
17,0x0,
18,0x0,
19,0x0,
20,0x0,
21,0x0,
22,0x0,
23,0x0,
24,0x0,
25,0x0,
26,0x0,
27,0x0,
28,0x0,
29,0x0,
30,0x0,
31,0x0,
32,0x0,
33,0x0,
34,0x0,
35,0x0,
36,0x0,
37,0x0,
38,0x0,
39,0x0,
40,0x0,
41,0x0,
42,0x0,
43,0x0,
44,0x0,
45,0x0,
46,0x0,
47,0x0,
49,0x0,
50,0x0,
51,0x0,
52,0x0,
54,0x0,
55,0x0,
56,0x0,
57,0x0,
58,0x0,
59,0x0,
60,0x0,
61,0x0,
62,0x0,
63,0x0,
64,0x0,
65,0x0,
66,0x0,
67,0x0,
68,0x0,
72,0x0,
73,0x0,
74,0x0,
75,0x0,
76,0x0,
77,0x0,
78,0x0,
79,0x0,
82,0x0,
83,0x0,
84,0x0,
85,0x0,
86,0x0,
87,0x0,
88,0x0,
89,0x0,
93,0x0,
94,0x0,
95,0x0,
96,0x0,
97,0x0,
98,0x0,
99,0x0,
100,0x0,
101,0x0,
102,0x0,
103,0x0,
104,0x0,
105,0x0,
106,0x0,
107,0x0,
108,0x0,
109,0x0,
132,0x0,
133,0x0,
150,0x0,
170,0x1,
190,0x0,
230,0x0,
250,0x0,
270,0x0,
290,0x0,
310,0x0,
330,0x0,
350,0x0,
351,0x2,
371,0x0,
391,0x0,
411,0x0,
431,0x0,
451,0x0,
471,0x0,
511,0x0,
531,0x0,
551,0x0,
571,0x0,
591,0x0,
611,0x0,
631,0x0,
633,0x0,
634,0x0,
651,0x0,
671,0x0,
672,0x0,
691,0x0,
731,0x0,
751,0x0,
791,0x0,
811,0x0,
831,0x0,
851,0x0,
871,0x0,
891,0x0,
892,0x0,
911,0x0,
931,0x0,
932,0x0,
951,0x0,
971,0x0,
991,0x0,
1011,0x0,
1031,0x0,
1051,0x0,
1071,0x0,
1091,0x0,
1111,0x0,
1131,0x0,
1132,0x0,
1133,0x0,
1134,0x0,
1135,0x0,
1136,0x0,
1137,0x0,
1138,0x0,
1139,0x0,
1140,0x0,
1141,0x0,
1142,0x0,
1143,0x0,
1144,0x0,
1145,0x0,
1146,0x0,
1147,0x0,
1148,0x0,
1149,0x0,
1150,0x0,
1151,0x0,
1152,0x0,
1153,0x0,
1154,0x0,
1155,0x0,
1156,0x0,
1157,0x0,
1158,0x0,
1159,0x0,
1160,0x0,
1161,0x0,
1162,0x0,
1163,0x0,
1164,0x0,
1165,0x0,
1166,0x0,
1167,0x0,
1168,0x0,
1169,0x0,
1170,0x0,
1171,0x0,
1172,0x0,
1173,0x0,
1174,0x0,
1175,0x0,
1176,0x0,
1177,0x0,
1178,0x0,
1179,0x0,
1180,0x0,
1181,0x0,
1182,0x0,
1183,0x0,
1184,0x0,
1185,0x0,
1186,0x0,
1187,0x0,
1188,0x0,
1189,0x0,
1190,0x0,
1191,0x0,
1192,0x0,
1193,0x1,
1194,0x0,
1195,0x0,
1196,0x0,
1197,0x0,
1198,0x0,
1199,0x0,
1200,0x0,
1201,0x0,
1202,0x0,
1203,0x0,
1204,0x0,
1205,0x0,
1206,0x0,
1207,0x0,
1208,0x0,
1209,0x0,
1210,0x0,
1211,0x0,
1212,0x0,
1213,0x0,
1214,0x0,
1215,0x0,
1216,0x0,
1217,0x0,
1218,0x0,
1219,0x0,
1221,0x0,
1222,0x0,
1223,0x0,
1224,0x0,
1225,0x0,
1226,0x0,
1227,0x0,
1228,0x0,
1229,0x0,
1230,0x0,
1231,0x0,
1232,0x0,
1233,0x0,
1234,0x0,
1235,0x0,
1236,0x0,
1237,0x0,
1238,0x0,
1239,0x0,
1240,0x0,
1241,0x0,
1242,0x0,
1243,0x0,
1244,0x0,
1245,0x0,
1246,0x0,
1247,0x0,
1248,0x0,
1249,0x0,
1250,0x0,
1251,0x0,
1253,0x0,
