long,byte,byte,byte,byte,byte,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,
1,133,235,49,64,0,171900928,4006871,-398491648,738197507,16777217,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
2,133,235,49,64,0,1866366976,-516259054,-801123206,-939524089,704643072,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
3,133,235,49,64,0,171868160,3941335,-390070272,-939524093,1375731712,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
4,133,235,49,64,0,171868160,3941335,-390070272,-939524093,-2080374784,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
5,133,235,49,64,0,171868160,3941335,-398458880,-939524093,-1409286144,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
6,133,235,49,64,0,-331448320,4012113,-398458880,-939524093,-738197504,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
7,133,235,49,64,0,-1891696640,3995074,-398491648,-939524093,0,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
8,133,235,49,64,0,171868160,3941335,-390070272,-939524093,-1409286144,1140850688,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12697600,4227072,-12615680,67108863,0,0,1073741824,0,
9,133,235,49,64,0,171868160,3941335,-398458880,-939524093,-2080374784,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
10,133,235,49,64,0,171868160,3941335,-398458880,-939524093,771751936,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
