long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,"Anvil",,,,,,,,,,,,,,,,0xFF01FE,
2,"Loom",,,,,,,,,,,,,,,,0xFF01FE,
3,"Forge",,,,,,,,,,,,,,,,0xFF01FE,
4,"Cooking Fire",,,,,,,,,,,,,,,,0xFF01FE,
5,"Shards of Myzrael",,,,,,,,,,,,,,,,0xFF01FE,
6,"Winterhoof Water Well",,,,,,,,,,,,,,,,0xFF01FE,
7,"Thunderhorn Water Well",,,,,,,,,,,,,,,,0xFF01FE,
8,"Wildmane Water Well",,,,,,,,,,,,,,,,0xFF01FE,
9,"Tribal Fire",,,,,,,,,,,,,,,,0xFF01FE,
10,"Machine Shop",,,,,,,,,,,,,,,,0xFF01FE,
11,"Shadowglen Moonwell",,,,,,,,,,,,,,,,0xFF01FE,
12,"Starbreeze Village Moonwell",,,,,,,,,,,,,,,,0xFF01FE,
13,"Pools of Arlithrien Moonwell",,,,,,,,,,,,,,,,0xFF01FE,
14,"Oracle Glade Moonwell",,,,,,,,,,,,,,,,0xFF01FE,
15,"Venture Co. Airport",,,,,,,,,,,,,,,,0xFF01FE,
16,"Venture Co. Wagon (Blue)",,,,,,,,,,,,,,,,0xFF01FE,
17,"Venture Co. Wagon (Red)",,,,,,,,,,,,,,,,0xFF01FE,
18,"NG-5 Explosives (Red)",,,,,,,,,,,,,,,,0xFF01FE,
19,"NG-5 Explosives (Blue)",,,,,,,,,,,,,,,,0xFF01FE,
20,"Flame of Uzel",,,,,,,,,,,,,,,,0xFF01FE,
21,"Ashenvale Moonwell",,,,,,,,,,,,,,,,0xFF01FE,
22,"Seaworn Altar",,,,,,,,,,,,,,,,0xFF01FE,
23,"Nearby Tubers",,,,,,,,,,,,,,,,0xFF01FE,
43,"Undercity Summoning Circle",,,,,,,,,,,,,,,,0xFF01FE,
63,"Shaman Shrine",,,,,,,,,,,,,,,,0xFF01FE,
83,"Stormwind Summoning Circle",,,,,,,,,,,,,,,,0xFF01FE,
103,"Barrens Summoning Circle",,,,,,,,,,,,,,,,0xFF01FE,
