long,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,long,long,long,long,long,long,long,long,long,long,
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,67108864,0,0,0,0,0,0,
28,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131584,50462720,0,0,0,0,0,16777216,0,
30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,196608,0,0,0,0,0,0,0,
32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,196608,0,0,0,0,0,0,0,
33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,50331648,0,0,0,0,0,0,
34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,262144,0,0,0,0,0,0,0,
35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,83886080,0,0,0,0,0,0,
36,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84215040,0,33554432,33554432,33554432,0,0,16777216,1,
42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,50331648,0,0,0,0,0,0,
43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,196608,0,0,0,0,0,0,0,
61,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
62,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
63,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
64,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84215040,0,33554432,33554432,33554432,0,0,16777216,1,
65,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84215040,0,33554432,33554432,33554432,0,0,16777216,1,
66,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84215040,0,33554432,33554432,33554432,0,0,16777216,1,
67,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84215040,0,33554432,33554432,33554432,0,0,16777216,1,
81,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,33554432,0,0,0,0,0,0,
121,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
122,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,50331648,0,0,0,0,0,0,
141,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
142,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,33554432,0,0,0,0,0,0,
143,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84215040,0,16777216,16777216,16777216,0,0,16777216,1,
144,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,50331648,0,0,0,0,0,0,
145,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
146,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
147,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84215040,0,16777216,16777216,16777216,0,0,16777216,1,
148,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,50331648,0,0,0,0,0,0,
149,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84215040,0,16777216,16777216,16777216,0,0,16777216,1,
150,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
151,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84215040,0,16777216,16777216,16777216,0,0,16777216,1,
152,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
153,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
154,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
155,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
156,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
157,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
158,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
159,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84215040,0,16777216,16777216,16777216,0,0,16777216,1,
161,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,33554432,0,0,0,0,0,0,
181,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
182,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
188,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
189,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
190,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,50331648,0,0,0,0,0,0,
191,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,
192,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84215040,0,16777216,16777216,16777216,0,0,16777216,1,
193,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84215040,0,16777216,16777216,16777216,0,0,16777216,1,
194,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84215040,0,16777216,16777216,16777216,0,0,16777216,1,
