long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,"charmed",,,,,,,,,,,,,,,,0xFF01FE,
2,"disoriented",,,,,,,,,,,,,,,,0xFF01FE,
3,"disarmed",,,,,,,,,,,,,,,,0xFF01FE,
4,"distracted",,,,,,,,,,,,,,,,0xFF01FE,
5,"fleeing",,,,,,,,,,,,,,,,0xFF01FE,
6,"gripped",,,,,,,,,,,,,,,,0xFF01FE,
7,"rooted",,,,,,,,,,,,,,,,0xFF01FE,
8,"slowed",,,,,,,,,,,,,,,,0xFF01FE,
9,"silenced",,,,,,,,,,,,,,,,0xFF01FE,
10,"asleep",,,,,,,,,,,,,,,,0xFF01FE,
11,"snared",,,,,,,,,,,,,,,,0xFF01FE,
12,"stunned",,,,,,,,,,,,,,,,0xFF01FE,
13,"frozen",,,,,,,,,,,,,,,,0xFF01FE,
14,"incapacitated",,,,,,,,,,,,,,,,0xFF01FE,
15,"bleeding",,,,,,,,,,,,,,,,0xFF01FE,
16,"healing",,,,,,,,,,,,,,,,0xFF01FE,
17,"polymorphed",,,,,,,,,,,,,,,,0xFF01FE,
18,"banished",,,,,,,,,,,,,,,,0xFF01FE,
19,"shielded",,,,,,,,,,,,,,,,0xFF01FE,
20,"shackled",,,,,,,,,,,,,,,,0xFF01FE,
21,"mounted",,,,,,,,,,,,,,,,0xFF01FE,
22,"infected",,,,,,,,,,,,,,,,0xFF01FE,
23,"turned",,,,,,,,,,,,,,,,0xFF01FE,
24,"horrified",,,,,,,,,,,,,,,,0xFF01FE,
25,"invulnerable",,,,,,,,,,,,,,,,0xFF01FE,
26,"interrupted",,,,,,,,,,,,,,,,0xFF01FE,
27,"dazed",,,,,,,,,,,,,,,,0xFF01FE,
28,"discovery",,,,,,,,,,,,,,,,0xFF01FE,
29,"invulnerable",,,,,,,,,,,,,,,,0xFF01FE,
30,"sapped",,,,,,,,,,,,,,,,0xFF01FE,
31,"enraged",,,,,,,,,,,,,,,,0xFF01FE,
