long,float,None,float,
7,2.0,,2.0,
8,5.0,,5.0,
9,20.0,,20.0,
10,30.0,,30.0,
11,45.0,,45.0,
12,100.0,,100.0,
13,10.0,,10.0,
14,8.0,,8.0,
15,3.0,,3.0,
16,1.0,,1.0,
17,13.0,,13.0,
18,15.0,,15.0,
19,18.0,,18.0,
20,25.0,,25.0,
21,35.0,,35.0,
22,200.0,,200.0,
23,40.0,,40.0,
24,65.0,,65.0,
25,70.0,,70.0,
26,4.0,,4.0,
27,50.0,,50.0,
28,50000.0,,50000.0,
29,6.0,,6.0,
30,500.0,,500.0,
31,80.0,,80.0,
32,12.0,,12.0,
33,99.0,,99.0,
35,55.0,,55.0,
36,0.0,,0.0,
37,7.0,,7.0,
38,21.0,,21.0,
39,34.0,,34.0,
40,9.0,,9.0,
41,150.0,,150.0,
42,11.0,,11.0,
43,16.0,,16.0,
44,0.5,,0.5,
45,10.0,,10.0,
46,5.0,,10.0,
47,15.0,,15.0,
48,60.0,,60.0,
49,90.0,,90.0,
50,15.0,,15.0,
51,60.0,,60.0,
52,5.0,,5.0,
53,60.0,,60.0,
54,50000.0,,50000.0,
55,130.0,,130.0,
56,38.0,,38.0,
57,45.0,,45.0,
58,50000.0,,50000.0,
59,32.0,,32.0,
60,44.0,,44.0,
61,14.0,,14.0,
62,47.0,,47.0,
63,23.0,,23.0,
64,3.5,,3.5,
65,80.0,,80.0,
