long,flags,flags,long,long,
2,0x1,0x0,0,0,
3,0x1,0x1,2,0,
21,0x5,0x4,3,0,
22,0x1,0x2,3,0,
23,0xC,0xC,12,0,
24,0xC,0xC,12,0,
25,0xC,0xC,12,0,
26,0xC,0xC,12,0,
27,0xC,0xC,12,0,
28,0xC,0xC,12,0,
41,0x0,0x1,0,0,
61,0x2,0x0,0,0,
62,0x0,0x0,1,0,
63,0x0,0x0,2,0,
64,0x0,0x1,0,0,
65,0x0,0x2,0,0,
66,0x1,0x1,1,0,
81,0x1,0x1,1,150,
101,0x1,0x1,1,150,
121,0x1,0x0,0,0,
161,0xC,0xC,12,0,
162,0xC,0xC,12,0,
181,0xC,0xC,12,0,
182,0xC,0xC,12,0,
183,0xC,0xC,12,0,
201,0xC,0xC,12,0,
221,0x0,0x1,0,100,
222,0x0,0x1,1,150,
241,0x0,0x0,1,100,
261,0x0,0x0,1,100,
262,0x1,0x0,0,0,
263,0x0,0x0,0,0,
281,0x0,0x1,0,100,
301,0x1,0x0,0,100,
321,0x0,0x1,0,0,
341,0x0,0x0,0,0,
361,0x1,0x1,0,0,
381,0x0,0x0,0,1000,
401,0x1,0x0,0,10,
421,0x0,0x0,1,100,
422,0x0,0x0,0,0,
441,0x0,0x0,0,0,
442,0x0,0x0,0,0,
461,0x1,0x0,0,0,
481,0x0,0x0,1,0,
482,0x0,0x0,1,0,
483,0x0,0x1,0,0,
484,0x1,0x0,0,0,
501,0x0,0x0,0,100,
521,0x0,0x0,0,0,
522,0x0,0x0,0,0,
523,0x1,0x0,0,0,
541,0x0,0x0,0,0,
542,0x0,0x0,1,100,
561,0x0,0x0,1,0,
581,0x1,0x0,0,0,
582,0x0,0x0,0,0,
583,0x1,0x0,0,0,
584,0x0,0x0,0,100,
585,0x0,0x0,0,0,
586,0x0,0x0,0,0,
587,0x0,0x1,1,150,
601,0x0,0x0,0,0,
621,0x0,0x0,0,0,
622,0x0,0x0,0,0,
641,0x1,0x0,1,100,
642,0x0,0x0,0,0,
643,0x0,0x0,0,0,
644,0x0,0x0,1,0,
645,0x0,0x1,1,0,
646,0x0,0x0,0,0,
647,0x0,0x1,1,150,
648,0x0,0x0,1,100,
649,0x0,0x0,1,0,
650,0x0,0x0,1,0,
651,0x1,0x2,0,0,
652,0x0,0x1,1,100,
653,0x2,0x0,0,0,
654,0x0,0x1,0,100,
655,0x0,0x0,0,0,
656,0x0,0x1,0,0,
657,0x0,0x0,0,0,
661,0x0,0x0,0,0,
662,0x0,0x0,0,0,
663,0x0,0x0,0,0,
664,0x0,0x0,0,0,
665,0x1,0x0,1,100,
666,0x1,0x0,1,100,
667,0x0,0x0,0,0,
668,0x0,0x0,0,0,
669,0x0,0x0,0,0,
670,0x0,0x1,1,0,
681,0x0,0x0,0,0,
682,0x0,0x0,0,0,
683,0x0,0x0,0,0,
684,0x0,0x0,0,100,
685,0x0,0x0,0,100,
686,0x0,0x0,0,0,
687,0x0,0x0,0,0,
688,0x0,0x0,0,0,
689,0x0,0x0,0,0,
690,0x0,0x1,0,0,
691,0x0,0x1,0,0,
692,0x0,0x1,0,0,
693,0x0,0x1,0,0,
701,0x1,0x2,0,0,
721,0x0,0x0,0,100,
741,0x0,0x0,0,0,
742,0x0,0x0,0,0,
743,0x0,0x0,0,0,
761,0x0,0x0,0,0,
762,0x0,0x0,0,0,
763,0x0,0x0,0,0,
764,0x0,0x0,0,0,
765,0x0,0x0,1,100,
766,0x0,0x0,1,100,
767,0x0,0x0,1,100,
768,0x0,0x0,1,100,
769,0x0,0x0,1,100,
770,0x0,0x0,1,100,
771,0x0,0x0,1,100,
772,0x1,0x0,0,10,
773,0x1,0x0,0,10,
774,0x1,0x0,0,10,
775,0x1,0x0,0,10,
776,0x0,0x1,0,100,
777,0x0,0x1,0,100,
778,0x0,0x1,0,100,
779,0x0,0x1,0,100,
780,0x0,0x1,0,100,
781,0x0,0x1,1,150,
782,0x0,0x0,0,0,
783,0x1,0x0,0,100,
784,0x1,0x0,0,100,
785,0x1,0x0,0,100,
786,0x1,0x0,0,100,
787,0x1,0x0,0,100,
788,0x0,0x1,0,100,
789,0x0,0x1,0,100,
790,0x0,0x0,0,0,
791,0x1,0x1,1,150,
792,0x1,0x1,1,150,
793,0x1,0x1,1,150,
794,0x1,0x0,0,0,
795,0x1,0x0,0,0,
796,0x1,0x0,0,0,
797,0x0,0x1,1,150,
798,0x0,0x1,1,150,
799,0x0,0x0,0,0,
801,0x0,0x0,1,0,
802,0x0,0x0,1,0,
803,0x0,0x0,0,0,
821,0x0,0x0,0,100,
822,0x0,0x0,0,100,
823,0x0,0x0,0,0,
824,0x0,0x0,0,0,
825,0x0,0x1,0,0,
826,0x0,0x0,1,0,
827,0x1,0x1,0,100,
828,0x1,0x1,0,100,
829,0x1,0x1,0,100,
830,0x0,0x0,0,0,
831,0x0,0x0,0,0,
832,0x1,0x1,0,100,
841,0x1,0x0,0,0,
842,0x1,0x0,0,0,
843,0x1,0x0,0,0,
844,0x1,0x0,0,100,
845,0x0,0x0,0,0,
846,0x0,0x0,0,0,
847,0x0,0x0,0,0,
848,0x0,0x0,0,0,
849,0x0,0x0,0,0,
850,0x0,0x0,0,0,
851,0x1,0x0,0,100,
852,0x0,0x1,0,0,
853,0x0,0x0,0,0,
854,0x0,0x1,0,0,
861,0x0,0x0,1,0,
862,0x0,0x0,1,0,
863,0x0,0x0,1,0,
864,0x0,0x0,1,0,
865,0x0,0x0,0,0,
866,0x0,0x1,1,150,
867,0x0,0x1,1,150,
868,0x0,0x1,1,150,
869,0x0,0x1,1,150,
870,0x0,0x0,0,100,
871,0x0,0x0,0,100,
872,0x0,0x0,0,100,
873,0x0,0x0,0,100,
874,0x0,0x1,1,150,
875,0x0,0x1,1,150,
876,0x0,0x1,1,150,
877,0x1,0x0,0,100,
878,0x1,0x0,0,100,
879,0x1,0x0,0,100,
880,0x1,0x0,0,100,
881,0x0,0x0,0,0,
882,0x0,0x0,0,0,
883,0x0,0x0,0,0,
884,0x1,0x1,0,100,
901,0x0,0x0,0,0,
921,0x0,0x0,1,0,
922,0x0,0x0,1,0,
923,0x0,0x0,1,0,
924,0x0,0x0,1,0,
925,0x0,0x0,1,0,
926,0x0,0x0,1,0,
927,0x0,0x0,1,100,
928,0x1,0x1,0,100,
929,0x1,0x0,0,100,
930,0x0,0x0,0,0,
941,0x0,0x0,0,0,
961,0x0,0x0,0,0,
962,0x0,0x0,0,100,
963,0x0,0x0,0,0,
964,0x0,0x0,0,0,
981,0x0,0x0,0,0,
982,0x0,0x0,0,0,
1001,0x0,0x0,0,0,
1002,0x0,0x0,0,0,
1003,0x0,0x1,0,100,
1021,0x0,0x0,0,0,
1022,0x0,0x0,0,0,
1023,0x0,0x0,0,0,
1041,0x0,0x0,0,0,
1042,0x0,0x0,1,100,
1043,0x0,0x0,0,0,
1044,0x0,0x0,1,100,
1045,0x0,0x0,0,0,
1046,0x0,0x0,0,0,
1047,0x0,0x0,0,0,
1048,0x0,0x0,0,0,
1049,0x0,0x0,0,0,
1050,0x0,0x0,0,0,
1051,0x0,0x0,1,100,
1052,0x0,0x0,0,0,
1053,0x0,0x0,0,0,
1054,0x0,0x0,0,0,
1055,0x0,0x0,0,0,
1061,0x0,0x0,0,0,
1081,0x0,0x0,0,100,
1101,0x0,0x1,0,100,
1102,0x1,0x1,0,100,
1103,0x0,0x0,0,0,
1121,0x1,0x0,0,0,
1122,0x0,0x0,0,0,
1142,0x1,0x0,0,100,
1143,0x0,0x0,0,0,
1144,0x0,0x0,0,250,
1145,0x0,0x1,1,150,
1146,0x0,0x0,0,0,
1147,0x0,0x0,0,0,
1162,0x0,0x0,0,0,
1163,0x0,0x0,0,0,
1164,0x0,0x0,0,0,
1165,0x0,0x0,0,0,
1166,0x0,0x0,0,100,
1167,0x0,0x0,0,100,
1168,0x0,0x0,0,0,
1169,0x1,0x0,0,100,
1170,0x1,0x0,0,100,
1171,0x1,0x0,0,100,
1172,0x1,0x0,0,100,
1173,0x1,0x0,0,100,
1174,0x0,0x1,1,150,
1175,0x0,0x0,0,100,
1176,0x0,0x1,1,150,
1177,0x0,0x1,1,150,
1178,0x0,0x1,0,100,
1179,0x0,0x1,0,100,
1182,0x0,0x1,0,100,
1183,0x0,0x1,0,100,
1184,0x0,0x0,0,0,
1185,0x0,0x0,0,0,
1186,0x0,0x0,0,0,
1187,0x0,0x0,0,100,
1188,0x0,0x0,0,0,
1189,0x0,0x0,0,100,
1202,0x0,0x0,1,100,
1203,0x1,0x0,0,100,
1204,0x0,0x0,1,0,
1205,0x0,0x0,0,0,
