long,long,float,float,float,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,
1,0,-8888.98046875,-0.540000021458,94.3899993896,"Northshire Abbey",,,,,,,,,,,,,,,,0xFF01FE,308,0,
2,0,-8840.55957031,489.700012207,109.61000061,"Stormwind, Elwynn",,,,,,,,,,,,,,,,0xFF01FE,0,541,
3,0,16391.8105469,16341.2099609,69.4400024414,"Programmer Isle",,,,,,,,,,,,,,,,0xFF01FE,308,0,
4,0,-10629.2900391,1036.94995117,34.0200004578,"Sentinel Hill, Westfall",,,,,,,,,,,,,,,,0xFF01FE,0,541,
5,0,-9429.09960938,-2231.39990234,68.6500015259,"Lakeshire, Redridge",,,,,,,,,,,,,,,,0xFF01FE,0,541,
6,0,-4821.77978516,-1155.43994141,502.209991455,"Ironforge, Dun Morogh",,,,,,,,,,,,,,,,0xFF01FE,0,541,
7,0,-3792.26000977,-783.289978027,9.06000041962,"Menethil Harbor, Wetlands",,,,,,,,,,,,,,,,0xFF01FE,0,541,
8,0,-5421.91015625,-2930.01000977,347.25,"Thelsamar, Loch Modan",,,,,,,,,,,,,,,,0xFF01FE,0,541,
9,0,-14271.7695313,299.869995117,31.0900001526,"Booty Bay, Stranglethorn",,,,,,,,,,,,,,,,0xFF01FE,541,0,
10,0,478.859985352,1536.58996582,131.320007324,"The Sepulcher, Silverpine Forest",,,,,,,,,,,,,,,,0xFF01FE,3574,0,
11,0,1568.61999512,267.970001221,-43.0999984741,"Undercity, Tirisfal",,,,,,,,,,,,,,,,0xFF01FE,3574,0,
12,0,-10515.4599609,-1261.65002441,41.3400001526,"Darkshire, Duskwood",,,,,,,,,,,,,,,,0xFF01FE,0,541,
13,0,-0.0599999986589,-859.909973145,58.8300018311,"Tarren Mill, Hillsbrad",,,,,,,,,,,,,,,,0xFF01FE,3574,0,
14,0,-711.479980469,-515.479980469,26.1100006104,"Southshore, Hillsbrad",,,,,,,,,,,,,,,,0xFF01FE,0,541,
15,0,2253.39990234,-5344.89990234,83.3799972534,"Eastern Plaguelands",,,,,,,,,,,,,,,,0xFF01FE,541,0,
16,0,-1240.5300293,-2515.11010742,22.1599998474,"Refuge Pointe, Arathi",,,,,,,,,,,,,,,,0xFF01FE,0,541,
17,0,-916.289978027,-3496.88989258,70.4499969482,"Hammerfall, Arathi",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
