long,long,long,long,float,float,float,flags,long,long,long,
35,6,0,0,-8851.65820313,498.551757813,111.256019592,0x0,0,0,0,
36,6,1,0,-8853.76660156,496.569763184,111.515029907,0x0,0,0,0,
37,6,2,0,-8869.40820313,486.372497559,116.432891846,0x0,0,0,0,
38,6,3,0,-8937.97460938,447.695739746,122.100639343,0x0,0,0,0,
39,6,4,0,-9025.54296875,501.720214844,122.100639343,0x0,0,0,0,
40,6,5,0,-9109.89453125,473.546661377,148.989227295,0x0,0,0,0,
41,6,6,0,-9247.45507813,381.143951416,152.142623901,0x0,0,0,0,
42,6,7,0,-9328.74707031,433.82901001,130.615203857,0x0,0,0,0,
43,6,8,0,-9380.046875,432.532562256,78.0401916504,0x0,0,0,0,
44,6,9,0,-9451.37988281,386.520172119,56.9287109375,0x0,0,0,0,
45,6,10,0,-9524.62792969,368.067810059,53.4300689697,0x0,0,0,0,
46,6,11,0,-9601.1328125,407.540039063,52.4762535095,0x0,0,0,0,
47,6,12,0,-9686.16503906,469.80090332,40.7120285034,0x0,0,0,0,
48,6,13,0,-9734.62207031,552.163879395,39.3231430054,0x0,0,0,0,
2918,6,14,0,-9742.76464844,621.352416992,37.9248428345,0x0,0,0,0,
2919,6,15,0,-9790.90820313,641.051208496,44.3746070862,0x0,0,0,0,
2920,6,16,0,-9847.7421875,632.785461426,44.1486968994,0x0,0,0,0,
2921,6,17,0,-9941.953125,634.823120117,44.3291358948,0x0,0,0,0,
2922,6,18,0,-10000.4550781,691.705871582,38.2497253418,0x0,0,0,0,
2923,6,19,0,-10034.6445313,787.493347168,31.2976112366,0x0,0,0,0,
2924,6,20,0,-10054.4394531,872.945068359,42.682510376,0x0,0,0,0,
2925,6,21,0,-10139.359375,931.711608887,46.9358100891,0x0,0,0,0,
2926,6,22,0,-10255.1123047,986.271362305,39.5682144165,0x0,0,0,0,
2927,6,23,0,-10310.5839844,1070.44714355,51.8513145447,0x0,0,0,0,
2928,6,24,0,-10364.2509766,1112.39807129,43.3154983521,0x0,0,0,0,
2929,6,25,0,-10489.6533203,1100.47619629,59.4534378052,0x0,0,0,0,
2930,6,26,0,-10588.3193359,1075.87902832,47.0261421204,0x0,0,0,0,
2931,6,27,0,-10629.0654297,1039.44555664,37.954334259,0x0,0,0,0,
68,7,0,0,-10628.5390625,1040.06896973,35.0941467285,0x0,0,0,0,
69,7,1,0,-10627.9238281,1043.55322266,35.3190574646,0x0,0,0,0,
70,7,2,0,-10624.3095703,1055.37097168,37.6533660889,0x0,0,0,0,
71,7,3,0,-10609.9648438,1097.77819824,43.0528297424,0x0,0,0,0,
72,7,4,0,-10504.4873047,1142.77502441,52.0925369263,0x0,0,0,0,
73,7,5,0,-10424.1699219,1068.10852051,58.9752197266,0x0,0,0,0,
74,7,6,0,-10308.5458984,1046.85412598,58.3277130127,0x0,0,0,0,
75,7,7,0,-10210.65625,931.045043945,58.4195289612,0x0,0,0,0,
76,7,8,0,-10184.7080078,811.825561523,43.8141136169,0x0,0,0,0,
77,7,9,0,-10197.8232422,634.420715332,30.0767612457,0x0,0,0,0,
78,7,10,0,-10174.3359375,554.780517578,29.1628284454,0x0,0,0,0,
79,7,11,0,-10100.2519531,513.253234863,32.3251838684,0x0,0,0,0,
80,7,12,0,-9946.88671875,506.598754883,37.318862915,0x0,0,0,0,
81,7,13,0,-9881.44824219,524.318603516,37.4744987488,0x0,0,0,0,
82,7,14,0,-9814.70507813,523.479370117,37.5754928589,0x0,0,0,0,
83,7,15,0,-9756.67675781,540.989501953,43.8901405334,0x0,0,0,0,
84,7,16,0,-9709.98925781,517.121582031,45.5835914612,0x0,0,0,0,
85,7,17,0,-9690.50585938,464.964477539,40.5281677246,0x0,0,0,0,
86,7,18,0,-9599.50292969,406.553283691,44.5424804688,0x0,0,0,0,
87,7,19,0,-9534.18261719,366.775115967,60.3691673279,0x0,0,0,0,
88,7,20,0,-9466.7734375,373.824066162,60.3194999695,0x0,0,0,0,
89,7,21,0,-9380.50195313,433.038848877,76.5603179932,0x0,0,0,0,
90,7,22,0,-9279.55957031,422.025115967,159.305541992,0x0,0,0,0,
91,7,23,0,-9127.24804688,269.238128662,162.683319092,0x0,0,0,0,
92,7,24,0,-9039.43261719,381.596191406,145.877761841,0x0,0,0,0,
2934,7,25,0,-8918.27539063,423.101959229,132.604904175,0x0,0,0,0,
2935,7,26,0,-8833.1640625,479.762542725,112.095619202,0x0,0,0,0,
119,8,0,0,-9433.9296875,-2238.75878906,70.6800537109,0x0,0,0,0,
120,8,1,0,-9436.16210938,-2240.10742188,71.4790420532,0x0,0,0,0,
121,8,2,0,-9445.47558594,-2244.0324707,74.4659042358,0x0,0,0,0,
122,8,3,0,-9471.32421875,-2250.82250977,81.7127380371,0x0,0,0,0,
123,8,4,0,-9507.94824219,-2244.83911133,97.6711273193,0x0,0,0,0,
124,8,5,0,-9543.87109375,-2197.87060547,101.948509216,0x0,0,0,0,
125,8,6,0,-9606.37890625,-2086.05395508,77.6374435425,0x0,0,0,0,
126,8,7,0,-9555.00097656,-2000.30334473,80.1166534424,0x0,0,0,0,
127,8,8,0,-9632.94726563,-1875.71789551,84.1959915161,0x0,0,0,0,
128,8,9,0,-9625.08300781,-1769.78625488,109.455429077,0x0,0,0,0,
129,8,10,0,-9693.0078125,-1586.18725586,131.617752075,0x0,0,0,0,
130,8,11,0,-9805.71777344,-1424.02392578,111.909156799,0x0,0,0,0,
131,8,12,0,-9674.99804688,-1306.91308594,118.971862793,0x0,0,0,0,
132,8,13,0,-9575.31152344,-1177.97302246,128.801300049,0x0,0,0,0,
133,8,14,0,-9488.23339844,-943.348754883,146.160751343,0x0,0,0,0,
134,8,15,0,-9449.52929688,-726.403564453,154.392471313,0x0,0,0,0,
135,8,16,0,-9487.8203125,-427.299530029,135.64604187,0x0,0,0,0,
136,8,17,0,-9493.37207031,-158.436416626,146.074417114,0x0,0,0,0,
137,8,18,0,-9241.61621094,3.94900202751,173.421585083,0x0,0,0,0,
138,8,19,0,-9133.21972656,270.787384033,161.11605835,0x0,0,0,0,
2937,8,20,0,-9040.94726563,382.200408936,155.427200317,0x0,0,0,0,
2938,8,21,0,-8917.18066406,414.916351318,134.124298096,0x0,0,0,0,
2939,8,22,0,-8834.74609375,478.635894775,113.225723267,0x0,0,0,0,
176,9,0,0,-8851.02929688,497.572052002,111.341926575,0x0,0,0,0,
177,9,1,0,-8853.04394531,495.963775635,111.347190857,0x0,0,0,0,
178,9,2,0,-8870.23925781,483.143554688,115.773933411,0x0,0,0,0,
179,9,3,0,-8923.74316406,449.364196777,129.387634277,0x0,0,0,0,
180,9,4,0,-9035.20410156,504.112213135,138.089324951,0x0,0,0,0,
181,9,5,0,-9109.23144531,468.975646973,144.206542969,0x0,0,0,0,
182,9,6,0,-9189.16796875,411.430999756,162.580596924,0x0,0,0,0,
183,9,7,0,-9210.60742188,311.571136475,95.0350418091,0x0,0,0,0,
184,9,8,0,-9258.30078125,242.520996094,79.0536117554,0x0,0,0,0,
185,9,9,0,-9304.22363281,202.578933716,76.1368179321,0x0,0,0,0,
186,9,10,0,-9419.42675781,86.8537902832,67.6369247437,0x0,0,0,0,
187,9,11,0,-9494.24023438,53.9661445618,64.3050308228,0x0,0,0,0,
188,9,12,0,-9544.91015625,-53.5205078125,64.7303771973,0x0,0,0,0,
189,9,13,0,-9550.93164063,-130.857421875,62.6777877808,0x0,0,0,0,
2888,9,14,0,-9578.58105469,-215.267684937,67.1476821899,0x0,0,0,0,
2889,9,15,0,-9619.0625,-306.642150879,65.3711395264,0x0,0,0,0,
2890,9,16,0,-9614.76660156,-418.212463379,65.5120544434,0x0,0,0,0,
2891,9,17,0,-9588.64550781,-480.522460938,65.7327880859,0x0,0,0,0,
2892,9,18,0,-9617.51269531,-559.991455078,62.4463577271,0x0,0,0,0,
2893,9,19,0,-9631.18847656,-641.294067383,54.7627639771,0x0,0,0,0,
2894,9,20,0,-9656.27539063,-742.037414551,52.5753707886,0x0,0,0,0,
