long,long,long,float,float,float,long,
86,2074,0,0.0,0.0,0.0,0,
87,2074,1033,0.0,10.0870380402,-1.10000000859e-005,0,
88,2074,1767,0.0,16.7490234375,0.528741002083,0,
89,2074,2500,0.0,24.7452220917,1.56537997723,0,
90,2074,3333,0.0,0.0,0.0,0,
135,2093,0,0.0,0.0,0.0,0,
136,2093,4400,0.0,0.0,66.7349624634,0,
137,2093,6167,0.0,0.0,66.7349624634,0,
138,2093,9967,0.0,0.0,0.0,0,
139,2093,11933,0.0,0.0,0.0,0,
165,2565,0,0.0,0.0,0.0,0,
166,2565,1333,-10.0870380402,0.0,-1.10000000859e-005,0,
167,2565,2800,-16.7490234375,0.0,0.528741002083,0,
168,2565,4233,-24.7452220917,0.0,1.56537997723,0,
169,2565,6633,0.0,0.0,0.0,0,
42758,4170,0,0.0,0.0,0.0,164,
42759,4170,5000,0.0,0.0,0.0,162,
42760,4170,6100,1.99999999495e-006,-1.99999999495e-006,-1.75478601456,162,
42761,4170,6933,4.99999987369e-006,-4.99999987369e-006,-5.17665576935,162,
42762,4170,12867,1.99999999495e-006,-1.99999999495e-006,-56.8112945557,162,
42763,4170,13833,1.99999999495e-006,-1.99999999495e-006,-59.8460006714,162,
42764,4170,15000,1.99999999495e-006,-1.99999999495e-006,-61.2443161011,164,
42765,4170,20000,1.99999999495e-006,-1.99999999495e-006,-61.2443161011,162,
42766,4170,21333,0.0,0.0,-59.8332061768,162,
42767,4170,22233,0.0,0.0,-56.7352294922,162,
42768,4170,28133,0.0,0.0,-5.2474899292,162,
42769,4170,28800,0.0,0.0,-1.5850379467,162,
42770,4170,30033,0.0,0.0,0.0,162,
42771,4171,0,0.0,0.0,0.0,164,
42772,4171,5000,0.0,0.0,0.0,162,
42773,4171,5900,0.0,0.0,1.20113801956,162,
42774,4171,6667,0.0,0.0,4.69025278091,162,
42775,4171,10567,0.0,3.00000010611e-006,32.5509223938,162,
42776,4171,13100,0.0,3.00000010611e-006,53.4675178528,162,
42777,4171,14067,0.0,3.00000010611e-006,59.5848121643,162,
42778,4171,15000,0.0,3.00000010611e-006,61.4981269836,164,
42779,4171,20000,0.0,3.00000010611e-006,61.4981269836,162,
42780,4171,21000,0.0,3.00000010611e-006,59.5492973328,162,
42781,4171,21800,0.0,3.00000010611e-006,54.2732315063,162,
42782,4171,25267,0.0,3.00000010611e-006,29.1091098785,162,
42783,4171,27933,0.0,0.0,8.59119319916,162,
42784,4171,28967,0.0,0.0,1.96855294704,162,
42785,4171,30000,0.0,0.0,0.0,162,
227,4172,0,0.0,0.0,0.0,0,
228,4172,5000,0.0,0.0,0.0,0,
229,4172,6100,1.99999999495e-006,-1.99999999495e-006,-1.75478601456,0,
