long,flags,long,float,float,float,float,float,float,float,float,float,float,long,long,long,long,long,long,float,float,float,float,float,float,float,long,long,long,float,float,float,long,long,long,long,long,long,long,float,float,flags,long,long,long,flags,float,float,None,float,float,float,float,float,float,float,float,float,
121,0x2010417,0,0.0,0.0,-0.379999995232,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,102,128,123,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
141,0x2000002,1,-0.15000000596,-0.300000011921,0.25,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,96,97,97,97,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
201,0x2010011,2,0.0,0.300000011921,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,102,128,123,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
202,0x2000007,5,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,97,97,97,97,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
203,0x2008009,2,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,102,128,123,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
221,0x62108A08,2,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,102,128,123,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,1,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
241,0x200800F,3,0.0,0.0,-1.5,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,14,14,14,14,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
261,0x62110813,21,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,102,128,123,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,1,0x0,0.0,0.0,,0.0,0.0,0.0,1.14999997616,0.0,0.0,0.0,0.0,0.0,
281,0x2008289,2,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,102,128,123,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
305,0x4711280B,-1,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.600000023842,1.0,1.5,4.0,-1,-1,-1,5,-1,-1,0.0,7.0,19.2900009155,0.600000023842,1.20000004768,1.5,4.0,-1,-1,-1,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
341,0x4200880B,21,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,91,128,123,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
365,0x6210880F,13,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,91,128,123,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,1,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
366,0x2000003,14,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,91,128,123,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
367,0x2000003,15,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,91,128,123,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
368,0x2000003,16,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,91,128,123,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
381,0x210806B,20,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,216,-1,18,0.5,7.0,19.2900009155,0.0,1.0,0.0,4.0,218,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
382,0x210806B,19,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,217,217,217,0.5,7.0,19.2900009155,0.0,1.0,0.0,4.0,219,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
383,0x210806B,16,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,216,216,216,0.5,7.0,19.2900009155,0.0,1.0,0.0,4.0,218,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
384,0x210806B,15,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,217,217,217,0.5,7.0,19.2900009155,0.0,1.0,0.0,4.0,219,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
411,0x200806F,20,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,216,216,216,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,218,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
412,0x200806F,19,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,217,217,217,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,219,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
413,0x200806D,16,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,216,216,216,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,218,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
414,0x200806D,15,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,217,217,217,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,219,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
415,0x200806D,13,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,216,216,216,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,218,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
416,0x200806D,14,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,217,216,216,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,219,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
417,0x200800D,21,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,102,220,220,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
422,0x6200880B,21,0.0,0.0,0.0,0.0,7.0,19.2299995422,0.0,1.0,0.0,4.0,37,38,91,91,91,91,0.0,7.0,19.2299995422,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
441,0x6000880F,13,0.0,0.0,1.70000004768,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,102,128,123,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
461,0x200406B,21,0.0,0.0,-5.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,37,38,-1,102,128,123,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
481,0x210800B,21,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,0.0,0.0,0.0,37,38,-1,220,128,123,0.0,7.0,19.2900009155,0.0,0.0,0.0,0.0,37,38,0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
482,0x210806B,13,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,0.0,0.0,0.0,37,38,-1,217,216,216,0.5,7.0,19.2900009155,0.0,0.0,0.0,0.0,218,38,0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
483,0x210806B,14,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,0.0,0.0,0.0,37,38,-1,216,217,217,0.5,7.0,19.2900009155,0.0,0.0,0.0,0.0,219,38,0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
502,0x200800B,21,0.0,0.0,0.0,0.0,7.0,19.2299995422,0.0,1.0,0.0,4.0,37,38,91,91,91,91,0.0,7.0,19.2299995422,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
522,0x2008009,21,0.0,0.0,0.0,0.0,7.0,19.2299995422,0.0,1.0,0.0,4.0,37,38,91,91,91,91,0.0,7.0,19.2299995422,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
541,0x200800F,13,0.0,0.0,-5.0,0.0,7.0,19.2900009155,0.0,0.0,1.0,4.0,37,38,-1,102,40,123,0.0,7.0,19.2900009155,0.0,0.0,1.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
561,0x43008C0B,13,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,2.0,1.0,4.0,37,38,-1,91,-1,91,0.0,7.0,19.2900009155,0.0,2.0,1.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
581,0x2008049,-1,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,10.0,10.0,37,40,-1,102,128,123,0.0,7.0,19.2900009155,0.0,0.0,1.0,4.0,37,38,181,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
601,0x200800B,21,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,0.0,1.0,4.0,37,38,-1,91,91,91,0.0,7.0,19.2900009155,0.0,0.0,1.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
621,0x200800F,5,0.20000000298,0.0,-0.20000000298,0.0,7.0,19.2900009155,0.0,0.0,1.0,4.0,37,38,1,6,1,6,0.0,7.0,19.2900009155,0.0,0.0,1.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
644,0x6200880B,13,0.0,0.0,0.0,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,-1,91,91,91,0.0,7.0,19.2900009155,0.0,1.0,0.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,1,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
645,0x2008029,-1,0.0,0.0,0.0,0.0,40.0,19.0,0.0,0.0,10.0,10.0,37,25,-1,102,128,123,0.0,7.0,19.2900009155,0.0,0.0,1.0,4.0,37,38,181,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
647,0x2008029,-1,0.0,0.0,0.0,0.0,50.0,19.0,0.0,0.0,1.0,1.0,1,130,-1,102,128,123,0.0,7.0,19.2900009155,0.0,0.0,1.0,4.0,37,38,39,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0x1,0,0,0,0x0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
