long,long,long,float,float,float,float,str,
1,0,0,1.0,1.0,1.0,1.0,"",
2,0,1,1.0,1.0,1.0,1.0,"",
3,8533,1,1.0,1.0,1.0,1.0,"",
4,8534,1,1.0,1.0,1.0,1.0,"",
5,8535,1,1.0,1.0,1.0,1.0,"",
6,8536,2,1.0,1.0,1.0,1.0,"",
7,8537,2,1.0,1.0,1.0,1.0,"",
8,8538,2,1.0,1.0,1.0,1.0,"",
21,8535,1,1.0,1.0,1.0,1.0,"textures\Weather\RainDrop01.blp",
22,8558,3,1.0,1.0,1.0,1.0,"",
41,8556,3,1.0,1.0,1.0,1.0,"",
42,8557,3,1.0,1.0,1.0,1.0,"",
61,0,2,1.0,1.0,1.0,1.0,"",
81,0,1,1.0,1.0,1.0,1.0,"",
83,0,2,1.0,1.0,1.0,1.0,"textures\Weather\SnowFlake01.blp",
84,8556,3,1.0,1.0,1.0,1.0,"",
85,8556,3,1.0,1.0,1.0,1.0,"",
86,4994,1,1.0,1.0,1.0,1.0,"",
87,0,1,1.0,1.0,1.0,1.0,"",
90,0,1,1.0,1.0,1.0,1.0,"Particles\LeafBrown.blp",
91,0,1,1.0,1.0,1.0,1.0,"textures\Weather\RainDrop01.blp",
96,8537,2,1.0,1.0,1.0,1.0,"textures\Weather\SnowFlake01.blp",
97,8537,2,1.0,1.0,1.0,1.0,"textures\Weather\SnowFlake01.blp",
98,0,2,1.0,1.0,1.0,1.0,"textures\Weather\SnowFlake01.blp",
99,8535,1,1.0,1.0,1.0,1.0,"textures\Weather\RainDrop01.blp",
100,8535,1,1.0,1.0,1.0,1.0,"textures\Weather\RainDropRed01.blp",
103,8557,3,0.0,1.0,0.501999974251,0.0,"",
104,0,3,1.0,0.0,0.0,0.0,"Textures\WEATHER\SNOWMIST01.BLP",
105,8556,3,0.0,1.0,1.0,1.0,"",
106,8556,3,0.0,1.0,1.0,1.0,"",
107,8556,3,0.0,1.0,1.0,1.0,"",
108,8535,1,1.0,1.0,1.0,1.0,"textures\Weather\RainDropRed01.blp",
