long,long,long,str,float,float,float,float,long,long,long,
4,1,14,"Durotar",-1962.49987793,-7249.99951172,1808.33325195,-1716.66662598,-1,0,0,
9,1,215,"Mulgore",2047.91662598,-3089.58325195,-272.916656494,-3697.91650391,-1,0,0,
11,1,17,"Barrens",2622.91650391,-7510.41650391,1612.49987793,-5143.75,-1,0,0,
13,1,0,"Kalimdor",17066.5996094,-19733.2109375,12799.9003906,-11733.2998047,-1,0,0,
14,0,0,"Azeroth",18171.9707031,-22569.2109375,11176.34375,-15973.34375,-1,0,0,
15,0,36,"Alterac",783.333312988,-2016.66662598,1500.0,-366.666656494,-1,0,0,
16,0,45,"Arathi",-866.666625977,-4466.66650391,-133.333328247,-2533.33325195,-1,0,0,
17,0,3,"Badlands",-2079.16650391,-4566.66650391,-5889.58300781,-7547.91650391,-1,0,0,
19,0,4,"BlastedLands",-1241.66662598,-4591.66650391,-10566.6660156,-12800.0,-1,0,0,
20,0,85,"Tirisfal",3033.33325195,-1485.41662598,3837.49975586,824.999938965,-1,0,0,
21,0,130,"Silverpine",3449.99975586,-750.0,1666.66662598,-1133.33325195,-1,0,0,
22,0,28,"WesternPlaguelands",416.666656494,-3883.33325195,3366.66650391,499.999969482,-1,0,0,
23,0,139,"EasternPlaguelands",-2287.5,-6318.75,3704.16650391,1016.66662598,-1,0,0,
24,0,267,"Hilsbrad",1066.66662598,-2133.33325195,400.0,-1733.33325195,-1,0,0,
26,0,47,"Hinterlands",-1575.0,-5425.0,1466.66662598,-1100.0,-1,0,0,
27,0,1,"DunMorogh",1802.08325195,-3122.91650391,-3877.08325195,-7160.41650391,-1,0,0,
28,0,51,"SearingGorge",-322.916656494,-2554.16650391,-6100.0,-7587.49951172,-1,0,0,
29,0,46,"BurningSteppes",-266.666656494,-3195.83325195,-7031.24951172,-8983.33300781,-1,0,0,
30,0,12,"Elwynn",1535.41662598,-1935.41662598,-7939.58300781,-10254.1660156,-1,0,0,
32,0,41,"DeadwindPass",-833.333312988,-3333.33325195,-9866.66601563,-11533.3330078,-1,0,0,
34,0,10,"Duskwood",833.333312988,-1866.66662598,-9716.66601563,-11516.6660156,-1,0,0,
35,0,38,"LochModan",-1993.74987793,-4752.08300781,-4487.5,-6327.08300781,-1,0,0,
36,0,44,"Redridge",-1570.83325195,-3741.66650391,-8575.0,-10022.9160156,-1,0,0,
