long,long,float,float,float,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,0,-9115.0,423.0,96.0,"Stormwind",,,,,,,,,,,,,,,,0xFF01FE,
2,0,-9194.30566406,-2313.26416016,88.8265228271,"Redridge Mountains",,,,,,,,,,,,,,,,0xFF01FE,
3,0,-10774.2626953,-1189.671875,33.1494255066,"Duskwood, Darkshire",,,,,,,,,,,,,,,,0xFF01FE,
4,0,-10546.9003906,1197.23999023,31.7262992859,"Westfall, Sentinel Hill",,,,,,,,,,,,,,,,0xFF01FE,
5,0,-5687.0,-515.0,398.0,"Dun Morogh",,,,,,,,,,,,,,,,0xFF01FE,
6,0,-5351.22900391,-2881.58227539,340.942352295,"Loch Modan, Thelsamar",,,,,,,,,,,,,,,,0xFF01FE,
7,0,-3289.1237793,-2435.99121094,18.5965900421,"Wetlands, Crossroads",,,,,,,,,,,,,,,,0xFF01FE,
8,0,-6289.91113281,-3493.10791016,251.482772827,"Badlands, Graveyard NE ",,,,,,,,,,,,,,,,0xFF01FE,
10,1,-592.60144043,-2523.49243164,91.7880325317,"The Barrens, The Crossroads",,,,,,,,,,,,,,,,0xFF01FE,
31,1,-448.310882568,2512.64575195,93.077255249,"Desolace, Ethel Rethor",,,,,,,,,,,,,,,,0xFF01FE,
32,1,233.457992554,-4793.72998047,10.1880998611,"Durotar, Razor Hill",,,,,,,,,,,,,,,,0xFF01FE,
33,1,1357.09997559,-4412.00976563,28.3840999603,"Durotar, Orgrimmar",,,,,,,,,,,,,,,,0xFF01FE,
34,1,-2944.55639648,-153.215026855,65.786026001,"Mulgore, Red Cloud Mesa",,,,,,,,,,,,,,,,0xFF01FE,
35,1,6739.18994141,209.992599487,23.2845611572,"Darkshore, Auberdine",,,,,,,,,,,,,,,,0xFF01FE,
36,0,-11110.3769531,-1833.24072266,71.8641967773,"Deadwind Pass, Morgan's Plot",,,,,,,,,,,,,,,,0xFF01FE,
39,1,-4656.0,-1765.0,-41.0,"Thousand Needles, The Great Lift",,,,,,,,,,,,,,,,0xFF01FE,
49,37,-661.528442383,-485.309020996,385.887908936,"Plains of Snow - Horde Start",,,,,,,,,,,,,,,,0xFF01FE,
70,1,-6432.25634766,-278.292114258,3.79410505295,"Silithus, Valor's Rest",,,,,,,,,,,,,,,,0xFF01FE,
89,1,-2175.18969727,-342.026916504,-5.51232481003,"Mulgore, Bloodhoof Village",,,,,,,,,,,,,,,,0xFF01FE,
90,1,10054.2998047,2117.12011719,1329.63000488,"Teldrassil, Darnassus",,,,,,,,,,,,,,,,0xFF01FE,
91,1,9701.25488281,945.620422363,1291.35510254,"Teldrassil, Dolanaar",,,,,,,,,,,,,,,,0xFF01FE,
92,1,2633.41113281,-629.735168457,107.581253052,"Ashenvale, Astranaar",,,,,,,,,,,,,,,,0xFF01FE,
93,1,10384.8095703,811.531188965,1317.53820801,"Teldrassil, Aldrassil",,,,,,,,,,,,,,,,0xFF01FE,
94,0,1882.93994141,1629.10998535,94.4175033569,"Tirisfal Glades, Deathknell",,,,,,,,,,,,,,,,0xFF01FE,
96,0,1822.60998535,214.673995972,60.1402015686,"Tirisfal Glades, Undercity",,,,,,,,,,,,,,,,0xFF01FE,
97,0,516.194335938,1589.80664062,127.544937134,"Silverpine Forest, The Sepulcher",,,,,,,,,,,,,,,,0xFF01FE,
98,0,-18.6776809692,-981.171447754,55.8376693726,"Hillsbrad Foothills, Tarren Mill",,,,,,,,,,,,,,,,0xFF01FE,
99,0,-1307.65515137,-3192.14892578,37.785320282,"Arathi Highlands, Eastern Road",,,,,,,,,,,,,,,,0xFF01FE,
100,0,-6164.22607422,336.321136475,399.793365479,"Dun Morogh, Anvilmar",,,,,,,,,,,,,,,,0xFF01FE,
101,0,-5680.04443359,-518.920471191,396.27432251,"Dun Morogh, Kharanos",,,,,,,,,,,,,,,,0xFF01FE,
102,0,-5049.45019531,-809.697021484,495.12701416,"Dun Morogh, Ironforge",,,,,,,,,,,,,,,,0xFF01FE,
103,0,-6805.0,-2287.18994141,280.75201416,"Badlands, Kargath",,,,,,,,,,,,,,,,0xFF01FE,
104,0,-9403.24511719,-2037.6920166,58.3687400818,"Redridge Mountains, Lakeshire",,,,,,,,,,,,,,,,0xFF01FE,
105,0,-8935.32519531,-188.646270752,80.4164657593,"Elwynn Forest, Northshire",,,,,,,,,,,,,,,,0xFF01FE,
106,0,-9339.45605469,171.408447266,61.5618095398,"Elwynn Forest, Goldshire",,,,,,,,,,,,,,,,0xFF01FE,
107,0,-9151.98046875,410.944000244,92.6966018677,"Elwynn Forest, Stormwind",,,,,,,,,,,,,,,,0xFF01FE,
108,0,-10567.8134766,-3377.203125,22.2532196045,"Swamp of Sorrows, Stonard",,,,,,,,,,,,,,,,0xFF01FE,
109,0,-14284.9619141,288.447174072,32.3320388794,"Stranglethorn Vale, Booty Bay",,,,,,,,,,,,,,,,0xFF01FE,
129,1,8706.0,965.0,13.2700004578,"Teldrassil, Rut'theran Village",,,,,,,,,,,,,,,,0xFF01FE,
