long,str,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,"APP_TITLE","WowError",,,,,,,,,,,,,,,,0xFF01FE,
2,"WOWERROR","WOWERROR",,,,,,,,,,,,,,,,0xFF01FE,
3,"HEADER","The following data will be sent to Blizzard when you click Send
Though you can opt not to send this information, doing so will help us to improve the game.",,,,,,,,,,,,,,,,0xFF01FE,
4,"SEND","Send",,,,,,,,,,,,,,,,0xFF01FE,
5,"CANCEL","Cancel",,,,,,,,,,,,,,,,0xFF01FE,
6,"SEND_ERROR","Error sending data",,,,,,,,,,,,,,,,0xFF01FE,
7,"PRESS_SEND","Press Send to Send",,,,,,,,,,,,,,,,0xFF01FE,
8,"SEND_CONNECTING","Connecting",,,,,,,,,,,,,,,,0xFF01FE,
9,"SEND_SENDING","Sending",,,,,,,,,,,,,,,,0xFF01FE,
10,"SEND_DONE","Send successful",,,,,,,,,,,,,,,,0xFF01FE,
11,"SEND_CANT_CONNECT","Can not connect to server",,,,,,,,,,,,,,,,0xFF01FE,
12,"DONE","Done",,,,,,,,,,,,,,,,0xFF01FE,
13,"DESCRIBE","Describe what you were doing when the crash occurred",,,,,,,,,,,,,,,,0xFF01FE,
